가변전광표지판명,시도명,시군구명,시군구코드,도로종류,도로노선명,도로노선번호,도로노선방향,위도,경도,영상표시면가로길이,영상표시면세로길이,전광판함체가로길이,전광판함체세로길이,전광판높이,설치유형코드,출력방향코드,발광패널유형코드,표출색상,표시유형코드,출력크기,제공정보종류,설치년도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
주추터널 내 상부(대전),세종특별자치시,없음,56900,02,국도,1호,02,36.501888,127.241004,6000,600,6100,700,6000,02,02,01,적+황+녹,02,1단10열,01+02,2012,세종시청 도로과,044-300-5144,2019-04-18,5690000,세종특별자치시
사오리 VMS(대전),세종특별자치시,없음,56900,02,국도,1호,02,36.492166,127.240659,6000,1200,6100,1300,10000,02,02,01,적+황+녹,02,2단10열,01+02,2012,세종시청 도로과,044-300-5144,2019-04-18,5690000,세종특별자치시
사오리터널 내 가변정보판(대전),세종특별자치시,없음,56900,02,국도,1호,02,36.489433,127.243415,6000,600,6100,700,6000,02,02,01,적+황+녹,02,1단10열,01+02,2012,세종시청 도로과,044-300-5144,2019-04-18,5690000,세종특별자치시
사오리터널 내 벽부(대전) 신설,세종특별자치시,없음,56900,02,국도,1호,02,36.480886,127.246273,300,1800,400,1900,1500,02,02,01,적+황+녹,02,6단1열,01+02,2018,세종시청 도로과,044-300-5144,2019-04-18,5690000,세종특별자치시
사오리 가변정보판(조치원 ) 신설,세종특별자치시,없음,56900,02,국도,1호,01,36.475999,127.247234,6000,600,6100,700,6000,02,02,01,적+황+녹,02,1단10열,01+02,2018,세종시청 도로과,044-300-5144,2019-04-18,5690000,세종특별자치시
사오리터널 내 상부(조치원) 신설,세종특별자치시,없음,56900,02,국도,1호,01,36.487371,127.244652,6000,600,6100,700,5000,02,02,01,적+황+녹,02,1단10열,01+02,2018,세종시청 도로과,044-300-5144,2019-04-18,5690000,세종특별자치시
주추 VMS(조치원),세종특별자치시,없음,56900,02,국도,1호,01,36.496673,127.239948,6000,1200,6100,1300,10000,02,02,01,적+황+녹,02,2단10열,01+02,2012,세종시청 도로과,044-300-5144,2019-04-18,5690000,세종특별자치시
주추터널 내 상부(조치원) 신설,세종특별자치시,없음,56900,02,국도,1호,01,36.517098,127.241557,6000,600,6100,700,5000,02,02,01,적+황+녹,02,1단10열,01+02,2018,세종시청 도로과,044-300-5144,2019-04-18,5690000,세종특별자치시
주추터널 내 벽부(조치원) 신설,세종특별자치시,없음,56900,02,국도,1호,01,36.515420,127.241436,300,1800,400,1900,1500,02,02,01,적+황+녹,02,6단1열,01+02,2018,세종시청 도로과,044-300-5144,2019-04-18,5690000,세종특별자치시
천현삼거리전방 VMS,경기도,하남시,41450,시도,창우로,189,,37.524969446,127.221658663,,,,,,1 ,2 ,1 ,빨간색+노란색+녹색,1 ,10단18열,1,2013,하남시청,031-790-5832,2020-06-30,6410000,경기도
선동IC,경기도,하남시,41450,시도,미사강변대로,0,,37.274976,127.008931,,,,,,1 ,2 ,1 ,빨간색+노란색+녹색,2 ,2단12열,1,2017,하남시청,031-790-5832,2020-06-30,6410000,경기도
장애인복지관,경기도,하남시,41450,시도,미사강변남로,0,,37.559912,127.188814,,,,,,1 ,2 ,1 ,빨간색+노란색+녹색,2 ,2단12열,1,2017,하남시청,031-790-5832,2020-06-30,6410000,경기도
아이테코,경기도,하남시,41450,시도,조정대로,181,,37.552757,127.191237,,,,,,1 ,2 ,1 ,빨간색+노란색+녹색,2 ,2단12열,1,2017,하남시청,031-790-5832,2020-06-30,6410000,경기도
푸른수목원앞 VMS,경기도,하남시,41450,일반,하남대로,43,,37.546944,127.191111,,,,,,1 ,2 ,1 ,빨간색+노란색+녹색,2 ,3단12열,1,2013,하남시청,031-790-5832,2020-06-30,6410000,경기도
봉담-동탄고속도로 앞(서울방면),경기도,화성시,41590,지방,지방도311호선,311,1,37.17792778,127.0881194,8300,2300,680,1100,6375,3 ,2 ,1 ,빨간색+노란색+녹색,1 ,3단13열,01+02+03+04,2012,경기도교통정보센터,1688-9090,2020-06-30,6410000,경기도
기흥1교(오산방면),경기도,화성시,41590,지방,지방도311호선,311,2,37.17790278,127.0881444,8300,2300,680,1100,6375,3 ,2 ,1 ,빨간색+노란색+녹색,1 ,3단13열,01+02+03+04,2012,경기도교통정보센터,1688-9090,2020-06-30,6410000,경기도
동화천 2교(제부도방면),경기도,화성시,41590,지방,지방도322호선,322,2,37.24383611,126.9374472,6400,2200,642,900,6555,3 ,2 ,1 ,빨간색+노란색+녹색,1 ,3단10열,01+02+03+04,2012,경기도교통정보센터,1688-9090,2020-06-30,6410000,경기도
동화천 2교(수원방면),경기도,화성시,41590,지방,지방도322호선,322,1,37.24338938,126.9353043,6400,2200,642,900,6555,3 ,2 ,1 ,빨간색+노란색+녹색,1 ,3단10열,01+02+03+04,2012,경기도교통정보센터,1688-9090,2020-06-30,6410000,경기도
남양상설타운(수원방면),경기도,화성시,41590,지방,지방도322호선,322,1,37.22323333,126.8479694,6400,2200,642,900,6555,3 ,2 ,1 ,빨간색+노란색+녹색,1 ,3단10열,01+02+03+04,2012,경기도교통정보센터,1688-9090,2020-06-30,6410000,경기도
샘터교차로(제부도방면),경기도,화성시,41590,지방,지방도322호선,322,2,37.208475,126.8079667,6400,2200,642,900,6555,3 ,2 ,1 ,빨간색+노란색+녹색,1 ,3단10열,01+02+03+04,2012,경기도교통정보센터,1688-9090,2020-06-30,6410000,경기도
외국인보호소 입구(수원방면),경기도,화성시,41590,지방,지방도322호선,322,1,37.20729444,126.7703972,6400,2200,642,900,6555,3 ,2 ,1 ,빨간색+노란색+녹색,1 ,3단10열,01+02+03+04,2012,경기도교통정보센터,1688-9090,2020-06-30,6410000,경기도
광평삼거리(수원방면),경기도,화성시,41590,지방,지방도322호선,322,1,37.16514444,126.6739667,5200,1800,642,900,6260,3 ,2 ,1 ,빨간색+노란색+녹색,1 ,3단10열,01+02+03+04,2012,경기도교통정보센터,1688-9090,2020-06-30,6410000,경기도
