관리허가대장관리번호,대지위치,시군구코드,법정동코드,대지구분코드,번,지,건물명,특수지명,블록,로트,주택유형구분코드,주택유형구분명,실호세대수,실호세대수면적,생성일자,제공기관코드,제공기관명
11110-100011956,서울특별시 종로구 연지동 36-1번지,11110,16000,0,3600,1000,연지동 36-1 도시형생활주택 및 근생 (김인선),,,,5,도시형생활주택(원룸형주택),21,201,2011-05-27,,
11110-100011956,서울특별시 종로구 연지동 36-1번지,11110,16000,0,3600,1000,연지동 36-1 도시형생활주택 및 근생 (김인선),,,,5,도시형생활주택(원룸형주택),16.17,202,2011-05-27,,
11110-100011956,서울특별시 종로구 연지동 36-1번지,11110,16000,0,3600,1000,연지동 36-1 도시형생활주택 및 근생 (김인선),,,,5,도시형생활주택(원룸형주택),16.17,203,2011-05-27,,
11110-100011956,서울특별시 종로구 연지동 36-1번지,11110,16000,0,3600,1000,연지동 36-1 도시형생활주택 및 근생 (김인선),,,,5,도시형생활주택(원룸형주택),25.1,204,2011-05-27,,
11110-100011956,서울특별시 종로구 연지동 36-1번지,11110,16000,0,3600,1000,연지동 36-1 도시형생활주택 및 근생 (김인선),,,,5,도시형생활주택(원룸형주택),21.37,205,2011-05-27,,
11110-100011956,서울특별시 종로구 연지동 36-1번지,11110,16000,0,3600,1000,연지동 36-1 도시형생활주택 및 근생 (김인선),,,,5,도시형생활주택(원룸형주택),16.17,206,2011-05-27,,
11110-100011956,서울특별시 종로구 연지동 36-1번지,11110,16000,0,3600,1000,연지동 36-1 도시형생활주택 및 근생 (김인선),,,,5,도시형생활주택(원룸형주택),16.17,207,2011-05-27,,
11110-100011956,서울특별시 종로구 연지동 36-1번지,11110,16000,0,3600,1000,연지동 36-1 도시형생활주택 및 근생 (김인선),,,,5,도시형생활주택(원룸형주택),15.79,208,2011-05-27,,
11110-100011956,서울특별시 종로구 연지동 36-1번지,11110,16000,0,3600,1000,연지동 36-1 도시형생활주택 및 근생 (김인선),,,,5,도시형생활주택(원룸형주택),21,301,2011-05-27,,
11110-100011956,서울특별시 종로구 연지동 36-1번지,11110,16000,0,3600,1000,연지동 36-1 도시형생활주택 및 근생 (김인선),,,,5,도시형생활주택(원룸형주택),16.17,302,2011-05-27,,
