견인차량보관소명,소재지도로명주소,소재지지번주소,위도,경도,보관소전화번호,보관소면적,보관가능대수,견인료기본요금,견인료추가요금,보관료,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
창원시 견인차량보관소,경상남도 창원시 성산구 중앙대로21번길 10-11,경상남도 창원시 성산구 중앙동 102-3,35.219253,128.673961,055-283-8300,1284,35,"2.5톤 미만 30,000원+2.5톤 이상 6.5톤 미만 35,000원+6.5톤 이상 45,000원","2.5톤 미만 1,000원+2.5톤 이상 6.5톤 미만 1,400원+6.5톤 이상 2,500원","승용 소형승합 소형화물 기본 30분 500원+10분당 200원+1일 6,000원/대형승합 대형화물 기본 30분 1,000원+10분당 400원+1일 12,000원",055-272-4441,경상남도 창원시청,2020-07-14,5670000,경상남도 창원시
부산광역시 북구 견인보관소,부산광역시 북구 만덕대로65번길 83(덕천동),부산광역시 북구 덕천동 457-38,35.21542008,129.0105477,051-335-7551,210,40,"2.5톤 미만 : 40,000원, 2.5톤 이상~6.5톤 미만 : 45,000원, 6.5톤 이상 : 50,000원","2.5톤 미만 : 1,000원, 2.5톤 이상~6.5톤 미만 : 1,400원, 6.5톤 이상 : 2,500원","30분당 700원(보관일로부터 1개월까지 부과징수, 1일 15,000월을 상한으로 한다)",051-309-4569,부산광역시 북구청,2020-07-21,3320000,부산광역시 북구
수원시견인차량보관소,,경기도 수원시 권선구 대황교동 253,37.2374492,127.0184854,031-238-0560,2027,80,30000,,최초 900원(30분이후 10분초과시 400원 가산),031-238-0560,수원도시공사 주차사업부 견인거주자팀,2019-09-05,3740000,경기도 수원시
연수구견인차량보관소,인천광역시 연수구 원인재로 324(연수동),인천광역시 연수구 연수동 532-2,37.4225729,126.6945886,032-830-8061,1440,32,2.5톤미만 30000원+2.5톤이상 6.5톤미만 35000원+6.5톤이상 50000원,2.5톤미만 1000원+2.5톤이상 6.5톤미만 1400원+6.5톤이상 2500원,최초 30분 1000원30분 후 15분당 500원,,연수구시설안전관리공단,2019-08-06,B553866,인천광역시연수구시설안전관리공단
중구견인차량보관소,대전광역시 중구 서문로 108(문화동),대전광역시 중구 문화동 311-77,36.311444,127.4091017,042-584-9525,1322,40,30000,1000,500,042-606-6885,중구청 교통과,2019-09-06,3650000,대전광역시 중구
남동구견인차량보관소,,인천광역시 남동구 남촌동 512-47,37.530504,126.724882,032-453-2903,,45,"30,000원","1,000원~2,500원(운행거리 및 차량에 비례)",1일 24000원,032-453-5191,남동구 도시관리공단,2019-09-03,3530000,인천광역시 남동구
부천시 견인차량보관소,경기도 부천시 소사로 482,,37.5026500,126.7989890,032-340-0960,2400,102,2.5톤미만30000원/6.5톤미만40000원/10톤미만60000원/10톤이상80000원,1km증가당 2.5톤미만1500원/6.5톤미만2300원/10톤미만3800원/10톤이상5100원,기본 30분 900원+10분당 400원+1일 최대 9500원(최대 30일까지),032-340-0945,부천도시공사,2019-08-30,3860000,경기도 부천시
서구견인차량보관소,인천광역시 서구 경명대로 265,인천광역시 서구 경서동 374-10,37.5579827965,126.638884,032-571-7714,956,29,2.5톤 미만 30000원+2.5톤 이상 6.5톤 미만 35000원+6.5톤 이상 50000원,2.5톤 미만 1000원+2.5톤 이상 6.5톤 미만 1400원+6.5톤 이상 2500원,기본 30분 1000원+15분당 500원+전일 10000원,032-560-5942,인천광역시 서구청,2019-08-30,3560000,인천광역시 서구
자동차관리보관소,경기도 구리시 벌말로80번길 56,경기도 구리시 토평동431-8,37.582371,127.146643,031-550-2847,2240,43,"30,000원 (편도5km까지)","1,000원 (매 km증가시)","1일 8,000원",031-550-2764,경기도 구리시청,2019-04-26,3980000,경기도 구리시
영등포구견인차량보관소,서울특별시 영등포구 경인로 112길 28,서울특별시 영등포구 영등포동1가 3-5,37.517462,126.915928,02-2650-1485,1975.10,75,4만원,입고시 기본 700원,30분당 700원,02-2650-1400,영등포구시설관리공단,2019-04-30,3180000,서울특별시 영등포구
