업소명,업종명코드,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,업소전화번호,할인적용최소연령,할인율,할인금액,할인대상서비스명,할인부가정보,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,경로우대업소지정일자,경로우대업소해제일자,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
찌지고 뽁고 꿉고,2 ,울산광역시,동구,31170,울산광역시 동구 대송5길 1,,35.50351999,129.417856,052-903-9198,66,,500원할인,,,00:00,00:00,00:00,00:00,00:00,00:00,2017-11-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
참한우 식육식당,2 ,울산광역시,동구,31170,울산광역시 동구 명덕 3길 40,,35.52401254,129.4300834,052-251-3323,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
천일 건강원,4 ,울산광역시,동구,31170,울산광역시 동구 남목17길 29,,35.54301508,129.4287607,000-0000-0000,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
첫눈에 반하게,7 ,울산광역시,동구,31170,울산광역시 동구 월봉4길 58,,35.48960361,129.4200432,052-903-3365,66,15,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
청송달기약수삼계탕,2 ,울산광역시,동구,31170,울산광역시 동구 학문로 15-1,,35.50265805,129.4273901,052-234-6602,66,주메뉴 5,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-10-06,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
청아미용실,7 ,울산광역시,동구,31170,울산광역시 동구 번덕로 28-1,,35.49988762,129.4251823,052-235-2581,66,펌 20,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-10-06,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
최은정헤어콜렉션,7 ,울산광역시,동구,31170,울산광역시 동구 진성13길 107,,35.51145676,129.426628,052-233-0010,66,10~30,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-12-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
충남식당,2 ,울산광역시,동구,31170,울산광역시 동구 대송7길 28,,35.50008741,129.4195424,052-234-3775,66,20,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-03-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
캠토,2 ,울산광역시,동구,31170,울산광역시 동구 학문로 53,,35.50327839,129.423248,052-235-1141,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
퀸미용실,7 ,울산광역시,동구,31170,울산광역시 동구 바드래 4길 28,,35.51638899,129.4299417,052-234-8513,66,35,,,,00:00,00:00,00:00,00:00,00:00,00:00,2015-02-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
퀸차이나,2 ,울산광역시,동구,31170,울산광역시 동구 학문로 47,,35.50313499,129.4239269,052-251-8888,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
태종청과,99,울산광역시,동구,31170,울산광역시 동구 월봉로 62,,35.49389218,129.4247288,052-233-4888,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2016-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
포석정식당,2 ,울산광역시,동구,31170,울산광역시 동구 학문로 27,,35.50286386,129.4261181,052-236-8686,66,고기 5,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-10-06,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
하누돈,2 ,울산광역시,동구,31170,울산광역시 동구 월봉10길 29,,35.4934457,129.4196825,052-252-8600,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2017-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
학산그릇백화점,99,울산광역시,동구,31170,울산광역시 동구 진성14길 90,,35.5092853,129.4259984,052-232-9439,66,5,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-12-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
한마음숯불갈비 쌈밥,2 ,울산광역시,동구,31170,울산광역시 동구 바드래2길 6,,35.51756661,129.4314187,052-251-3888,66,5,,,,00:00,00:00,00:00,00:00,00:00,00:00,2015-03-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
한마음탕재원,4 ,울산광역시,동구,31170,울산광역시 동구 꽃바위로 190,,35.47820423,129.4126337,052-201-3226,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
한송이 미용실,7 ,울산광역시,동구,31170,울산광역시 동구 진성5길 14,,35.50763758,129.4288933,052-252-0215,66,5,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-12-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
한일안경,99,울산광역시,동구,31170,울산광역시 동구 진성5길 58,,35.50792508,129.4258914,052-234-5982,66,20,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-12-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
한진숙헤어샵,7 ,울산광역시,동구,31170,울산광역시 동구 화암1길 7,,35.47980533,129.4095267,000-0000-0000,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2017-06-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
현대이용원,7 ,울산광역시,동구,31170,울산광역시 동구 꽃바위1길 20,,35.4824899,129.4137004,000-0000-0000,66,20,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
형제이용원,7 ,울산광역시,동구,31170,울산광역시 동구 진성5길 50,,35.50789002,129.4263796,052-234-9977,66,20,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-12-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
홍아저씨,2 ,울산광역시,동구,31170,울산광역시 동구 문현2길 7,,35.48652305,129.4136977,052-234-7892,66,5,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
홍언지김밥,2 ,울산광역시,동구,31170,울산광역시 동구 화잠7길 24,,35.48177502,129.4101583,052-232-8910,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2017-06-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
화정신발,99,울산광역시,동구,31170,울산광역시 동구 월봉로 66,,35.4936651,129.4250878,052-235-6643,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2016-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
황궁쟁반짜장,2 ,울산광역시,동구,31170,울산광역시 동구 대학길 174,,35.49685646,129.4267968,052-235-7712,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
황금성,2 ,울산광역시,동구,31170,울산광역시 동구 진성8길 101,,35.50982502,129.429444,052-235-4547,66,5,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-12-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
효성세탁소,99,울산광역시,동구,31170,울산광역시 동구 대송4길 5,,35.50387083,129.4174345,052-251-5592,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-03-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
우먼로드,99,울산광역시,동구,31170,울산광역시 동구 진성14길 92,,35.50953357,129.4260191,052-232-0951,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-12-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
울산아구찜,2 ,울산광역시,동구,31170,울산광역시 동구 진성3길 8,,35.51016416,129.4297849,052-233-2967,66,5,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-12-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
원조구들장삼겹살,2 ,울산광역시,동구,31170,울산광역시 동구 옥류로 19-1,,35.54069718,129.4260979,052-233-4788,66,5,,,,00:00,00:00,00:00,00:00,00:00,00:00,2015-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
원조순대국밥,2 ,울산광역시,동구,31170,울산광역시 동구 진성4길 48,,35.50912175,129.4267825,052-233-9021,66,5~10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-12-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
원컴퓨터세탁,99,울산광역시,동구,31170,울산광역시 동구 번덕4길 22,,35.50012432,129.4270318,052-233-3643,66,5~10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2017-10-26,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
월곡손칼국수,2 ,울산광역시,동구,31170,울산광역시 동구 동해안로 734,,35.57130459,129.4522183,052-234-7373,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2016-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
웰빙보리밥,2 ,울산광역시,동구,31170,울산광역시 동구 진성14길 77,,35.50883181,129.4254294,000-0000-0000,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-12-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
유미용실,7 ,울산광역시,동구,31170,울산광역시 동구 번덕1길 23,,35.50329754,129.4278501,052-233-9457,66,20,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-10-06,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
