학구ID,학구명,학구분류,시도코드,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,공간객체ID,데이터기준일자,제공기관코드,제공기관명
Z000300050,전주시학교군,0,45,8320000,전라북도교육청,8331000,전라북도전주교육지원청,2016-08-12,2017-02-14,516,2020-03-20,7001220,한국교원대학교
Z000300055,순천시제3학교군,0,46,8490000,전라남도교육청,8521000,전라남도순천교육지원청,2016-08-12,2016-08-12,517,2020-03-20,7001220,한국교원대학교
Z000300061,제주시학교군,0,50,9290000,제주특별자치도교육청,9296000,제주특별자치도제주시교육지원청,2016-08-12,2017-02-14,518,2020-03-20,7001220,한국교원대학교
Z000300049,천안시학교군,0,44,8140000,충청남도교육청,8151000,충청남도천안교육지원청,2016-08-12,2016-08-12,519,2020-03-20,7001220,한국교원대학교
Z000300051,군산시학교군,0,45,8320000,전라북도교육청,8341000,전라북도군산교육지원청,2016-08-12,2016-08-12,520,2020-03-20,7001220,한국교원대학교
Z000300053,목포시제1학교군,0,46,8490000,전라남도교육청,8501000,전라남도목포교육지원청,2016-08-12,2016-08-12,521,2020-03-20,7001220,한국교원대학교
Z000300054,여수시제2학교군,0,46,8490000,전라남도교육청,8511000,전라남도여수교육지원청,2016-08-12,2016-08-12,522,2020-03-20,7001220,한국교원대학교
Z000300003,남부학교군,0,11,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2016-08-12,2016-08-12,523,2020-03-20,7001220,한국교원대학교
Z000300002,서부학교군,0,11,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2016-08-12,2016-08-12,524,2020-03-20,7001220,한국교원대학교
Z000300005,중부학교군,0,11,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2016-08-12,2016-08-12,525,2020-03-20,7001220,한국교원대학교
Z000300056,포항시제1학교군,0,47,8750000,경상북도교육청,8761000,경상북도포항교육지원청,2016-08-12,2016-08-12,526,2020-03-20,7001220,한국교원대학교
Z000300052,익산시학교군,0,45,8320000,전라북도교육청,8351000,전라북도익산교육지원청,2016-08-12,2016-08-12,527,2020-03-20,7001220,한국교원대학교
Z000300011,성북학교군,0,11,7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2016-08-12,2016-08-12,528,2020-03-20,7001220,한국교원대학교
Z000300004,북부학교군,0,11,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2016-08-12,2016-08-12,529,2020-03-20,7001220,한국교원대학교
Z000300006,강동송파학교군,0,11,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2016-08-12,2016-08-12,530,2020-03-20,7001220,한국교원대학교
Z000300008,강남학교군,0,11,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2016-08-12,2016-08-12,531,2020-03-20,7001220,한국교원대학교
Z000300009,동작관악학교군,0,11,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2016-08-12,2016-08-12,532,2020-03-20,7001220,한국교원대학교
Z000300023,광주광역시단일학교군,0,29,7380000,광주광역시교육청,7391000,광주광역시동부교육지원청,2016-08-12,2017-02-14,533,2020-03-20,7001220,한국교원대학교
Z000300026,북부학교군,0,31,7480000,울산광역시교육청,7491000,울산광역시강북교육지원청,2016-08-12,2016-08-12,534,2020-03-20,7001220,한국교원대학교
