교량명,시설물종별등급구분,도로종류,도로노선명,도로노선번호,도로노선방향,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,교량시작점위도,교량시작점경도,교량종료점위도,교량종료점경도,교량연장,교량폭,교량보도폭,교량높이,차로수,상하행선분리여부,상부구조형식,교량준공년도,최종안전점검일자,최종안전점검결과,최종안전점검유형,내진설계적용여부,내진성능확보여부,교량보수보강내역,교량보수보강비용,설계활하중,허용통행하중,하부통과제한높이,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
학선교,03,군도,군도24호선,군도24호선,3,전라북도,순창군,45770,,전라북도 순창군 쌍치면 학선리 350-9,35.530805,126.971802,35.530805,126.971802,24,9,1,4,2,Y,RC슬래브교,1991,2020-04-20,B,,,,,,,18,,순창군청,063-650-1811,2020-07-02,4770000,전라북도 순창군
도치교,99,기타,리도201호선,리도201호선,3,전라북도,순창군,45770,,전라북도 순창군 풍산면 유정리 712-2,35.319979,127.115795,35.319979,127.115795,35,4,1,4,2,N,RC슬래브교,1996,2020-04-20,C,,,,,,,24,,순창군청,063-650-1811,2020-07-02,4770000,전라북도 순창군
먹우실교,99,기타,리도215호선,리도215호선,3,전라북도,순창군,45770,,전라북도 순창군 쌍치면 오봉리 116-1,35.528974,127.016308,35.528974,127.016308,110,8,1,4,2,Y,Ipc거더,2004,2020-04-20,C,,,,,,,24,,순창군청,063-650-1811,2020-07-02,4770000,전라북도 순창군
용전교,99,기타,리도214호선,리도214호선,3,전라북도,순창군,45770,,전라북도 순창군 쌍치면 용전리 676-9,35.515537,127.025883,35.515537,127.025883,100,7,1,4,2,Y,PSC I형교,2003,2020-04-20,A,,,,,,,18,,순창군청,063-650-1811,2020-07-02,4770000,전라북도 순창군
구송정교,99,기타,농도305호선,농도305호선,3,전라북도,순창군,45770,,전라북도 순창군 동계면 서호리 626-11,35.431682,127.237853,35.431682,127.237853,90,5,1,4,2,N,RC슬래브교,1982,2020-04-20,C,,,,,,,18,,순창군청,063-650-1811,2020-07-02,4770000,전라북도 순창군
덕흥교,99,기타,리도202호선,리도202호선,3,전라북도,순창군,45770,,전라북도 순창군 복흥면 반월리 303-3,35.451088,126.906559,35.451088,126.906559,38,9,1,4,2,Y,RC슬래브교,1970,2020-04-20,C,,,,,,,14,,순창군청,063-650-1811,2020-07-02,4770000,전라북도 순창군
덕산교,99,기타,면도104호선,면도104호선,3,전라북도,순창군,45770,,전라북도 순창군 풍산면 금곡리 781-1,35.323325,127.135422,35.323325,127.135421,48,8,1,4,2,Y,RC슬래브교,1994,2020-04-20,C,,,,,,,24,,순창군청,063-650-1811,2020-07-02,4770000,전라북도 순창군
원옥교,99,기타,농도303호선,농도303호선,3,전라북도,순창군,45770,,전라북도 순창군 쌍치면 옥산리 697-1,35.499614,126.975937,35.499614,126.975937,40,5,1,4,2,Y,RC슬래브교,1984,2020-04-20,A,,,,,,,18,,순창군청,063-650-1811,2020-07-02,4770000,전라북도 순창군
상송교,99,기타,리도207호선,리도207호선,3,전라북도,순창군,45770,,전라북도 순창군 복흥면 상송리 45-9,35.442831,126.971732,35.442831,126.971732,60,9,1,4,2,Y,RC슬래브교,1994,2020-04-20,C,,,,,,,18,,순창군청,063-650-1811,2020-07-02,4770000,전라북도 순창군
둔전교,99,기타,리도207호선,리도207호선,3,전라북도,순창군,45770,,전라북도 순창군 쌍치면 둔전리 436,35.482387,126.971421,35.482387,126.971425,76,7,1,4,2,Y,R.C슬래브,2002,2020-04-20,C,,,,,,,24,,순창군청,063-650-1811,2020-07-02,4770000,전라북도 순창군
용암교,99,기타,리도207호선,리도207호선,3,전라북도,순창군,45770,,전라북도 순창군 인계면 도룡리 1275-1,35.425041,127.145974,35.425042,127.145974,40,8,1,4,2,Y,R.C슬래브,1992,2020-04-20,A,,,,,,,18,,순창군청,063-650-1811,2020-07-02,4770000,전라북도 순창군
구송정2교,99,기타,리도207호선,리도207호선,3,전라북도,순창군,45770,,전라북도 순창군 동계면 서호리 813-2,35.431266,127.238423,35.431266,127.238423,70,9,1,4,2,Y,R.C슬래브,1998,2020-04-20,C,,,,,,,18,,순창군청,063-650-1811,2020-07-02,4770000,전라북도 순창군
유풍교,99,기타,리도207호선,리도207호선,3,전라북도,순창군,45770,,전라북도 순창군 유등면 외이리 548-12,35.359047,127.184237,35.359047,127.184237,116,5,1,4,2,N,R.C슬래브,1990,2020-04-20,A,,,,,,,18,,순창군청,063-650-1811,2020-07-02,4770000,전라북도 순창군
유정교,99,기타,리도207호선,리도207호선,3,전라북도,순창군,45770,,전라북도 순창군 풍산면 삼촌리 1269-1,35.319062,127.121857,35.319062,127.121857,50,5,1,4,2,N,R.C슬래브,2001,2020-04-20,A,,,,,,,18,,순창군청,063-650-1811,2020-07-02,4770000,전라북도 순창군
