교육행정구역ID,교육행정구역명,교육행정구역분류,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,공간객체ID,데이터기준일자,제공기관코드,제공기관명
S000000002,동부,교육지원청,7010000,서울특별시교육청,7021000,동부교육지원청,2013-04-30,2013-04-30,3,2020-03-20,7001220,한국교원대학교
S000000003,서부,교육지원청,7010000,서울특별시교육청,7031000,서부교육지원청,2013-04-30,2013-04-30,6,2020-03-20,7001220,한국교원대학교
S000000004,남부,교육지원청,7010000,서울특별시교육청,7041000,남부교육지원청,2013-04-30,2013-04-30,8,2020-03-20,7001220,한국교원대학교
S000000005,북부,교육지원청,7010000,서울특별시교육청,7051000,북부교육지원청,2013-04-30,2013-04-30,5,2020-03-20,7001220,한국교원대학교
S000000006,중부,교육지원청,7010000,서울특별시교육청,7061000,중부교육지원청,2013-04-30,2013-04-30,1,2020-03-20,7001220,한국교원대학교
S000000007,강동송파,교육지원청,7010000,서울특별시교육청,7130000,강동송파교육지원청,2013-04-30,2019-04-02,11,2020-03-20,7001220,한국교원대학교
S000000008,강서양천,교육지원청,7010000,서울특별시교육청,7081300,강서양천교육지원청,2013-04-30,2019-04-02,7,2020-03-20,7001220,한국교원대학교
S000000009,강남서초,교육지원청,7010000,서울특별시교육청,7091300,강남서초교육지원청,2013-04-30,2019-04-02,10,2020-03-20,7001220,한국교원대학교
S000000010,동작관악,교육지원청,7010000,서울특별시교육청,7132000,동작관악교육지원청,2013-04-30,2019-04-02,9,2020-03-20,7001220,한국교원대학교
S000000011,성동광진,교육지원청,7010000,서울특별시교육청,7134000,성동광진교육지원청,2013-04-30,2019-04-02,2,2020-03-20,7001220,한국교원대학교
S000000012,성북강북,교육지원청,7010000,서울특별시교육청,7121200,성북강북교육지원청,2013-04-30,2019-04-02,4,2020-03-20,7001220,한국교원대학교
S000000014,서부,교육지원청,7150000,부산광역시교육청,7171000,서부교육지원청,2013-04-30,2013-04-30,12,2020-03-20,7001220,한국교원대학교
