교통약자이동지원센터명,소재지도로명주소,소재지지번주소,위도,경도,보유차량대수,보유차량종류,슬로프형휠체어차량대수,리프트형휠체어차량대수,예약접수전화번호,예약접수인터넷주소,앱서비스명,평일예약접수운영시작시각,평일예약접수운영종료시각,주말예약접수운영시작시각,주말예약접수운영종료시각,차량평일운행시작시각,차량평일운행종료시각,차량주말운행시작시각,차량주말운행종료시각,사전예약신청기간,차량이용제한사항,차량관내운행지역,차량관외운행지역,차량이용대상,차량이용요금,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
예천군장애인이동지원센터,경상북도 예천군 예천읍 대심1길 22,경상북도 예천군 예천읍 대심리 424-4,36.6496531,128.441199163,6,그랜드카니발 저상슬로프 차량,6,0,054-652-7179,없음,없음,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,24시간전,특별한 제한없음,예천군 관내 전지역,"대구,경북권 전지역","지체,뇌병변,시간,신장 1∼2급장애인 및 동반보호자","기본료 5km까지 1,200원, 5km초과시 200원/km, 톨게이트비,주차료 본인부담",경상북도 예천군,054-650-6251,2019-08-20,5230000,경상북도 예천군
부산광역시 특별교통총괄본부,"부산광역시 연제구 중앙대로1226번길 18, 2층(거제동, 금샘빌딩)",부산광역시 연제구 거제동 163-10,35.1978078,129.0799214,158,스타렉스+올뉴카니발+카운티+쏠라티,149,9,051-466-8800,http://www.duribal.co.kr/,즉시콜,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,없음,만취 후 이용시+화물 운송 목적+혼자 탑승이 불가능함에도 보호자를 동반하지 아니한 경우+요금을 지불하지 않는 경우+복지카드 또는 의사소견서 제시를 거부할 경우+상담원 및 운전원에게 욕설 폭언 폭행하는 경우+특별교통수단의 기물을 손괴하는 경우,부산광역시 전지역,김해+양산+창원,중증장애 1~2급+일시적 휠체어이용자(의사소견서 제시)+65세이상 휠체어이용자+교통약자를 동반하는 가족 또는 보호자,기본요금 5km 1800원+이후요금 422m 102초당 100원 추가+시외운행시 시계외할증 20+유료도로 통행료 이용자 부담,부산광역시,051-888-3994,2019-08-01,6260000,부산광역시
고창군교통약자이동지원센터,전라북도 고창군 고창읍 월곡14길 19,전라북도 고창군 고창읍 월곡리 620,35.43754514,126.7129638,6,승합차,5,1,063-561-2338,http://,,09:00,18:00,00:00,00:00,08:00,21:00,00:00,00:00,1일전,,전지역,전라북도,1~2급 장애인,일반택시요금의 50,고창군청,063-560-2572,2019-06-20,4780000,전라북도 고창군
전남지체장애인협회 곡성군지회,전라남도 곡성군 곡성읍 읍내14길 12-1,전라남도 곡성군 곡성읍 읍내리 261-12,35.2804361167,127.296281126,2,카니발,2,0,1899-1110,해당없음,,09:00,18:00,00:00,00:00,09:00,18:00,00:00,00:00,하루 전,전차량 운행 시,곡성군 전지역,"전남 전지역, 광주광역시, 전북 남원","1, 2급 장애인, 65세 이상, 임산부 및 동반 보호자 등","관내 : 2km까지 700원, 이후 146m당 32원관외 : 시외버스 요금의 1.5배",곡성군 민원과 교통행정팀,061-360-8356,2019-06-27,4860000,전라남도 곡성군
여수시교통약자이동지원센터,전라남도 여수시 성산로 46(화장동),전라남도 여수시 화장동 761-3,34.774271,127.6426203,20,카니발,15,5,1899-1110,없음,없음,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,없음,없음,여수시,광주광역시+전남전지역,1~2급 장애인으로서 버스 이용이 어려운 자+2급 이상의 상이등급에 해당하는 자로서 버스 이용이 어려운 자,기본요금 2km까지 700원+이후요금 164m당 30원+시간요금 39초당 30원,여수시,061-659-4129,2019-06-26,4810000,전라남도 여수시
목포시 교통약자이동지원센터,전라남도 목포시 영산로 350-3,전라남도 목포시 용당동 993-10,34.8054756,126.4044616,14,카니발+스타렉스,0,14,1899-1110,http://www.mokpo.go.kr/,,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,시외 경우 전일,,전지역,신안을 제외한 전라남도,"1급 2급 장애인인 + 중복상급 3급=65세 이상 고령자, 임산부, 일시적 휠체어 이용자로서 대중교통수단의 이용이 어려운자+ 교통약자를 동반하는 가족 및 보호자 2인 이내","기본요금 1,000원(",목포시,061-270-3328,2019-06-27,4800000,전라남도 목포시
강원도교통약자광역이동지원센터,강원도 춘천시 중앙로1,강원도 춘천시 봉의동 15,37.8855687,127.7301849,2,카니발,2,2,1577-2014,http://call.gwd.go.kr/main.do,,09:00,18:00,09:00,18:00,09:00,18:00,00:00,00:00,7일,관외는 병원목적,태백시,강원도,1. 「장애인복지법 시행규칙」제2조제1항에 따라 제1급 또는 제2급 장애인으로서 버스 등의 이용이 어려운 자 <개정 2013.07.05>2. 65세 이상의 자로서 버스 등의 이용이 어려운 자3. 일시적으로 휠체어를 이용하는 자로서 버스 등의 이용이 어려운 자4. 제1호부터 제3호까지 해당하는 교통약자를 동반하는 가족 및 보호자5. 그 밖에 특별교통수단이 필요하다고 인정되는 사람,1. 관내요금은 「여객자동차 운수사업법 시행령」제3조제2호다목에 따른 일반택시요금의 100분의 50에 해당하는 금액 이하로 한다.2. 관외요금은 해당구간의 시외버스요금의 2배를 초과할 수 없다.,태백시청,033-550-2104,2019-06-19,4220000,강원도 태백시
경상북도특별교통수단상주시부름콜센터,경상북도 상주시 상산로 506,경상북도 상주시 만산동 212-3번지,36.436037,128.157310,9,카니발+스타렉스,0,9,1899-7770,없음,없음,08:00,18:00,09:00,18:00,07:00,22:00,07:00,18:00,7일,운행방해+욕설3회시 한달 정지+예약위반 3회시 한달 정지+요금미납 3회시 한달 정지+운행1시간 이내로 취소 3회시 한달 정지,상주시 전지역,"상주시 인접 시군, 전국(병원목적에 한함)",관내 중증장애인 1~2급+임산부+65세이상노약자+일시적 장애인,"5km 기본요금 1,100원+추가 1km당 200원(시계외 동일)",상주시 교통에너지과,054-537-7378,2019-05-27,5110000,경상북도 상주시
군포시 교통약자 이동지원센터,경기도 군포시 번영로 407,경기도 군포시 산본동 1153번지,37.352944,126.925695,18,그랜드카니발,18,0,1899-4428,없음,없음,08:00,18:00,00:00,00:00,00:00,23:59,00:00,23:59,2일전,복지카드(신분증)등 증빙서의 제시 또는 관련 서류의 제출을 거부한 경우실제 탑승인과 복지카드(신분증) 및 증빙서의 이용 대상자가 다를 경우보호자 없이 탑승 시 안전상의 문제가 발생할 수 있다고 판단되는 경우기타 이에 준하는 상황이 발생하여 운행할 수 없다고 판단하는 경우,"서울, 경기, 인천","서울, 경기, 인천",장애인 : 1~3급 복지카드를 소지한 시민고령자 : 노인장기요양 전체 등급으로 노인장기요양인정서를 소지한 시민임산부 : 임신 5개월 이상으로 산모수첩을 소지한 시민,"10km 1,200원",군포시시설관리공단,1899-4428,2019-05-23,4020000,경기도 군포시
구리시 교통약자 이동지원센터,경기도 구리시 안골로 40,경기도 구리시 교문동 736-3,37.597039,127.135518,15,카니발,15,0,1577-3659,www.gurihappycall.or.kr,구리시 행복콜,09:00,18:00,00:00,00:00,07:00,22:00,09:00,18:00,2일,"요금 체납 또는 증빙서류 미 제시 또는 부정 이용자, 폭행/폭언 행사할 경우 1일(당일) 제한",구리시 전지역,"서울,인천,경기도",장애1~2급 중 대중교통 이용 어려운 사람+65세 이상(진단서 등 증빙 첨부) 중 대중교통 이용 어려운 사람+교통약자 동반하는 보호자 2명이내,"기본요금 10Km이내 1,200원,  10Km 초과 1Km당 200원",구리시청,031-550-2703,2019-04-26,3980000,경기도 구리시
