낚시터명,낚시터유형,소재지도로명주소,소재지지번주소,위도,경도,낚시터전화번호,수면적,주요어종,최대수용인원,수상시설물유형,이용요금,주요포인트,안전시설현황,편익시설현황,주변관광지,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
일영,평지,경기도 양주시 장흥면 일영리 572-4,경기도 양주시 장흥면 일영리 572-4,37.7059699628,126.9315962612,031-855-5520,0.5,"붕어,잉어",500,잔교형좌대,"30,000",-,해당사항 없음,해당사항 없음,-,,개인,2019-05-10,5590000,경기도 양주시
정안 낚시터,저수지,,충청남도 공주시 정안면 운궁리 327-4,36.5804523003,127.1108129536,041-855-5755,0.3,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-840-8873,공주시,2019-09-25,4500000,충청남도 공주시
백곡,저수지,충청북도 진천군 진천읍 백곡로 1140-14,충청북도 진천군 진천읍 건송리 20,36.8681624,127.4085965,043-534-5655,256273,붕어,200,부유형,10000,낚시터 상류방향,구명부환+소화기+전기설비+구급약품,화장실+쓰레기수거시설+위생설비,진천종박물관,043-539-3593,진천군청,2018-08-22,4450000,충청북도 진천군
구수리낚시터,평지,충청북도 진천군 백곡면 안구수길 34-28,충청북도 진천군 백곡면 구수리 16-1,36.88718538,127.3610719,043-532-9960,2826,붕어,100,고정형,10000,,구명부환+소화기+전기설비+구급약품,화장실+위생설비+쓰레기수거시설,진천종박물관,043-539-3593,진천군청,2018-08-22,4450000,충청북도 진천군
형제낚시터,평지,충청북도 진천군 문백면 문진로 88-90,충청북도 진천군 문백면 도하리 261,36.76154861,127.4492335,043-234-1944,1491,붕어,100,고정형,15000,,구명부환+소화기+전기설비+구급약품,화장실+위생설비+쓰레기수거시설,,043-539-3593,진천군청,2018-08-22,4450000,충청북도 진천군
원천낚시터,기타,강원도 화천군 하남면 논미로 309,강원도 화천군 하남면 논미리 132-3,38.097752,127.676487,,50000,붕어+잉어+쏘가리,80,부유형,1일 50000원/80000원,수초지대,구명부환+소화기+구명조끼,화장실+쓰레기통,연꽃단지,033-440-2946,강원도 화천군청,2018-08-10,4310000,강원도 화천군
태산낚시터,기타,강원도 화천군 화천읍 호음로 1080,강원도 화천군 화천읍 동촌리 1940,38.122262,127.813404,,40000,붕어+잉어+쏘가리,40,부유형,1일 50000원/80000원,수초지대,구명부환+소화기+구명조끼,화장실+쓰레기통,"평화의댐,비수구미",033-440-2946,강원도 화천군청,2018-08-10,4310000,강원도 화천군
형제낚시터,기타,강원도 화천군 간동면 간척월명로 873-43,강원도 화천군 간동면 방천리 1324-1,38.093985,127.848991,,50000,붕어+잉어+쏘가리,62,부유형,1일 50000원/80000원,수초지대,구명부환+소화기+구명조끼,화장실+쓰레기통,평화의댐,033-440-2946,강원도 화천군청,2018-08-10,4310000,강원도 화천군
도송좌대낚시터,기타,강원도 화천군 간동면 파로호로 567-19,강원도 화천군 간동면 구만리 679,38.079072,127.781646,,90000,붕어+잉어+쏘가리,163,부유형,1일 50000원/80000원,수초지대,구명부환+소화기+구명조끼,화장실+쓰레기통,평화의댐,033-440-2946,강원도 화천군청,2018-08-10,4310000,강원도 화천군
산내들낚시터,기타,강원도 철원군 김화읍 연동길33,강원도 철원군 김화읍 청양리 1719-6,38.2358501,127.3633638,033-458-0809,0.2,붕어,200,고정형,30000원/일,없음,"구명부환, 구명조끼, 소화기, 구급약품","화장실, 분리수거",화강,033-450-5391,철원군 농업기술센터 축산과,2018-08-20,4300000,강원도 철원군
자바자바실내낚시까페,기타,"강원도 철원군 동송읍 금학로 216, 지하1층","강원도 철원군 이평리 680-56, 지하1층",38.122851,127.136069,,0.00495,붕어,50,고정형,8000원/시간,없음,"구명부환, 구명조끼, 소화기, 구급약품","화장실, 분리수거",한탄강,033-450-5391,철원군 농업기술센터 축산과,2018-08-20,4300000,강원도 철원군
Joker낚시카페,기타,강원도 인제군 인제읍 인제로206번길 38 해밀빌딩 지하1층,강원도 인제군 인제읍 상동리 89-2번지,38.066373,128.175214,033-463-8899,44.18,잉어+향어,20,고정형,"10,000원",,구명부환(줄)+소화기+구급약품,화장실+세면시설+쓰레기통,,033-460-2253,강원도 인제군농업기술센터,2018-08-01,4330000,강원도 인제군
심천낚시터,기타,충청북도 영동군 심천면 이원심천리 432-59,,36.241402,127.711888,,4000,"붕어, 잉어류, 기타",50,없음,25000원,,"구명부환,구명줄,소화기 구급약품",화장실,"난계국악체험촌, 송호관광지, 천태산, 민주지산",,충청북도 영동군청,2018-02-23,4440000,충청북도 영동군
어미실낚시터,저수지,충청북도 영동군 영동읍 설계리 234,,36.184719,127.801062,,16602,"붕어, 잉어류, 기타",66,없음,10000원,,"구명부환,구명줄,소화기 구급약품",화장실,"난계국악체험촌,송호관광지, 천태산, 민주지산",,충청북도 영동군청,2018-02-23,4440000,충청북도 영동군
구만리낚시터,저수지,강원도 홍천군 북방면 구만리 782,,37.7252831,127.9659973,033-435-9995,4332,향어+붕어+잉어,50,없음,30000,,소화기+구급약+구명부환+확성기,화장실+쓰레기분리수거장,,,홍천군청,2017-12-01,4250000,강원도 홍천군
굴운낚시터,저수지,강원도 홍천군 화촌면 굴운리 642,,37.7252873,127.9638086,,3269,향어+붕어+잉어,40,없음,30000,,소화기+구급약+구명부환+확성기,화장실+쓰레기분리수거장,,,홍천군청,2017-12-01,4250000,강원도 홍천군
