사업소명,사업소전화번호,소재지도로명주소,소재지지번주소,위도,경도,트랙터및작업기보유대수,경운기및작업기보유대수,관리기및작업기보유대수,땅속작물수확기보유대수,탈곡기및정선작업기보유대수,자주형파종기보유대수,이앙작업기보유대수,벼수확및운반작업기보유대수,기타임대농기계보유정보,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
중부권,055-960-5299,경상남도 함양군 함양읍 고운로 539,경상남도 함양군 함양읍 백천리 405-1,35.5256023,127.7792646,39,12,14,9,10,2,0,0,46,055-960-5295,농업기술센터,2019-09-06,6480000,경상남도
산청 농기계임대사업소,055-970-7951,경상남도 산청군 산청읍 정곡척지로 3번길,경상남도 산청군 산청읍 병정리 326-1,35.402696592,127.900766987,120,14,32,28,26,0,0,2,0,055-970-7951,경상남도 산청군 농업기술센터,2019-09-06,6480000,경상남도
단성 농기계임대사업소,055-970-7961,경상남도 산청군 단성면 목화로 909,경상남도 산청군 단성면 사월리 22,35.2924418576,127.958154539,60,7,16,14,13,0,0,1,0,055-970-1961,경상남도 산청군 농업기술센터,2019-09-06,6480000,경상남도
남해군 농기계임대사업소,055-860-3928,경상남도 남해군 이동면 다정리 956,경상남도 남해군 이동면 남해대로 2465-3,,,21,23,10,7,3,2,0,3,0,055-860-3928,경상남도 남해군농업기술센터,2019-09-06,6480000,경상남도
하동군 남부권 농업기계 임대사업소,055-883-2686,경상남도 하동군 고전면 죽전길 9,경상남도 하동군 고전면 고하리 154-1,35.023506,127.8372753,45,12,9,8,4,1,0,4,0,055-880-2696,경상남도 하동군 농업기술센터,2019-09-06,6480000,경상남도
하동군 농업기계 임대사업소,055-880-2686,경상남도 하동군 적량면 한옥정길 90,경상남도 하동군 적량면 동산리 1830-1,35.078797,127.7689434,103,23,26,12,11,3,4,12,0,055-880-2696,경상남도 하동군 농업기술센터,2019-09-06,6480000,경상남도
고성군 농기계임대사업소,055-670-4238,경상남도 고성군 고성읍 남해안대로 2829-60,,34.9960151281,128.325766589,114,30,64,15,15,3,10,3,26,055-670-4238,경상남도 고성군 농업기계 임대사업소,2019-09-06,6480000,경상남도
삼척시농업기술센터 근덕본소,033-573-5546,강원도 삼척시 근덕면 맹방해변로49,강원도 삼척시 근덕면 교가리 424-85,37.3836310132,129.2290926729,50,9,78,17,12,6,2,4,농업용로우더(2)+충전분무기(3)+전동전지가위(3)+종자발아기(1)+그래플(3)등,033-570-4277,강원도 삼척시청,2019-06-05,4240000,강원도 삼척시
삼척시농업기술센터 남부지소,033-573-5548,강원도 삼척시 원덕읍 산양서원 1길16-36,강원도 삼척시 원덕읍 산양리 777-3,37.1407219616,129.285529435,38,5,40,5,10,0,2,2,농업용로우더(1)+충전분무기(3)+전동전지가위(2)+종자발아기(1)+그래플(1)등,033-570-4277,강원도 삼척시청,2019-06-05,4240000,강원도 삼척시
삼척시농업기술센터 서부지소,033-572-3015,강원도 삼척시 미로면 강원남부로3922,강원도 삼척시 미로면 하거노리 434,37.41162092,129.10718419,32,10,53,9,12,2,2,2,농업용로우더(1)+충전분무기(3)+전동전지가위(1)+그래플(3)등,033-570-4277,강원도 삼척시청,2019-06-05,4240000,강원도 삼척시
신의면농기계임대센터,061-271-9267,전라남도 신안군 신의면 가락길 12,전라남도 신안군 신의면 상태동리 602-1,34.590078,126.095175857,43,3,6,1,3,0,0,0,굴삭기,061-240-4161,농업기술센터,2019-07-01,5010000,전라남도 신안군
