체험마을명,시도명,시군구명,체험프로그램구분,체험프로그램명,보유시설정보,체험휴양마을면적,체험휴양마을사진,소재지도로명주소,대표자성명,대표전화번호,지정일자,홈페이지주소,관리기관명,위도,경도,데이터기준일자,제공기관코드,제공기관명
덕치구담마을,전라북도,임실군,전통음식체험,장아찌,"겸용(체험관,숙박관)",,,전라북도 임실군 덕치면 천담2길 287-4,유진영,,2011-03-25,,전라북도 임실군청,35.4753263,127.1750625,2019-06-28,6450000,전라북도
가덕마을,전라남도,함평군,만들기체험,,숙박시설,,,전라남도 함평군 신광면 동백길 31,김진섭,,2012-04-20,무,함평군,35.1330166341,126.4948156845,2020-02-27,4960000,전라남도 함평군
관촌신전마을,전라북도,임실군,전통음식체험,장류담그기,"겸용(체험관,숙박관)",,,전라북도 임실군 관촌면 상월로 478,김성운,,2010-07-07,,전라북도 임실군청,35.7198982,127.2685908,2019-06-28,6450000,전라북도
삼계학정마을,전라북도,임실군,전통음식체험,엿만들기,"체험관,숙박관",,,전라북도 임실군 삼계면 학정3길 43,신승철,,2011-05-18,,전라북도 임실군청,35.4922060,127.2236714,2019-06-28,6450000,전라북도
지사안하마을,전라북도,임실군,전통음식체험,장류담그기,"겸용(체험관,숙박관)",,,전라북도 임실군 지사면 안하4길 40,신현복,,2011-06-01,,전라북도 임실군청,35.5892519,127.3475654,2019-06-28,6450000,전라북도
임실치즈마을,전라북도,임실군,만들기체험,피자만들기,"체험관,숙박관",,,전라북도 임실군 임실읍 치즈마을1길 4,이진하,,2011-04-21,,전라북도 임실군청,35.6362587,127.2946935,2019-06-28,6450000,전라북도
오수둔덕마을,전라북도,임실군,만들기체험,"조청,오방실 등",체험관,,,전라북도 임실군 오수면 둔덕2길 36,이운재,,2014-06-30,,전라북도 임실군청,35.5037811,127.3177599,2019-06-28,6450000,전라북도
청웅수풍마을,전라북도,임실군,농작물경작체험,토마토,"체험관,숙박관",,,전라북도 임실군 청웅면 향교1길 40,박외진,,2014-10-15,,전라북도 임실군청,35.5841286,127.2042534,2019-06-28,6450000,전라북도
구미마을,전라북도,순창군,만들기체험,자전거하이킹+두부만들기+쳔연염색+농산물수확+메주만들기+고추장만들기,숙박시설+야영시설+체육시설,,,전라북도 순창군 동계면 귀미로 290,김철수,,2011-10-17,,순창군수,35.4438371894,127.211565,2020-01-08,4770000,전라북도 순창군
출렁다리마을,경상북도,예천군,만들기체험,,"숙박, 체험장",,,경상북도 예천군 용문면 용문경천로 826,허회국,054-652-7676,2009-06-18,http:// cafe.daum.net/crdrme,경상북도 예천군청,36.702484,128.374956,2020-02-28,5230000,경상북도 예천군
흰돌마을,경상북도,예천군,자연생태체험,,"숙박, 체험장",,,경상북도 예천군 효자면 제촌길 96,이두현,054-652-8005,2009-06-18,http://whitetown.co.kr/,경상북도 예천군청,36.805096,128.454376,2020-02-28,5230000,경상북도 예천군
계룡산상신마을,충청남도,충청남도공주시,전통음식체험,,,,,충청남도 공주시 반포면 상하신길 396,김미경,041-852-1479,2013-01-01,http://app.visitkorea.or.kr,충청남도공주시,36.3844904264,127.2201104278,2020-03-16,6440000,충청남도
밤톨이마을,충청남도,충청남도공주시,전통음식체험,,,,,충청남도 공주시 정안면 북계새뜸길 61,복명규,041-854-7770,2013-01-01,http://jeonganbam.invil.org/,충청남도공주시,36.5609834273,127.1232160362,2020-03-16,6440000,충청남도
무르실고추마을,충청남도,충청남도공주시,농작물경작체험,,,,,충청남도 공주시 신풍면 무르실길 17,양성모,041-840-2840,2013-01-01,https://www.gmjangter.com,충청남도공주시,36.4928797971,126.9405575761,2020-03-16,6440000,충청남도
광석면 사월1리마을,충청남도,논산시,농작물경작체험,,체험관,,,충청남도 논산시 광석면 사월길 189-13,박인범,041-732-8903,2011-01-10,https://blog.naver.com/gnafarm,충청남도 논산시청,36.2595046012,127.0923138092,2020-03-10,4540000,충청남도 논산시
양촌면 햇빛촌바랑산마을,충청남도,논산시,만들기체험,,체험관,,,충청남도 논산시 양촌면 바랑산2길 60,이동신,041-741-4978,2011-01-10,http://barang.invil.org/index.html,충청남도 논산시청,36.1295827897,127.2757419098,2020-03-10,4540000,충청남도 논산시
연산면 덕바위농촌체험휴양마을,충청남도,논산시,농작물경작체험,,체험판매장,,,충청남도 논산시 연산면 선비로604번길 46-20,안상모,041-733-2063,2011-01-10,http://www.deokbawi.co.kr/,충청남도 논산시청,36.2376936845,127.1844160556,2020-03-10,4540000,충청남도 논산시
성동면 포전녹색농촌체험마을,충청남도,논산시,농작물경작체험,,체험관+주차장+화장실,,,충청남도 논산시 성동면 우곤1길 69,김승권,041-732-5508,2011-02-22,https://pojeon.modoo.at/,충청남도 논산시청,36.1982477933,126.9960728275,2020-03-10,4540000,충청남도 논산시
연산면 황산벌둥지,충청남도,논산시,전통문화체험,,체험관,,,충청남도 논산시 연산면 신양길 167-10,이기복,041-735-0700,2014-05-28,https://hsb.modoo.at/,충청남도 논산시청,36.1930660616,127.2284323449,2020-03-10,4540000,충청남도 논산시
계룡쌈채피망정보화마을,충청남도,계룡,만들기체험,"컬러푸드 수확, 허수아비만들기, 음식체험, 노랑피망쾌사디아",,143,,충청남도 계룡시 엄사면 광석향한길43-8,송무선,042-841-0074,2015-01-13,http://pm.invil.org/index.html,충청남도 계룡시청,36.266859,127.224520,2018-08-10,5580000,충청남도 계룡시
강당골마을,충청남도,아산시,건강,힐링마사지,체험관,,,충청남도 아산시 송악면 강당로 187-8,남민우,041-545-7433,2011-11-21,,충청남도 아산시 농업기술센터,36.716932,127.015568,2018-09-21,4520000,충청남도 아산시
신수리마을,충청남도,아산시,농작물경작체험,버섯수확+마을생태 체험,체험관,,,충청남도 아산시 음봉면 신수리 295-5,신광균,041-533-7577,2017-03-16,,충청남도 아산시 농업기술센터,36.855040,126.984690,2018-09-21,4520000,충청남도 아산시
희안마을,충청남도,아산시,농작물경작체험,옥수수 수확,체험관,,,충청남도 아산시 남부로8번길 36,김병학,041-548-1419,2012-03-06,,충청남도 아산시 농업기술센터,36.768600,126.982162,2018-09-21,4520000,충청남도 아산시
내이랑마을,충청남도,아산시,농작물경작체험,오디체험+농경유물관관람,체험관+농경유물전시관,,,충청남도 아산시 영인면 신봉길 248,김규태,041-544-4633,2012-01-19,,충청남도 아산시 농업기술센터,36.899675,126.996247,2018-09-21,4520000,충청남도 아산시
의귀리농촌체험휴양마을,제주특별자치도,서귀포시,자연생태체험,감귤따기+4.3마을올레길체험,숙박시설+승마시설,,,제주특별자치도 서귀포시 남원읍 한신로 207,고행곤,064-764-0185,2016-08-29,http://jejuvill.jeju.go.kr/jejutown/domain-root/4206,제주특별자치도 서귀포시,33.3102297,126.7134925,2019-05-31,6520000,제주특별자치도 서귀포시
외암마을,충청남도,아산시,전통문화체험,떡메치기+한과만들기+김장체험,체험관+전통한옥,,,충청남도 아산시 송악면 외암민속길 42-7,이규정,041-541-0848,2010-11-15,,충청남도 아산시 농업기술센터,36.729963,127.017968,2018-09-21,4520000,충청남도 아산시
다라미자운영마을,충청남도,아산시,전통문화체험,친환경 논 생태체험+꿀벌상태관찰,체험관,,,충청남도 아산시 송악면 평촌길 107-9,안복규,041-544-7429,2011-02-28,,충청남도 아산시 농업기술센터,36.734484,127.001034,2018-09-21,4520000,충청남도 아산시
꽃가꾸는대통령마을,충청남도,아산시,자연생태체험,승마체험+사슴농장방문,체험관+승마장,,,충청남도 아산시 음봉면 충무로604번길 106-20,황원기,,2011-12-08,,충청남도 아산시 농업기술센터,36.834426,127.022922,2018-09-21,4520000,충청남도 아산시
