터널명,터널종류,시설물종별등급구분,도로종류,도로노선명,도로노선번호,도로노선방향,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,터널시작점위도,터널시작점경도,터널종료점위도,터널종료점경도,터널연장,터널폭,터널보도폭,터널높이,차로수,터널준공년도,최종안전점검일자,최종안전점검결과,최종안전점검유형,내진설계적용여부,내진성능확보여부,터널보수보강내역,터널보수보강비용,중계기종류,터널관리시스템적용여부,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
강천터널(강릉),도로터널,2종,01,5050,,상행,경기도,여주시,41670,,경기도 여주시 강천,00.000000,000.000000,00.000000,000.000000,329,10,0,6.7,2,1994,2018-12-31,B,정밀점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
광교터널(강릉1),도로터널,2종,01,5050,,상행,경기도,수원시,41111,,경기도 수원시 장안,00.000000,000.000000,00.000000,000.000000,499,11.6,0,7.3,2,2013,2018-12-31,A,정기점검,미적용,N,,0,-    ,N,한국도로공사 수도권본부,02-2225-8411,2020-01-01,AAAAAAA,공공데이터활용지원센터
금사5터널(양평),도로터널,1종,01,5045,,하행,경기도,여주시,41670,,경기도 여주시 금사,00.000000,000.000000,00.000000,000.000000,1889,11.3,0,7.3,2,2012,2018-12-31,A,정밀점검,미적용,N,,0,-    ,N,한국도로공사 수도권본부,02-2225-8411,2020-01-01,AAAAAAA,공공데이터활용지원센터
금사5터널(마산),도로터널,1종,01,5045,,상행,경기도,여주시,41670,,경기도 여주시 금사,00.000000,000.000000,00.000000,000.000000,1869,11.3,0,7.3,2,2012,2018-12-31,A,정밀점검,미적용,N,,0,-    ,N,한국도로공사 수도권본부,02-2225-8411,2020-01-01,AAAAAAA,공공데이터활용지원센터
금사4터널(양평),도로터널,2종,01,5045,,하행,경기도,여주시,41670,,경기도 여주시 금사,00.000000,000.000000,00.000000,000.000000,266,11.3,0,7.3,2,2012,2018-12-31,A,정밀점검,미적용,N,,0,-    ,N,한국도로공사 수도권본부,02-2225-8411,2020-01-01,AAAAAAA,공공데이터활용지원센터
금사4터널(마산),도로터널,2종,01,5045,,상행,경기도,여주시,41670,,경기도 여주시 금사,00.000000,000.000000,00.000000,000.000000,268,11.3,0,7.3,2,2012,2018-12-31,A,정밀점검,미적용,N,,0,-    ,N,한국도로공사 수도권본부,02-2225-8411,2020-01-01,AAAAAAA,공공데이터활용지원센터
금사3터널(양평),도로터널,2종,01,5045,,하행,경기도,여주시,41670,,경기도 여주시 금사,00.000000,000.000000,00.000000,000.000000,900,11.3,0,7.3,2,2012,2018-12-31,A,정밀점검,미적용,N,,0,-    ,N,한국도로공사 수도권본부,02-2225-8411,2020-01-01,AAAAAAA,공공데이터활용지원센터
금사3터널(마산),도로터널,2종,01,5045,,상행,경기도,여주시,41670,,경기도 여주시 금사,00.000000,000.000000,00.000000,000.000000,900,11.3,0,7.3,2,2012,2018-12-31,A,정밀점검,미적용,N,,0,-    ,N,한국도로공사 수도권본부,02-2225-8411,2020-01-01,AAAAAAA,공공데이터활용지원센터
금사2터널(양평),도로터널,2종,01,5045,,하행,경기도,여주시,41670,,경기도 여주시 금사,00.000000,000.000000,00.000000,000.000000,132,11.3,0,7.3,2,2012,2018-12-31,A,정밀점검,미적용,N,,0,-    ,N,한국도로공사 수도권본부,02-2225-8411,2020-01-01,AAAAAAA,공공데이터활용지원센터
금사2터널(마산),도로터널,2종,01,5045,,상행,경기도,여주시,41670,,경기도 여주시 금사,00.000000,000.000000,00.000000,000.000000,165,11.3,0,7.3,2,2012,2018-12-31,A,정밀점검,미적용,N,,0,-    ,N,한국도로공사 수도권본부,02-2225-8411,2020-01-01,AAAAAAA,공공데이터활용지원센터
강릉4터널(동해),도로터널,2종,01,5065,,하행,강원도,강릉시,42150,,강원도 강릉시 강동,00.000000,000.000000,00.000000,000.000000,960,11.8,0,7.3,2,2004,2018-12-31,B,정밀점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
강릉3터널(속초),도로터널,2종,01,5065,,상행,강원도,강릉시,42150,,강원도 강릉시 강동,00.000000,000.000000,00.000000,000.000000,140,11.8,0,7.5,2,2004,2018-12-31,B,정밀점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
강릉3터널(동해),도로터널,2종,01,5065,,하행,강원도,강릉시,42150,,강원도 강릉시 강동,00.000000,000.000000,00.000000,000.000000,140,11.8,0,7.5,2,2004,2018-12-31,B,정밀점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
강릉2터널(속초),도로터널,2종,01,5065,,상행,강원도,강릉시,42150,,강원도 강릉시 강동,00.000000,000.000000,00.000000,000.000000,210,11.8,0,7.5,2,2004,2018-12-31,B,정밀점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
강릉2터널(동해),도로터널,2종,01,5065,,하행,강원도,강릉시,42150,,강원도 강릉시 강동,00.000000,000.000000,00.000000,000.000000,210,11.8,0,7.5,2,2004,2018-12-31,B,정밀점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
강릉1터널(속초),도로터널,1종,01,5065,,상행,강원도,강릉시,42150,,강원도 강릉시 옥계,00.000000,000.000000,00.000000,000.000000,450,13.8,0,8.3,3,2004,2018-12-31,B,정밀점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
강릉1터널(동해),도로터널,2종,01,5065,,하행,강원도,강릉시,42150,,강원도 강릉시 옥계,00.000000,000.000000,00.000000,000.000000,535,11.2,0,7.3,2,2004,2018-12-31,B,정밀점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
동해터널(속초),도로터널,2종,01,5065,,상행,강원도,동해시,42170,,강원도 동해시 평릉,00.000000,000.000000,00.000000,000.000000,300,12.6,0,5.5,2,2004,2018-12-31,B,정밀점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
동해터널(동해),도로터널,2종,01,5065,,하행,강원도,동해시,42170,,강원도 동해시 평릉,00.000000,000.000000,00.000000,000.000000,300,12.6,0,5.5,2,2004,2018-12-31,B,정밀점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
대관령7터널(인천),도로터널,1종,01,5050,,하행,강원도,강릉시,42150,,강원도 강릉시 성산,00.000000,000.000000,00.000000,000.000000,120,13.8,0,10.4,3,2001,2018-12-31,B,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
대관령7터널(강릉),도로터널,2종,01,5050,,상행,강원도,강릉시,42150,,강원도 강릉시 성산,00.000000,000.000000,00.000000,000.000000,120,11.7,0,9.4,2,2001,2018-12-31,B,정밀점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
대관령6터널(인천),도로터널,1종,01,5050,,하행,강원도,강릉시,42150,,강원도 강릉시 성산,00.000000,000.000000,00.000000,000.000000,234,13.8,0,9.4,3,2001,2018-12-31,B,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
대관령6터널(강릉),도로터널,2종,01,5050,,상행,강원도,강릉시,42150,,강원도 강릉시 성산,00.000000,000.000000,00.000000,000.000000,202,11.7,0,8.4,2,2001,2018-12-31,B,정밀점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
대관령5터널(인천),도로터널,1종,01,5050,,하행,강원도,강릉시,42150,,강원도 강릉시 왕산,00.000000,000.000000,00.000000,000.000000,1209,14.3,0,8.4,3,2001,2018-12-31,B,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
