역번호,역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자,제공기관코드,제공기관명
121,지족,S3001,대전도시철도 1호선,Jijok,智足,일반역,,,36.384106,127.319501,대전광역시 도시철도공사,대전광역시 유성구 노은로 273(지족동),042-539-3621,2019-09-16,B551918,대전광역시도시철도공사
120,노은,S3001,대전도시철도 1호선,Noeun,老隱,일반역,,,36.374150,127.317835,대전광역시 도시철도공사,대전광역시 유성구 노은로 지하 161(지족동),042-539-3620,2019-09-16,B551918,대전광역시도시철도공사
119,월드컵경기장,S3001,대전도시철도 1호선,World Cup  Stadium,월드컵競技場,일반역,,,36.366825,127.317859,대전광역시 도시철도공사,대전광역시 유성구 한밭대로 지하 155(노은동),042-539-3619,2019-09-16,B551918,대전광역시도시철도공사
118,현충원,S3001,대전도시철도 1호선,National  Cemetery,顯忠院,일반역,,,36.359021,127.321525,대전광역시 도시철도공사,대전광역시 유성구 현충원로 지하 455(구암동),042-539-3618,2019-09-16,B551918,대전광역시도시철도공사
117,구암,S3001,대전도시철도 1호선,Guam,九岩,일반역,,,36.356605,127.330830,대전광역시 도시철도공사,대전광역시 유성구 유성대로 703(구암동),042-539-3617,2019-09-16,B551918,대전광역시도시철도공사
116,유성온천,S3001,대전도시철도 1호선,Yuseong Spa,儒城溫泉,일반역,,,36.353689,127.341524,대전광역시 도시철도공사,대전광역시 유성구 계룡로 지하 97(봉명동),042-539-3616,2019-09-16,B551918,대전광역시도시철도공사
115,갑천,S3001,대전도시철도 1호선,Gapcheon,甲川,일반역,,,36.354578,127.354467,대전광역시 도시철도공사,대전광역시 서구 갑천도시고속도로 지하 1833(월평동),042-539-3615,2019-09-16,B551918,대전광역시도시철도공사
114,월평,S3001,대전도시철도 1호선,Wolpyeong,月坪,일반역,,,36.358272,127.364382,대전광역시 도시철도공사,대전광역시 서구 한밭대로 지하 595(월평동),042-539-3614,2019-09-16,B551918,대전광역시도시철도공사
113,갈마,S3001,대전도시철도 1호선,Galma,葛馬,일반역,,,36.357522,127.372632,대전광역시 도시철도공사,대전광역시 서구 한밭대로 지하 666(갈마동),042-539-3613,2019-09-16,B551918,대전광역시도시철도공사
112,정부청사,S3001,대전도시철도 1호선,Government  Complex Daejeon,政府廳舍,일반역,,,36.357661,127.381047,대전광역시 도시철도공사,대전광역시 서구 한밭대로 지하 744(둔산동),042-539-3612,2019-09-16,B551918,대전광역시도시철도공사
111,시청,S3001,대전도시철도 1호선,City Hall,市廳,일반역,,,36.351673,127.386739,대전광역시 도시철도공사,대전광역시 서구 둔산중로 지하 55(둔산동),042-539-3611,2019-09-16,B551918,대전광역시도시철도공사
110,탄방,S3001,대전도시철도 1호선,Tanbang,炭坊,일반역,,,36.345440,127.384603,대전광역시 도시철도공사,대전광역시 서구 문정로48번길 지하 19(탄방동),042-539-3610,2019-09-16,B551918,대전광역시도시철도공사
109,용문,S3001,대전도시철도 1호선,Yongmun,龍汶,일반역,,,36.338252,127.393317,대전광역시 도시철도공사,대전광역시 서구 계룡로 지하 644(용문동),042-539-3609,2019-09-16,B551918,대전광역시도시철도공사
108,오룡,S3001,대전도시철도 1호선,Oryong,五龍,일반역,,,36.328582,127.405046,대전광역시 도시철도공사,대전광역시 중구 계룡로 지하 793(오류동),042-539-3608,2019-09-16,B551918,대전광역시도시철도공사
107,서대전네거리,S3001,대전도시철도 1호선,Seodaejeon negeori,西大田네거리,일반역,,,36.322416,127.412518,대전광역시 도시철도공사,대전광역시 중구 계룡로 지하 889(용두동),042-539-3607,2019-09-16,B551918,대전광역시도시철도공사
106,중구청,S3001,대전도시철도 1호선,Jung-gu Office,中區廳,일반역,,,36.324831,127.419627,대전광역시 도시철도공사,대전광역시 중구 중앙로 지하 71 (선화동),042-539-3606,2019-09-16,B551918,대전광역시도시철도공사
105,중앙로,S3001,대전도시철도 1호선,Jungangno,中央路,일반역,,,36.328664,127.425842,대전광역시 도시철도공사,대전광역시 중구 중앙로 지하 145 (은행동),042-539-3605,2019-09-16,B551918,대전광역시도시철도공사
