산코드,산명,등산로순번,등산로명,등산로주요지점내용,등산로길이,등산로난이도명,등산로상행시간,등산로하행시간,등산로재질내용,등산로통제여부,등산로폐쇄여부,등산로위험구간내용,등산로추천여부,데이터기준일자,제공기관코드,제공기관명
272300102,함지산,1,,원담사~망일봉,1.8,,,,,,,,,2019-12-06,3450000,대구광역시 북구
272000106,앞산,6,자락실 6코스,안지랑골~매자골,1.1,쉬움,22,22,육산(100),N,N,N,Y,2020-03-30,3440000,대구광역시 남구
272000105,앞산,5,자락실 5코스,충혼탑~안지랑골,1.3,쉬움,26,26,육산(100),N,N,N,Y,2020-03-30,3440000,대구광역시 남구
272000104,앞산,4,자락실 4코스,케이블카~충혼탑,1.1,쉬움,22,22,육산(100),N,N,N,Y,2020-03-30,3440000,대구광역시 남구
272000103,앞산,3,자락실 3코스,맨발산책로입구~케이블카,2.3,쉬움,50,50,육산(100),N,N,N,Y,2020-03-30,3440000,대구광역시 남구
272000102,앞산,2,자락실 2코스,고산골 수덕사~맨발산책로 입구,0.9,쉬움,18,18,육산(100),N,N,N,Y,2020-03-30,3440000,대구광역시 남구
272000101,앞산,1,자락실 1코스,고산골 입구 ~ 고산골 수덕사,0.9,쉬움,18,18,육산(100),N,N,N,Y,2020-03-30,3440000,대구광역시 남구
232300501,백세정,3,,대구사격장~백세정,0.8,,,,,,,,,2019-12-06,3450000,대구광역시 북구
232300501,백세정,2,,내곡근린공원~백세정,1.5,,,,,,,,,2019-12-06,3450000,대구광역시 북구
232300501,백세정,1,,천년나무8단지~백세정,3.3,,,,,,,,,2019-12-06,3450000,대구광역시 북구
232300500,태복산,6,,장태실마을앞(정류장)~태복산,4.1,,,,,,,,,2019-12-06,3450000,대구광역시 북구
232300500,태복산,5,,매천자율방범대~태복산,3.6,,,,,,,,,2019-12-06,3450000,대구광역시 북구
232300500,태복산,4,,환타랜드유치원~태복산,3,,,,,,,,,2019-12-06,3450000,대구광역시 북구
232300500,태복산,3,,매천초등학교~태복산,1.2,,,,,,,,,2019-12-06,3450000,대구광역시 북구
232300500,태복산,2,,칠곡IC충전소~태복산,0.5,,,,,,,,,2019-12-06,3450000,대구광역시 북구
232300500,태복산,1,,백세정~태복산,1.6,,,,,,,,,2019-12-06,3450000,대구광역시 북구
232300401,응해산,1,,연경택지지구~응해산,3.6,,,,,,,,,2019-12-06,3450000,대구광역시 북구
232300400,도덕산,4,,도덕산~응해산,2.3,,,,,,,,,2019-12-06,3450000,대구광역시 북구
232300400,도덕산,3,,광해군태실~도덕산,5.8,,,,,,,,,2019-12-06,3450000,대구광역시 북구
232300400,도덕산,2,,서리지입구~도덕산,5.2,,,,,,,,,2019-12-06,3450000,대구광역시 북구
232300400,도덕산,1,,도시철도공사칠곡차량기지~도덕산,6,,,,,,,,,2019-12-06,3450000,대구광역시 북구
272300301,안양봉,2,,강북테니스장~안양봉,2.3,,,,,,,,,2019-12-06,3450000,대구광역시 북구
272300301,안양봉,1,,혜원사~안양봉,2.5,,,,,,,,,2019-12-06,3450000,대구광역시 북구
272300300,명봉산,2,,명봉산~안양봉,1.5,,,,,,,,,2019-12-06,3450000,대구광역시 북구
272300300,명봉산,1,,안양지~명봉산,2.5,,,,,,,,,2019-12-06,3450000,대구광역시 북구
272300202,화담산(학봉),3,,연경택지지구~학봉,0.8,,,,,,,,,2019-12-06,3450000,대구광역시 북구
272300201,화담산(학봉),2,,경주이씨제실~학봉,1.4,,,,,,,,,2019-12-06,3450000,대구광역시 북구
272300200,화담산(학봉),1,,화담마을입구~학봉,2.6,,,,,,,,,2019-12-06,3450000,대구광역시 북구
272300102,함지산,3,,서변동청아람아파트~망일봉,1.5,,,,,,,,,2019-12-06,3450000,대구광역시 북구
272300102,함지산,2,,대각사~망일봉,0.9,,,,,,,,,2019-12-06,3450000,대구광역시 북구
272300101,함지산,4,,함지산정상~조야고개,1.1,,,,,,,,,2019-12-06,3450000,대구광역시 북구
301102904,136고지금성마을,1,신상동구간,,0.18,쉬움,3,2,,,,,,2018-01-11,AAAAAAA,공공데이터활용지원센터
301102904,136고지금성마을,2,주산동구간,,0.14,쉬움,2,2,,,,,,2018-01-11,AAAAAAA,공공데이터활용지원센터
301102904,136고지금성마을,3,주산동구간,,0.3,쉬움,5,4,,,,,,2018-01-11,AAAAAAA,공공데이터활용지원센터
301102904,136고지금성마을,4,주산동구간,,0.22,쉬움,4,3,,,,,,2018-01-11,AAAAAAA,공공데이터활용지원센터
301102904,136고지금성마을,5,신상동구간,,0.05,쉬움,1,1,,,,,,2018-01-11,AAAAAAA,공공데이터활용지원센터
301102904,136고지금성마을,6,신상동구간,,0.17,쉬움,3,2,,,,,,2018-01-11,AAAAAAA,공공데이터활용지원센터
301102904,136고지금성마을,7,주산동구간,,0.15,쉬움,3,2,,,,,,2018-01-11,AAAAAAA,공공데이터활용지원센터
301102904,136고지금성마을,8,주산동구간,,0.22,쉬움,4,3,,,,,,2018-01-11,AAAAAAA,공공데이터활용지원센터
301103004,138고지,9,구도동구간,,0.19,쉬움,3,2,,,,,,2018-01-11,AAAAAAA,공공데이터활용지원센터
272300101,함지산,3,,함지농장~조야고개,2,,,,,,,,,2019-12-06,3450000,대구광역시 북구
272300101,함지산,2,,옻골동산~조야고개,1.4,,,,,,,,,2019-12-06,3450000,대구광역시 북구
272300101,함지산,1,,운암지숲유치원~조야고개,2.2,,,,,,,,,2019-12-06,3450000,대구광역시 북구
272300100,함지산,3,,구암어린이집~함지산,1.2,,,,,,,,,2019-12-06,3450000,대구광역시 북구
272300100,함지산,2,,노곡분소~함지산정상,2.4,,,,,,,,,2019-12-06,3450000,대구광역시 북구
272300100,함지산,1,,대백인터빌~함지산정상,4.3,,,,,,,,,2019-12-06,3450000,대구광역시 북구
488800100,갈전산,1,,,0.7643,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488800201,감악산,2,,,0.952,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488800302,감토산,3,,,0.5176,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488800403,강섭산,4,,,0.64,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488800504,거말산,5,,,0.9016,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488800605,건흥산,6,,,0.5721,쉬움,,,,,,,,2020-07-10,5470000,경상남도 거창군
488800706,금귀산,7,,,0.837,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488800807,금원산,8,,,1.3525,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488800908,기백산,9,,,1.331,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488801009,기세우산,10,,,0.7186,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488801110,남산,11,,,1.1129,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488801211,남덕유산,12,,,1.5074,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488801312,대덕산,13,,,0.837,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488801413,대룡산,14,,,0.809,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488801514,덕갈산,15,,,0.668,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488801615,두무산,16,,,1.036,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488801716,매봉산,17,,,0.81,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488801817,모리산,18,,,0.8775,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488801918,무용산,19,,,1.4919,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488802019,문재산,20,,,0.931,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488802120,바랑산,21,,,0.7964,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488802221,박산,22,,,0.501,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488802322,박유산,23,,,0.712,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488802423,보록산,24,,,0.664,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488802524,보해산,25,,,0.9115,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488802625,불영산,26,,,0.8345,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488802726,비계산,27,,,1.13,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488802827,사별산,28,,,0.66,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488802928,삼봉산,29,,,1.254,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488803029,석부산,30,,,0.6883,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488803130,성령산,31,,,0.494,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488803231,성령산,32,,,0.448,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488803332,소룡산,33,,,0.761,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488803433,솔봉산,34,,,0.628,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488803534,송산,35,,,0.8018,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488803635,수도산,36,,,1.313,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488803736,숙성산,37,,,0.9,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488803837,아홉산,38,,,0.7951,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488803938,악령산,39,,,0.7123,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488804039,양각산,40,,,1.15,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488804140,오도산,41,,,1.12,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488804241,오두산,42,,,0.957,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488804342,우두산,43,,,1.0463,어려움,,,,,,,,2020-07-10,5470000,경상남도 거창군
488804443,월봉산,44,,,1.2792,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488804544,월여산,45,,,0.8626,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488804645,월현산,46,,,0.5509,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488804746,재안산,47,,,0.72,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488804847,천장리산,48,,,0.774,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488804948,철마산,49,,,0.772,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488805049,초점산,50,,,1.249,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488805150,할미산,51,,,0.709,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488805251,호음산,52,,,0.9298,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488805352,현성산,53,,,0.96,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
488805453,흰대미산,54,,,1.018,중간,,,,,,,,2020-07-10,5470000,경상남도 거창군
292000101,어등산,1,어등산1-1코스,광주여대 ~ 산정약수터,2.5,중간,48,33,"육산(95), 암릉(5)",N,N,,Y,2020-07-13,3630000,광주광역시 광산구
292000101,어등산,2,어등산1-2코스,절골 ~ 석봉,3.8,중간,60,40,"육산(95), 암릉(5)",N,N,,Y,2020-07-13,3630000,광주광역시 광산구
292000101,어등산,3,어등산2코스,보문고 ~ 구절터,2.3,중간,38,27,"육산(95), 암릉(5)",N,N,,Y,2020-07-13,3630000,광주광역시 광산구
292000101,어등산,4,어등산3코스,호남대 ~ 석봉,2.1,중간,63,43,"육산(95), 암릉(5)",N,N,,Y,2020-07-13,3630000,광주광역시 광산구
292000101,어등산,5,어등산4코스,호대축구장 ~ 석봉,1.3,중간,60,41,"육산(95), 암릉(5)",N,N,,Y,2020-07-13,3630000,광주광역시 광산구
292000101,어등산,6,어등산5코스,마당바위 ~ 석봉,2.1,중간,57,40,"육산(90), 암릉(10)",N,N,,Y,2020-07-13,3630000,광주광역시 광산구
292000101,어등산,7,어등산6코스,원서봉 ~ 석봉,1.6,중간,67,54,"육산(95), 암릉(5)",N,N,,Y,2020-07-13,3630000,광주광역시 광산구
292000101,어등산,8,어등산7코스,절골삼거리 ~ 장수제,1.5,중간,38,26,"육산(95), 암릉(5)",N,N,,Y,2020-07-13,3630000,광주광역시 광산구
292000101,어등산,9,어등산8코스,송산유원지 ~ 석봉,1.9,중간,65,46,"육산(90), 암릉(10)",N,N,,Y,2020-07-13,3630000,광주광역시 광산구
292000201,용진산,1,용진산1코스,용진정사 ~ 석봉 ~ 토봉,2.3,어려움,80,60,"육산(40), 암릉(60)",N,N,암릉구역 등,Y,2020-07-13,3630000,광주광역시 광산구
292000201,용진산,2,용진산2코스,사호동 ~ 석봉,1.5,중간,45,30,"육산(70), 암릉(30)",N,N,암릉구역 등,Y,2020-07-13,3630000,광주광역시 광산구
292000201,용진산,3,용진산3코스,지산동 ~ 석봉,0.9,중간,20,15,"육산(90), 암릉(10)",N,N,,Y,2020-07-13,3630000,광주광역시 광산구
292000301,백우산,1,백우산1코스,하림마을 ~ 오룡마을,8.4,중간,120,120,"육산(80), 암릉(20)",N,N,,Y,2020-07-13,3630000,광주광역시 광산구
292000301,백우산,2,백우산2코스,판사등산 ~ 월봉서원,1.5,중간,20,15,"육산(95), 암릉(5)",N,N,,Y,2020-07-13,3630000,광주광역시 광산구
292000401,복룡산,1,복룡산1코스,용곡마을 ~ 정상,1.6,중간,35,30,"육산(80), 암릉(20)",N,N,,Y,2020-07-13,3630000,광주광역시 광산구
468001701,천관산,1,연대봉 1,장천재 ~ 양근암 ~ 연대봉,2.9,중간,90,90,"육산, 암석",N,N,N,Y,2020-07-07,4910000,전라남도 장흥군
468001701,천관산,2,연대봉 2,장천재 ~ 금수굴 ~ 연대봉,3.3,중간,100,100,"육산, 암석",N,N,N,Y,2020-07-07,4910000,전라남도 장흥군
468001701,천관산,3,환희대 1,장천재 ~ 금강굴 ~ 환희대,3.2,중간,90,90,"육산, 암석",N,N,N,Y,2020-07-07,4910000,전라남도 장흥군
468001701,천관산,4,탑산사 1,탑산사 ~ 불영봉 ~ 연대봉,3.5,어려움,70,70,"육산, 암석",N,N,N,Y,2020-07-07,4910000,전라남도 장흥군
468001701,천관산,5,탑산사 2,탑산사 ~ 닭봉 ~ 연대봉,1.8,중간,50,50,"육산, 암석",N,N,N,Y,2020-07-07,4910000,전라남도 장흥군
468001701,천관산,6,천관사 1,천관사 ~ 구정봉 ~ 환희대,2.3,중간,80,80,"육산, 암석",N,N,N,Y,2020-07-07,4910000,전라남도 장흥군
468002101,제암산,1,철쭉평원1,주차장 ~도끼바위 ~ 곰재 ~ 철쭉평원,1.7,쉬움,60,60,육산,N,N,N,Y,2020-07-07,4910000,전라남도 장흥군
468002101,제암산,2,철쭉평원2,주차장 ~ 간재 ~ 철쭉평원 ~ 곰재 ~ 돌탑 ~ 정상,5.5,중간,170,170,육산,N,N,N,Y,2020-07-07,4910000,전라남도 장흥군
468002101,제암산,3,원점회귀,주차장 ~ 곰재 ~ 정상 ~ 형제바위 ~ 공원묘지,5.6,중간,150,150,"육산,암석",N,N,형제바위(가파른 구간),Y,2020-07-07,4910000,전라남도 장흥군
468002101,제암산,4,호남정맥 구간,갑낭재 ~ 정상 ~ 곰재 ~ 간재 ~ 사자산,11.7,어려움,420,60,육산,,,,,2020-07-07,4910000,전라남도 장흥군
468001401,억불산,1,우드랜드 1,평화약수터 ~ 정상 ~ 우드랜드,3.5,쉬움,90,90,"육산, 데크",N,N,N,Y,2020-07-07,4910000,전라남도 장흥군
468001401,억불산,2,남도대 1,남도대 ~ 며느리바위 ~ 정상,1.3,어려움,60,60,"육산, 암석",N,N,"며느리바위 ~ 남도대(돌길, 가파름)",N,2020-07-07,4910000,전라남도 장흥군
468001401,억불산,3,저수지,평화저수지 ~ 약수터 ~ 천문과학관 ~ 정상 ~ 우드랜드,4,쉬움,120,120,,N,N,N,Y,2020-07-07,4910000,전라남도 장흥군
468001401,억불산,4,우드랜드 2,평화약수터 ~ 정상 ~ 며느리바위 ~ 우드랜드,4.2,쉬움,140,140,육산,N,N,N,Y,2020-07-07,4910000,전라남도 장흥군
468001801,사자산,1,패러글라이딩장,임도 ~ 패러글라이딩장 ~ 두봉,1.2,쉬움,30,30,육산,N,N,N,Y,2020-07-07,4910000,전라남도 장흥군
468001801,사자산,2,철쭉감상능선,제암산 ~ 곰재 ~ 간재 ~ 미봉 ~ 두봉 ~ 제암산주차장,7.6,중간,200,200,,N,N,N,Y,2020-07-07,4910000,전라남도 장흥군
468001801,사자산,3,의학센터,의학센터 ~ 임도 ~ 달바우산 ~ 사자산 미봉,3.7,중간,200,200,"육산, 암석",,,달바우산,,2020-07-07,4910000,전라남도 장흥군
468001901,수인산,1,수인산성 1,수덕주차장 ~ 수인산성(외성) ~ 노적봉,1.5,쉬움,40,40,육산,N,N,N,Y,2020-07-07,4910000,전라남도 장흥군
468001901,수인산,2,수인산성 2,외성 ~ 내성 ~ 억새밭 ~ 노적봉 ~ 억새밭,1.5,쉬움,40,40,육산,N,N,N,Y,2020-07-07,4910000,전라남도 장흥군
468001901,수인산,3,억새밭,억새밭 ~ 병영경계 ~ 절샘터 ~ 억새밭,1.5,쉬움,40,40,육산,N,N,N,Y,2020-07-07,4910000,전라남도 장흥군
468001901,수인산,4,정남진리조트,정남진리조트 ~ 기역산 ~ 빈재,2.5,중간,90,90,육산,N,N,N,Y,2020-07-07,4910000,전라남도 장흥군
468001101,부용산,1,부용사,운주마을 ~ 부용사 ~ 정상,2.6,중간,110,110,육산,N,N,N,Y,2020-07-07,4910000,전라남도 장흥군
468001101,부용산,2,수리봉,운주마을 ~ 수리봉 ~ 정상,3.2,중간,130,130,육산,N,N,N,Y,2020-07-07,4910000,전라남도 장흥군
468001101,부용산,3,웰빙숲길,운주마을 ~ 웰빙숲길 ~ 운주마을,2.8,쉬움,60,60,육산,N,N,N,Y,2020-07-07,4910000,전라남도 장흥군
418303701,중원산,9,중원산,신점리-용계골-정상,3,,140,,,,,,,2020-06-16,4170000,경기도 양평군
468001101,부용산,4,웰빙숲길 2,운주마을 ~ 부용사 ~ 정상 ~ 수리봉 ~ 운주마을,6.4,중간,180,180,육산,N,N,N,Y,2020-07-07,4910000,전라남도 장흥군
468001601,용두산,1,호남정맥 2,피재 ~ 병무산 ~ 용두산 ~ 갑낭재,14,어려움,310,310,"육산, 암석",N,N,N,Y,2020-07-07,4910000,전라남도 장흥군
468000101,가지산,1,보림사,보림사 ~ 비자림산림욕장 ~ 소나무산림욕장,3.5,쉬움,110,110,육산,N,N,N,Y,2020-07-07,4910000,전라남도 장흥군
477200100,아미산,1,아미산등산로,앵기랑바위-아미산정상-방가산,10.9,어려움,360,360,"산길, 목계단 등",N,N,아미산 초입 암석등반시 낙석주의,Y,2020-07-08,5140000,경상북도 군위군
477200200,국통산,1,국통산등산로,국통산정상,2.4,중간,60,40,"산길, 목계단 등",N,N,,Y,2020-07-08,5140000,경상북도 군위군
477200300,에뚜산,1,에뚜산등산로,,1.7,중간,50,30,"산길, 목계단 등",N,N,,Y,2020-07-08,5140000,경상북도 군위군
477200400,조림산,1,조림산등산로,조림산정상,5.74,중간,210,180,"산길, 목계단 등",N,N,,Y,2020-07-08,5140000,경상북도 군위군
477200500,마정산,1,마정산등산로,마정산정상,4.33,중간,150,120,"산길, 목계단 등",N,N,,Y,2020-07-08,5140000,경상북도 군위군
