업체명,사업장구분,소재지도로명주소,소재지지번주소,위도,경도,차고지도로명주소,차고지지번주소,보유차고지수용능력,자동차총보유대수,승용차보유대수,승합차보유대수,전기승용자동차보유대수,전기승합자동차보유대수,경차요금,소형차요금,중형차요금,대형차요금,승합차요금,레저용차요금,수입차요금,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,공휴일운영시작시각,공휴일운영종료시각,휴무일,홈페이지주소,대표자명,전화번호,데이터기준일자,제공기관코드,제공기관명
㈜이지웨이렌트카,주사업장,"서울특별시 마포구 마포대로 33, 21층 오-211호(도화동, 마포한화오벨리스크)",,37.5399836153,126.9454300000,"강서구 마곡중앙6로 16, 3층(마곡동, 마곡지엠타워)양천구 신월동 21-1 신월주차장영등포구 국제금융로2길 37(여의도동) 에스트레뉴 주차장",,,154,152,2,0,0,,,,,,,,00:00,24:00,,,,,,,,02-701-1470,2020-01-28,3130000,서울특별시 마포구
㈜플러스원렌트카,주사업장,"서울특별시 마포구 마포대로 33, 제오동 1706호(도화동, 한화오벨리스크)",,37.5399836153,126.9454520000,"영등포구 국제금융로2길 37(여의도동) 에스트레뉴 주차장성북구 오패산로10길 30강서구 마곡중앙6로 16 (마곡동, 마곡지엠지타워)",,,120,120,0,0,0,,,,,,,,00:00,24:00,,,,,,,,02-597-8361,2020-01-28,3130000,서울특별시 마포구
우리렌트카,주사업장,"경상남도 창원시 성산구 연덕로184번길 28, 공단쇼핑상가2층 29호",경상남도 창원시 성산구 내동 456-12,35.2175530,128.6685580,경상남도 창원시 마산합포구 진전면 호산정달로 91,경상남도 창원시 마산합포구 진전면 오서리 49,,32,24,8,0,0,70000,,110000,210000,,,,09:00,18:00,09:00,18:00,,,,,이명삼,070-4210-3546,2020-01-03,5670000,경상남도 창원시
초이스렌트카(주) 가평영업소,영업소,경기도 가평군 청평면 경춘로 722 청수아파트 이동 청수상가 2층 206호,,37.7321033,127.4107736,경기도 가평군 청평면 경춘로 722 청수아파트 이동 청수상가 2층 206호,경기도 남양주시 진접읍 금곡리 1082번지 랜드타워 3층,,6,6,0,0,0,,,,,,,,09:00,20:00,,,,,,,,031-585-6770,2019-09-17,4160000,경기도 가평군
(주)쏘카 가평영업소(무인영업소-차고지),영업소,경기도 가평군 가평읍 호반로 2585,,37.8166627274,127.5144156780,경기도 가평군 가평읍 호반로 2585,경기도 가평군 가평읍 달전리 405-15,,3,3,0,0,0,,,,,,,,00:00,23:59,,,,,,,,070-4352-2110,2019-09-17,4160000,경기도 가평군
㈜나나렌트카,주사업장,"경기도 부천시 부천로 147번길 34, 101호(심곡동, 삼성파크빌)",,37.4977974492,126.783928403,경기도 부천시 상동로 84,,97,97,83,14,0,0,0,0,70000,0,110000,0,0,09:00,21:00,09:00,21:00,09:00,21:00,없음,,방혁제,032-668-6633,2019-09-10,3860000,경기도 부천시
㈜세븐렌트카,주사업장,"경기도 부천시 석천로442번길 56(삼정동,선라이즈골프크럽)",,37.527333,126.772397,경기도 부천시 상동 545-13(상록복합타운),,135,135,133,2,0,0,57950,71000,107000,173000,142000,0,0,09:00,18:00,09:00,18:00,09:00,18:00,없음,,"진성진, 천성철",032-667-4040,2019-09-10,3860000,경기도 부천시
㈜하나렌트카,주사업장,경기도 부천시 신흥로 393번길 10(내동),,37.518799,126.774735,경기도 부천시 신흥로413번길 18 외,,157,157,150,7,0,0,45000,60000,80000,115000,115000,0,0,08:30,20:30,08:30,20:30,08:30,20:30,없음,,김용진,032-675-1471,2019-09-10,3860000,경기도 부천시
㈜카이스트,주사업장,"경기도 부천시 옥산로 7, B동234호(중동,리첸시아)",,37.495525,126.779396,경기도 부천시 상동 545-13 (상록복합타워 상록주차장),,72,72,72,0,0,0,66500,70000,119000,186900,157500,0,0,08:30,18:30,08:30,17:00,08:30,17:00,없음,,서영수,032-329-1544,2019-09-10,3860000,경기도 부천시
㈜에이스렌트카,주사업장,경기도 부천시 중동로 107,,37.4917985689,126.7659619141,서울특별시 양천구 곰달래로3길13(신월동)마을마당공영주차장 외,,171,171,166,5,0,0,50000,60000,80000,120000,120000,0,0,09:00,18:00,09:00,18:00,09:00,18:00,없음,,조근배,032-613-3303,2019-09-10,3860000,경기도 부천시
㈜케이렌트카,주사업장,경기도 부천시 삼작로 265,,37.5202524,126.7910101,경기도 부천시 상동로 84 외,,175,175,168,7,0,0,60000,70000,80000,130000,130000,0,0,09:00,20:00,09:00,20:00,09:00,20:00,없음,,이상래,032-676-8340,2019-09-10,3860000,경기도 부천시
㈜마이카렌트카,주사업장,경기도 부천시 길주로77번길 55-25,,37.5071995,126.750689,서울특별시 강서구 마곡서로 101(동익드미라벨 주차타워),,50,50,49,1,0,0,40000,50000,60000,80000,100000,0,150000,09:00,18:00,00:00,00:00,00:00,00:00,없음,,김민곤,032-324-8885,2019-09-10,3860000,경기도 부천시
㈜중호렌트카,주사업장,경기도 부천시 길주로77번길55-25,,37.5071995,126.750689,경기도 부천시 길주로77번길55-25,,165,165,156,9,0,0,55000,65000,80000,135000,135000,0,200000,09:00,18:00,00:00,00:00,00:00,00:00,없음,,김영일,032-342-7008,2019-09-10,3860000,경기도 부천시
㈜신한렌터카,주사업장,경기도 부천시 송내대로39번길 51,,37.487187,126.750407,경기도 부천시 중동로254번길 90 외,,85,85,81,4,0,0,0,60000,75000,0,100000,0,0,09:00,20:00,09:00,20:00,09:00,20:00,없음,,김세훈,032-667-3506,2019-09-10,3860000,경기도 부천시
㈜피제이렌트카,주사업장,경기도 부천시 상동로 84,,37.504474,126.753470,경기도 부천시  상동로 84 외,,329,329,316,13,0,0,50000,55000,70000,115000,120000,0,200000,09:00,18:00,09:00,18:00,09:00,18:00,없음,,팽중원,032-322-7936,2019-09-10,3860000,경기도 부천시
세븐렌탈㈜,주사업장,경기도 부천시 부일로205번길 26,,37.489565,126.753272,경기도 부천시 중동로 254번길90 외,,181,181,169,12,0,0,50000,60000,70000,110000,120000,0,500000,09:00,20:00,09:00,20:00,09:00,20:00,없음,,권중성,070-7644-7777,2019-09-10,3860000,경기도 부천시
(유)엠렌트카,주사업장,"경기도 부천시 송내대로33번길 48-5, 1층(송내동)",,37.486917,126.750533,"경기도 부천시 길주로77번길 55-25, 10층(상동, 대야복합타워)",,50,50,50,0,0,0,50000,60000,70000,90000,110000,0,0,09:00,22:00,09:00,22:00,00:00,00:00,없음,,한장한,031-446-1469,2019-09-10,3860000,경기도 부천시
㈜한빛이엔지,주사업장,"경기도 부천시 부일로191번길 35, 상가동 지층9호(상동,반달마을)",,37.4902183582,126.7510500419,"경기도 부천시 중동로254번길 90,(공영주차장 제4호)",,54,54,52,2,0,0,40000,50000,60000,90000,110000,0,0,08:30,21:00,08:30,21:00,08:30,21:00,없음,,김병환,032-664-8890,2019-09-10,3860000,경기도 부천시
㈜한기련렌트카,주사업장,"경기도 부천시 신흥로413번길18,3층",,37.5206360,126.7743758,경기도 부천시 원미구 상동로 84,,96,96,96,0,0,0,95000,125000,180000,310000,320000,0,0,09:00,09:00,09:00,09:00,09:00,09:00,없음,,김영진,070-7397-6001,2019-09-10,3860000,경기도 부천시
㈜씨앤피렌터카,주사업장,"경기도 부천시 송내대로388,200동 406호(약대동 부천테크노파크2단지)",,37.516950,126.7624671,서울특별시 양천구 가로공원로 72여울공영주차장(신월3동),,74,74,71,3,0,0,30000,50000,70000,100000,120000,0,0,09:00,18:00,09:00,18:00,09:00,18:00,없음,,함기석,1661-2202,2019-09-10,3860000,경기도 부천시
에스제이,주사업장,경기도 광명시 오리로387,경기도 광명시 소하동909-39,37.4378576,126.8791601,경기도 광명시 범안로966번길6,경기도 광명시 하안동 304-1,,54,47,7,0,0,,60000,70000,90000,120000,,,09:00,20:30,09:00,20:30,09:00,20:30,연중무휴,www.skrentacar.co.kr,양재정,1577-4567,2019-09-09,3900000,경기도 광명시
선경엔씨에스,주사업장,경기도 광명시 시청로34,경기도 광명시 철산동225-2,37.4797319,126.8641492,,경기도 광명시 일직동 516-1,,58,55,3,0,0,40000,40000,50000,100000,100000,,,09:00,19:00,09:00,19:00,09:00,19:00,연중무휴,www.skncsrentcar.modoo.at,양광식,02-2683-5522,2019-09-09,3900000,경기도 광명시
케이헨트카,주사업장,경기도 광명시 오리로651번길6,경기도 광명시 하안동303-1,37.4594068,126.8761562,경기도 광명시 오리로651번길6,경기도 광명시 하안동 303-1,,151,139,12,0,0,40000,50000,70000,90000,100000,,,09:30,18:30,09:30,18:30,09:30,18:30,연중무휴,없음,강정순,02-899-1999,2019-09-09,3900000,경기도 광명시
지렌트카,주사업장,경기도 광명시 범안로992,경기도 광명시 하안동301-4,37.4591492,126.8745009,,경기도 광명시 노온사동 93-1,,254,241,13,0,0,50000,60000,70000,90000,130000,,,09:00,19:00,09:00,19:00,09:00,19:00,연중무휴,www.grentcar.co.kr,강석식,02-898-1858,2019-09-09,3900000,경기도 광명시
㈜국민렌트카,주사업장,"경기도 안양시 동안구 경수대로 583, 2층 (호계동)",경기도 안양시 동안구 호계동 986-1,37.3745344,126.9566710,0,0,70,55,54,1,0,0,0,0,0,0,0,0,0,00:00,00:00,00:00,00:00,00:00,00:00,0,0,0,031-458-1622,2019-09-03,3830000,경기도 안양시
㈜뉴삼성렌트카,주사업장,"경기도 안산시 단원구 광덕대로193, 106호(고잔동)","경기도 안산시 단원구 고잔동 706-1, 신양타운 106호",37.31382596,126.829346,경기도 안산시 단원구 광덕서로 106(고잔동),경기도 안산시 단원구 고잔동 704,,26,23,3,0,0,,,,,,,,09:00,18:00,,,,,,,,031-406-5300,2020-03-02,3930000,경기도 안산시
