마을기업명,마을기업구분,법인명,법인형태구분,소재지도로명주소,소재지지번주소,위도,경도,마을기업설립년월,마을기업인증년월,마을기업대표자명,마을기업대표전화번호,마을기업홈페이지,마을기업회원수,마을기업목적사업,마을기업주요상품,상품관련인증정보,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
질울고래실마을,2차년도,질울고래실 영농조합법인,영농조합,경기도 양평군 양서면 양서도곡길 76,경기도 양평군 양서면 도곡리 107-1,37.5181186,127.3855473394,2014-06,2014-06,이정업,070-4131-7539,www.goraesil.com,62,관광체험,"농촌체험 및 농산물, 제품가공(누에고치) 판매",,031-770-2290,양평군,2020-03-01,4170000,경기도 양평군
양평착한떡마을,신규,농업회사법인 양평착한떡마을㈜,기타,경기도 양평군 단월면 석산로 922-10,경기도 양평군 단월면 산음리 219-4,37.6063551,127.6029198136,2013-08,2013-09,최종호,031-774-5714,www.ypricecake.com,7,전통식품,"전통떡(쑥밀랍떡, 흑미밀랍떡) 가공 및 체험프로그램 운영",,031-770-2290,양평군,2020-03-01,4170000,경기도 양평군
협동조합 촌사람,신규,협동조합 촌사람,협동조합,,경기도 양평군 지평면 대평리 417,37.420728,127.638237,2013-10,2013-09,김인홍,070-7759-1974,,3,관광체험,농촌체험프로그램,,031-770-2290,양평군,2020-03-01,4170000,경기도 양평군
뚱딴지마을,2차년도,농업회사법인 뚱딴지마을㈜,기타,경기도 양평군 강상면 학곡양지말길 35-3,경기도 양평군 강상면 송학리 424,37.4703035349,127.4646447226,2013-10,2013-09,이형훈,031-775-6655,,17,관광체험,"돼지감자차, 돼지감자 장아/지, 과자류등",농촌융복합사업(6차산업)인증,031-770-2290,양평군,2020-03-01,4170000,경기도 양평군
참새방앗간,2차년도,여물리체험마을영농조합법인,영농조합,경기도 양평군 청운면 청운체육공원길 26,경기도 양평군 청운면 여물리 109-7,37.55342956,127.705988,2012-04,2013-05,공익성,031-772-3122,www.ymrg.co.kr,33,관광체험,"떡류, 장류",농촌융복합사업(6차산업)인증,031-770-2290,양평군,2020-03-01,4170000,경기도 양평군
구룡촌영농조합법인,자립형,구룡촌영농조합법인,영농조합,광주광역시 광산구 본량구룡길45,광주광역시 광산구 동림동 206-2,35.206488,126.6891655,2012-03,2012-04,나옥연,070-8828-2103,,5,특화상품 판매 및 체험프로그램 운영,"간장, 된장등 장류",,062-960-8426,광주광역시 광산구청,2019-01-01,3630000,광주광역시 광산구
울금영농조합법인,자립형,울금영농조합법인,영농조합,광주광역시 광산구 용진로 384,광주광역시 광산구 남산동 730-3,35.180467,126.7299543,2010-12,2011-04,최길진,062-944-8151,http://www.아우금.kr/,13,"몸에좋은 울금환 가루, 엑기스 가공 및 판매","울금, 양파, 생강",,062-960-8426,광주광역시 광산구청,2019-01-01,3630000,광주광역시 광산구
포전영농조합법인,자립형,포전영농조합법인,영농조합,충청남도 논산시 성동면 우곤1길 73-21,충청남도 논산시 성동면 우곤리 858-1,36.19761689,126.9946052,,2010-01,김승권,041-732-7273,,29,농산물 가공 판매 및 체험,농산물 가공 및 판매,,041-746-6014,충청남도 논산시청,2020-05-07,4540000,충청남도 논산시
꿈순이들의영농조합법인,기타,꿈순이들의영농조합법인,영농조합,충청남도 예산군 봉산면 봉운로 601-15,충청남도 예산군 봉산면 봉림리 579-4,36.7459438733,126.6419053138,2014-05,2014-06,송순단,000-000-0000,,6,일반식품,일반식품,,041-339-7283,예산군청,2019-09-26,4610000,충청남도 예산군
꼼지락예산적정기술협동조합,기타,꼼지락예산적정기술협동조합,협동조합,충청남도 예산군 신양면 불원시왕길 442-84,충청남도 예산군 신양면 시왕리 35,36.6135850773,126.9243595563,2015-05,2015-07,김명기,000-000-0000,,10,공예품,공예품,,041-339-7283,예산군청,2019-09-26,4610000,충청남도 예산군
쌍지팡이협동조합,기타,쌍지팡이협동조합,협동조합,충청남도 예산군 광시면 대리길 208-52,충청남도 예산군 광시면 대리 222-1,36.5400296026,126.8016997391,2016-01,2016-11,최옥남,000-000-0000,,54,전통식품,전통식품,,041-339-7283,예산군청,2019-09-26,4610000,충청남도 예산군
삽티마을기업,신규,고래못영농조합법인,영농조합,충청남도 예산군 응봉면 건지화삽티길 45,충청남도 예산군 응봉면 건지화리 57-5,36.6343601454,126.7671903057,2018-12,2019-03,박용호,000-000-0000,,23,일반식품,일반식품,,041-339-7283,예산군청,2019-09-26,4610000,충청남도 예산군
강화댁식품,자립형,농업법인 ㈜강화댁식품,기타,인천광역시 강화군 하점면 고려산로 329-25,,,,,2019-03,고찬진,032-399-5417,,,식품 제조·판매,순무가공제품,,032-930-3353,인천광역시 강화군청,2019-09-20,3570000,인천광역시 강화군
동검도생태체험마을,자립형,동검도생태체험마을협동조합,협동조합,인천광역시 강화군 길상면 동검길65번길 11,,,,,2019-05,강준희,032-937-8180,,,체험활동,갯벌 체험학습,,032-930-3353,인천광역시 강화군청,2019-09-20,3570000,인천광역시 강화군
(주)무궁화식품,신규,㈜무궁화식품,주식회사,충청북도 청주시 흥덕구 강내면 궁현연꽃2길 54-26,충청북도 청주시 흥덕구 강내면 궁현리 233-2 (주)무궁화식품,36.57951394,127.369481,,2012-03,이명보,043-231-2788,www.yeonip.co.kr,,한과 제조판매,한과,,043-220-2564,충북도청,2020-01-31,6430000,충청북도
(주)두꺼비재생사업단,신규,㈜두꺼비재생사업단,주식회사,충청북도 청주시 서원구 청남로 2028번길 73,충청북도 청주시 서원구 수곡동 62-5,36.61375267,127.489715,,2012-03,박진희,000-000-0000,,,"자전거 수리, 임대",자전거 임대 및 재활용,,043-220-2564,충북도청,2020-01-31,6430000,충청북도
언니네텃밭음성여농협동조합,신규,언니네텃밭음성여농협동조합,협동조합,충청북도 음성군 소이면 대장로 77-1,충청북도 음성군 소이면 대장리 138-7,36.92373798,127.7568292,,2017-07,안순애,000-000-0000,,,"제철 채소 꾸러미 통신판매 및 소규모 식품 가공,판매","두부, 누룽지 등",,043-220-2564,충북도청,2020-01-31,6430000,충청북도
복사꽃 영농조합 법인,2차년도,복사꽃영농조합법인,영농조합,충청북도 음성군 감곡면 가곡로 217,충청북도 음성군 감곡면 오궁리 533-32,37.11812989,127.6665367,,2011-01,박수경,043-881-5501,,,"지역 특산품인 복숭아 가공,제조",복숭아와인,,043-220-2564,충북도청,2020-01-31,6430000,충청북도
구안리 마을기업,2차년도,농업회사법인하나주식회사,주식회사,충청북도 음성군 원남면 상경로 53-42,충청북도 음성군 원남면 구안리 478,36.88095206,127.7069677,,2013-09,성효범,070-8873-7023,,,“불미나리 재배?생산 및 먹거리/직거래 판매”,“불미나리 재배?생산 및 먹거리/직거래 판매”,,043-220-2564,충북도청,2020-01-31,6430000,충청북도
체험마을율리영농조합법인,2차년도,체험마을율리영농조합법인,영농조합,충청북도 증평군 증평읍 율리휴양로 301,충청북도 증평군 증평읍 율리 508-5,36.71692953,127.6384208,,2013-05,박재익,043-838-5082,,,식당운영을 통한 체험마을 운영 및 마을생산 농산물 판매,식당운영,,043-220-2564,충북도청,2020-01-31,6430000,충청북도
정안영농조합법인,2차년도,삼보권역정안영농조합법인,영농조합,충청북도 증평군 증평읍 증안2길 28,충청북도 증평군 증평읍 초중리 305,36.77155209,127.573066,,2012-03,정영길,043-838-8228,jungangol.co.kr,,"1차,2차,3차 산업위주의 농산물 도소매 및 채소재배를 통한 체험 연계",절임배추,,043-220-2564,충북도청,2020-01-31,6430000,충청북도
상그린영농조합법인,2차년도,상그린영농조합법인,영농조합,충청북도 증평군 도안면 석곡길 134,충청북도 증평군 도안면 석곡리 488,36.81836647,127.6245219,,2013-10,정창수,043-836-9668,,,친환경 농법으로 직접 재배하여 생산 및 판매,절임배추,,043-220-2564,충북도청,2020-01-31,6430000,충청북도
삼기조아유마을,신규,삼기조아유농어촌체험휴양마을영농조합법인,영농조합,충청북도 증평군 증평읍 율리휴양로 100,충청북도 증평군 증평읍 율리 508-5,36.72377718,127.6215433,,2019-04,신진교,043-836-5771,www.samgijoayu.co.kr,,"특화농산물 생산·판매, 체험프로그램 상시운영 및 숙박","농,특산물/ 체험마을운영",,043-220-2564,충북도청,2020-01-31,6430000,충청북도
장이익어가는녹색체험마을,2차년도,장이익어가는 인삼정보화마을영농조합법인,영농조합,충청북도 증평군 증평읍 송티로 76-12,충청북도 증평군 증평읍 송산리 416-3,36.80046103,127.5779516,,2011-03,이금노,043-835-3894,www.invil.com/,,"장류(된장,고추장,간장)판매 및 두부체험,고추장체험,김치체험, 한복체험,삼계탕체험등)","장류(된장,고추장,간장) 및 체험",,043-220-2564,충북도청,2020-01-31,6430000,충청북도
상대촌영농조합법인,2차년도,상대촌영농조합법인,영농조합,충청북도 충주시 앙성면 둔터로 558,충청북도 충주시 앙성면 지당리 469-1,37.09762086,127.7155901,,2012-06,송명섭,000-000-0000,www.sdchon.com,,"절임배추, 건조 시래기 식품 판매","절임배추, 건조 시래기",,043-220-2564,충북도청,2020-01-31,6430000,충청북도
내포긴들영농조합법인,2차년도,내포긴들영농조합법인,영농조합,충청북도 충주시 신니면 내포길 37,충청북도 충주시 신니면 문숭리 53,37.00427394,127.7211495,,2014-06,손병용,000-000-0000,www.happynaepo.com,,"농산물의 출하, 가공, 유통사업","각종팝콘, 사과즙",,043-220-2564,충북도청,2020-01-31,6430000,충청북도
