시도명,시군구명,도로종류,도로노선번호,도로노선명,차로수,버스전용차로기점명,버스전용차로종점명,버스전용차로기점위도,버스전용차로기점경도,버스전용차로종점위도,버스전용차로종점경도,버스전용차로총연장,버스전용차로종류,버스전용차로지정해제여부,시행일자,운영시간구분,평일시작시각,평일종료시각,토요일시작시각,토요일종료시각,공휴일시작시각,공휴일종료시각,명절연휴시작시각,명절연휴종료시각,통행가능차량,버스전용차로속도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
03,동구,03,광로1-1,동대구로,5,뉴대구맨션,동대구역네거리,35.881119,128.626031,35.876847,128.626306,400 m,01,Y,2017-08-02,01,24시간,24시간,24시간,24시간,24시간,24시간,24시간,24시간,도로교통법 시행령 [별표1]에 규정된 차량,60,대구광역시 버스운영과,053-803-6542,2019-05-31,6270000,대구광역시
03,동구,03,광로1-1,동대구로,5,동대구역네거리,뉴대구맨션,35.876842,128.626419,35.881164,128.626161,400 m,01,Y,2017-08-02,01,24시간,24시간,24시간,24시간,24시간,24시간,24시간,24시간,도로교통법 시행령 [별표1]에 규정된 차량,60,대구광역시 버스운영과,053-803-6542,2019-05-31,6270000,대구광역시
03,동구,03,대로1-5,안심로,3,입석네거리,반야월삼거리,35.891900,128.643725,35.874261,128.688386,"4,500 m",02,Y,1998-06-22,02,"07:00, 17:30","09:00, 19:30",-,-,-,-,-,-,도로교통법 시행령 [별표1]에 규정된 차량,70,대구광역시 버스운영과,053-803-6542,2019-05-31,6270000,대구광역시
03,동구,03,대로1-5,안심로,3,반야월삼거리,입석네거리,35.874311,128.687603,35.892006,128.643817,"4,500 m",02,Y,1998-06-22,02,"07:00, 17:30","09:00, 19:30",-,-,-,-,-,-,도로교통법 시행령 [별표1]에 규정된 차량,70,대구광역시 버스운영과,053-803-6542,2019-05-31,6270000,대구광역시
03,남구,03,광로3-1대로2-24,대명로,4,영대병원네거리,성당네거리,35.845275,128.590308,35.837786,128.557950,"3,200 m",02,Y,1998-01-20,02,"07:00, 17:30","09:00, 19:30",-,-,-,-,-,-,도로교통법 시행령 [별표1]에 규정된 차량,60,대구광역시 버스운영과,053-803-6542,2019-05-31,6270000,대구광역시
03,남구,03,광로3-1대로2-24,대명로,4,성당네거리,영대병원네거리,35.837639,128.557922,35.845172,128.590294,"3,200 m",02,Y,1998-01-20,02,"07:00, 17:30","09:00, 19:30",-,-,-,-,-,-,도로교통법 시행령 [별표1]에 규정된 차량,60,대구광역시 버스운영과,053-803-6542,2019-05-31,6270000,대구광역시
03,달서구,03,대로1-12,월배로,4,성당네거리,상인네거리,35.837331,128.557192,35.819083,128.538100,"2,800 m",02,Y,1998-01-20,02,"07:00, 17:30","09:00, 19:30",-,-,-,-,-,-,도로교통법 시행령 [별표1]에 규정된 차량,60,대구광역시 버스운영과,053-803-6542,2019-05-31,6270000,대구광역시
03,달서구,03,대로1-12,월배로,4,상인네거리,성당네거리,35.818956,128.538169,35.837311,128.557381,"2,800 m",02,Y,1998-01-20,02,"07:00, 17:30","09:00, 19:30",-,-,-,-,-,-,도로교통법 시행령 [별표1]에 규정된 차량,60,대구광역시 버스운영과,053-803-6542,2019-05-31,6270000,대구광역시
03,수성구,03,대로2-19,수성로,3,대구은행네거리,중동네거리,35.859475,128.614042,35.841047,128.612181,"2,100 m",02,Y,1998-01-20,02,1899-12-31,1899-12-31,-,-,-,-,-,-,도로교통법 시행령 [별표1]에 규정된 차량,60,대구광역시 버스운영과,053-803-6542,2019-05-31,6270000,대구광역시
03,수성구,03,대로2-19,수성로,3,중동네거리,대구은행네거리,35.841031,128.612361,35.859458,128.614142,"2,100 m",02,Y,1998-01-20,02,1899-12-31,1899-12-31,-,-,-,-,-,-,도로교통법 시행령 [별표1]에 규정된 차량,60,대구광역시 버스운영과,053-803-6542,2019-05-31,6270000,대구광역시
