원천도형ID,읍면동코드,읍면동명,데이터기준일자,제공기관코드,제공기관명
44965,43114310,북이면,2018-01-11,AAAAAAA,공공데이터활용지원센터
8450,45130142,미장동,2018-01-11,AAAAAAA,공공데이터활용지원센터
3393,46150350,주암면,2018-01-11,AAAAAAA,공공데이터활용지원센터
115,44230310,성동면,2018-01-11,AAAAAAA,공공데이터활용지원센터
116,44230320,광석면,2018-01-11,AAAAAAA,공공데이터활용지원센터
3026,31140103,두왕동,2018-01-11,AAAAAAA,공공데이터활용지원센터
12289,46130141,화치동,2018-01-11,AAAAAAA,공공데이터활용지원센터
4209,41480250,문산읍,2018-01-11,AAAAAAA,공공데이터활용지원센터
4210,41480256,법원읍,2018-01-11,AAAAAAA,공공데이터활용지원센터
1,48890250,합천읍,2020-07-01,5480000,경상남도 합천군
2,48890310,봉산면,2020-07-01,5480000,경상남도 합천군
3,48890320,묘산면,2020-07-01,5480000,경상남도 합천군
4,48890330,가야면,2020-07-01,5480000,경상남도 합천군
5,48890340,야로면,2020-07-01,5480000,경상남도 합천군
6,48890350,율곡면,2020-07-01,5480000,경상남도 합천군
7,48890360,초계면,2020-07-01,5480000,경상남도 합천군
8,48890370,쌍책면,2020-07-01,5480000,경상남도 합천군
9,48890380,덕곡면,2020-07-01,5480000,경상남도 합천군
10,48890390,청덕면,2020-07-01,5480000,경상남도 합천군
11,48890400,적중면,2020-07-01,5480000,경상남도 합천군
12,48890410,대양면,2020-07-01,5480000,경상남도 합천군
13,48890420,쌍백면,2020-07-01,5480000,경상남도 합천군
14,48890430,삼가면,2020-07-01,5480000,경상남도 합천군
15,48890440,가회면,2020-07-01,5480000,경상남도 합천군
16,48890450,대병면,2020-07-01,5480000,경상남도 합천군
17,48890460,용주면,2020-07-01,5480000,경상남도 합천군
4277025030,42770250,정선읍 광하리,2019-06-30,4290000,강원도 정선군
4277025029,42770250,정선읍 용탄리,2019-06-30,4290000,강원도 정선군
4277025028,42770250,정선읍 회동리,2019-06-30,4290000,강원도 정선군
4277025027,42770250,정선읍 여탄리,2019-06-30,4290000,강원도 정선군
4277025026,42770250,정선읍 덕우리,2019-06-30,4290000,강원도 정선군
4277025025,42770250,정선읍 신월리,2019-06-30,4290000,강원도 정선군
4277025024,42770250,정선읍 애산리,2019-06-30,4290000,강원도 정선군
4277025023,42770250,정선읍 덕송리,2019-06-30,4290000,강원도 정선군
4277025022,42770250,정선읍 북실리,2019-06-30,4290000,강원도 정선군
4277025021,42770250,정선읍 봉양리,2019-06-30,4290000,강원도 정선군
818,47190350,산동면,2018-01-11,AAAAAAA,공공데이터활용지원센터
49,26290109,문현동,2018-01-11,AAAAAAA,공공데이터활용지원센터
3250,43130125,지현동,2018-01-11,AAAAAAA,공공데이터활용지원센터
497,47190101,원평동,2018-01-11,AAAAAAA,공공데이터활용지원센터
2051,11200110,금호동2가,2018-01-11,AAAAAAA,공공데이터활용지원센터
2065,11200111,금호동3가,2018-01-11,AAAAAAA,공공데이터활용지원센터
498,47190510,송정동,2018-01-11,AAAAAAA,공공데이터활용지원센터
498,47190110,송정동,2018-01-11,AAAAAAA,공공데이터활용지원센터
65,47770310,강구면,2018-01-11,AAAAAAA,공공데이터활용지원센터
1073,41630114,옥정동,2018-01-11,AAAAAAA,공공데이터활용지원센터
1074,41630113,율정동,2018-01-11,AAAAAAA,공공데이터활용지원센터
1075,41630108,삼숭동,2018-01-11,AAAAAAA,공공데이터활용지원센터
1076,41630109,고읍동,2018-01-11,AAAAAAA,공공데이터활용지원센터
14769,44825253,안면읍,2018-01-11,AAAAAAA,공공데이터활용지원센터
1078,41630107,만송동,2018-01-11,AAAAAAA,공공데이터활용지원센터
13249,46130134,웅천동,2018-01-11,AAAAAAA,공공데이터활용지원센터
8308,45111133,평화동2가,2018-01-11,AAAAAAA,공공데이터활용지원센터
19602,44210102,동문동,2018-01-11,AAAAAAA,공공데이터활용지원센터
12529,44825320,남면,2018-01-11,AAAAAAA,공공데이터활용지원센터
2625,28720340,대청면,2018-01-11,AAAAAAA,공공데이터활용지원센터
8307,45111132,평화동1가,2018-01-11,AAAAAAA,공공데이터활용지원센터
2363,47210102,상망동,2018-01-11,AAAAAAA,공공데이터활용지원센터
5169,41590119,기산동,2018-01-11,AAAAAAA,공공데이터활용지원센터
5170,41590520,진안동,2018-01-11,AAAAAAA,공공데이터활용지원센터
12866,44825250,태안읍,2018-01-11,AAAAAAA,공공데이터활용지원센터
1699,11440555,아현동,2018-01-11,AAAAAAA,공공데이터활용지원센터
1707,11440113,구수동,2018-01-11,AAAAAAA,공공데이터활용지원센터
7345,45111134,평화동3가,2018-01-11,AAAAAAA,공공데이터활용지원센터
7346,45111130,석구동,2018-01-11,AAAAAAA,공공데이터활용지원센터
3634,41390132,정왕동,2018-01-11,AAAAAAA,공공데이터활용지원센터
15153,48310530,능포동,2018-01-11,AAAAAAA,공공데이터활용지원센터
6225,41220340,오성면,2018-01-11,AAAAAAA,공공데이터활용지원센터
3025,42170114,추암동,2018-01-11,AAAAAAA,공공데이터활용지원센터
13857,48125530,월영동,2018-01-11,AAAAAAA,공공데이터활용지원센터
13858,48125520,가포동,2018-01-11,AAAAAAA,공공데이터활용지원센터
1137,31200119,어물동,2018-01-11,AAAAAAA,공공데이터활용지원센터
4660,48240125,대포동,2018-01-11,AAAAAAA,공공데이터활용지원센터
4323,41135102,수내동,2018-01-11,AAAAAAA,공공데이터활용지원센터
4324,41135510,분당동,2018-01-11,AAAAAAA,공공데이터활용지원센터
15153,44180320,오천면,2018-01-11,AAAAAAA,공공데이터활용지원센터
449,11200645,옥수동,2018-01-11,AAAAAAA,공공데이터활용지원센터
8147,41220105,칠원동,2018-01-11,AAAAAAA,공공데이터활용지원센터
43061,43113320,옥산면,2018-01-11,AAAAAAA,공공데이터활용지원센터
43062,43113310,강내면,2018-01-11,AAAAAAA,공공데이터활용지원센터
65,28140107,송림동,2018-01-11,AAAAAAA,공공데이터활용지원센터
9090,45130650,조촌동,2018-01-11,AAAAAAA,공공데이터활용지원센터
45605,43111130,월오동,2018-01-11,AAAAAAA,공공데이터활용지원센터
8769,45130390,옥도면,2018-01-11,AAAAAAA,공공데이터활용지원센터
8148,41220119,동삭동,2018-01-11,AAAAAAA,공공데이터활용지원센터
13537,48123120,귀산동,2018-01-11,AAAAAAA,공공데이터활용지원센터
9075,44270320,석문면,2018-01-11,AAAAAAA,공공데이터활용지원센터
9076,44270310,고대면,2018-01-11,AAAAAAA,공공데이터활용지원센터
66,28140105,창영동,2018-01-11,AAAAAAA,공공데이터활용지원센터
44005,43111320,미원면,2018-01-11,AAAAAAA,공공데이터활용지원센터
3986,48250127,신문동,2018-01-11,AAAAAAA,공공데이터활용지원센터
