보행자우선도로명,시도명,시군구명,보행자우선도로시작점위도,보행자우선도로시작점경도,보행자우선도로종료점위도,보행자우선도로종료점경도,보행자우선도로지정일자,연장거리,도로폭,보행자우선도로지정목적,보호구역지정여부,자동차운행속도제한속도,일방통행적용여부,통행제한차량,노상주차허용여부,보행자통행유발시설현황,보행자교통사고발생건수,보행자사망사고건수,속도저감시설,교통안내시설,보행안전시설,보행약자지원시설,보행자편익시설,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
거안1길,11,진천군,36.907079,127.528108,36.907331,127.527352,,400,6,보행환경개선,N,60,N,없음,N,없음,,,,,,,,진천군청 안전건설과,043-539-3665,2019-06-07,4450000,충청북도 진천군
동작 사당로47길,1,동작구,37.487603,126.966697,37.486596,126.965541,2018-09-01,150,5,주거지역 안전확보,N,30,N,대형차,Y,학교,0,0,과속방지턱,보행자안내표지,과속방지턱,,,서울특별시 동작구청,01-820-1570,2019-12-26,3190000,서울특별시 동작구
동작 국사봉2길,1,동작구,37.498489,126.928873,37.496259,126.928467,2016-10-01,255,6,주거지역 안전확보,N,30,Y,대형차,Y,학교,0,0,과속방지턱,보행자안내표지,과속방지턱,,,서울특별시 동작구청,01-820-1570,2019-12-26,3190000,서울특별시 동작구
갈현로29길,01,은평구,37.61911641,126.9152274,37.61979101,126.9141188,,135,7,보행자의 안전과 편의 우선,Y,30,N,없음,N,없음,8,,,,,,,서울특별시 은평구청,02-351-7772,2019-07-01,3110000,서울특별시 은평구
연서로35길,01,은평구,37.62164882,126.9261334,37.62254159,126.9252256,,150,7,보행자의 안전과 편의 우선,N,60,N,없음,N,학교,0,,,,,,,서울특별시 은평구청,02-351-7772,2019-07-01,3110000,서울특별시 은평구
연서로27길,01,은평구,37.61808044,126.9181989,37.6187904,126.9189815,,120,6,보행자의 안전과 편의 우선,N,60,N,없음,Y,없음,6,,,,,,,서울특별시 은평구청,02-351-7772,2019-07-01,3110000,서울특별시 은평구
통일로,01,은평구,37.61983308,126.9196914,37.61978358,126.9201905,,55,6,보행자의 안전과 편의 우선,N,60,N,없음,N,없음,,,,,,,,서울특별시 은평구청,02-351-7772,2019-07-01,3110000,서울특별시 은평구
연서로29길,01,은평구,37.61937889,126.9183047,37.62009041,126.9192572,,135,8,보행자의 안전과 편의 우선,N,60,N,없음,N,없음,,,,,,,,서울특별시 은평구청,02-351-7772,2019-07-01,3110000,서울특별시 은평구
연서로27길,01,은평구,37.61845922,126.9172532,37.61922408,126.9181257,,120,8,보행자의 안전과 편의 우선,N,60,N,없음,Y,없음,6,,,,,,,서울특별시 은평구청,02-351-7772,2019-07-01,3110000,서울특별시 은평구
연서로29길,01,은평구,37.61927285,126.9185328,37.61957057,126.9195593,,100,6,보행자의 안전과 편의 우선,N,60,N,없음,N,없음,,,,,,,,서울특별시 은평구청,02-351-7772,2019-07-01,3110000,서울특별시 은평구
연서로27길,01,은평구,37.61815075,126.9180053,37.6189769,126.9186843,,120,6,보행자의 안전과 편의 우선,N,60,N,없음,N,없음,7,,,,,,,서울특별시 은평구청,02-351-7772,2019-07-01,3110000,서울특별시 은평구
연서로27길,01,은평구,37.61780706,126.9188485,37.61941825,126.9196521,,200,8,보행자의 안전과 편의 우선,N,60,N,없음,N,없음,7,,,,,,,서울특별시 은평구청,02-351-7772,2019-07-01,3110000,서울특별시 은평구
은평로21길,01,은평구,37.60117585,126.9339244,37.6033751,126.9290232,,520,6,보행자의 안전과 편의 우선,Y,60,Y,없음,Y,관공서,13,,,,,,,서울특별시 은평구청,02-351-7772,2019-07-01,3110000,서울특별시 은평구
연서로21길,01,은평구,37.61469277,126.9162544,37.61445728,126.9161219,,40,6,보행자의 안전과 편의 우선,N,60,N,없음,N,공원,17,,,,,,,서울특별시 은평구청,02-351-7772,2019-07-01,3110000,서울특별시 은평구
연서로21길,01,은평구,37.61498373,126.9155592,37.61473002,126.9154043,,40,6,보행자의 안전과 편의 우선,N,60,N,없음,Y,공원,17,,,,,,,서울특별시 은평구청,02-351-7772,2019-07-01,3110000,서울특별시 은평구
연서로21길,01,은평구,37.61461015,126.9170711,37.61535909,126.9152253,,180,8,보행자의 안전과 편의 우선,N,60,N,없음,Y,공원,17,,,,,,,서울특별시 은평구청,02-351-7772,2019-07-01,3110000,서울특별시 은평구
녹사평대로46길,서울특별시,용산구,37.537505,126.98705000,37.538818,126.988763,,380,4,다수 상가밀집지역의 보행통행안전확보,N,30,Y,-,N,상업시설,,,,,,,,서울특별시 용산구청,02-2199-7750,2020-06-24,3020000,서울특별시 용산구
녹사평대로40길,서울특별시,용산구,37.535994,126.987335,37.535190000,126.988202,,350,5,어린이보호구역 및 다수 상업시설 방문 보행자 통행안전,Y,30,Y,-,N,상업시설+초등학교,,,,,,,,서울특별시 용산구청,02-2199-7750,2020-06-24,3020000,서울특별시 용산구
한강대로87길,서울특별시,용산구,37.544409,126.971909,37.544261,126.970816,,100,8,다수 상가밀집지역의 보행통행안전확ㅂ조,N,30,Y,-,N,상업시설,,,,,,,,서울특별시 용산구청,02-2199-7750,2020-06-24,3020000,서울특별시 용산구
"의병대로 13길, 풍양로 9길, 독순로11길",충청북도,제천시,37.136906,128.208017,37.141450,128.210385,,532,12,보행자 안전 확보,N,30,N,해당없음,N,밀집상가,,,,,,,,충청북도 제천시,043-641-6164,2020-06-30,4400000,충청북도 제천시
까치산로4길,서울특별시,강서구,37.541426,126.844914,37.542963,126.842749,2015-12-01,250,10,안전 확보,N,30,N,없음,Y,근린공원,,,스텐실포장,,스텐실포장,,,서울특별시 강서구청,02-2600-4116,2020-06-30,3150000,서울특별시 강서구
등촌로13길,서울특별시,강서구,37.535550,126.863394,37.535438,126.861012,2018-12-01,200,7,안전 확보,N,30,N,없음,Y,학교,,,스텐실포장,,스텐실포장,,,서울특별시 강서구청,02-2600-4116,2020-06-30,3150000,서울특별시 강서구
까치산로24길,서울특별시,강서구,37.549648,126.851578,37.548546,126.853622,2019-12-01,220,7,안전 확보,N,30,N,없음,Y,학교+공원,,,스텐실포장,,스텐실포장,,,서울특별시 강서구청,02-2600-4116,2020-06-30,3150000,서울특별시 강서구
강서로45가길,서울특별시,강서구,37.547880,126.835529,37.547023,126.835529,2019-12-01,90,8,안전 확보,N,30,N,없음,Y,전통시장,,,스텐실포장,,스텐실포장,,,서울특별시 강서구청,02-2600-4116,2020-06-30,3150000,서울특별시 강서구
관악로14길,1,관악구,37.479235,126.952485,37.476616,126.958952,2017-10-01,600,6,보행자 안전사고 예방 및 이용편의 증진,N,0,Y,없음,N,상가밀집,,,,12,,,,서울특별시 관악구청,02-879-6863,2020-05-31,3200000,서울특별시 관악구
남부순환로230길,1,관악구,37.478553,126.955568,37.479613,126.955356,2017-10-01,160,4,보행자 안전사고 예방 및 이용편의 증진,N,0,Y,없음,N,상가밀집,,,,6,,,,서울특별시 관악구청,02-879-6863,2020-05-31,3200000,서울특별시 관악구
관악로16길,1,관악구,37.479639,126.955154,37.480298,126.953484,2018-10-01,245,6,보행자 안전사고 예방 및 이용편의 증진,N,0,Y,없음,N,상가밀집,,,,9,,,,서울특별시 관악구청,02-879-6864,2020-05-31,3200000,서울특별시 관악구
남부순환로224길,1,관악구,37.480572,126.953315,37.479406,126.953138,2018-10-01,50,6,보행자 안전사고 예방 및 이용편의 증진,N,0,Y,없음,N,상가밀집,,,,2,,,,서울특별시 관악구청,02-879-6865,2020-05-31,3200000,서울특별시 관악구
남부순환로226길,1,관악구,37.478788,126.953569,37.480059,126.953894,2018-10-01,50,6,보행자 안전사고 예방 및 이용편의 증진,N,0,Y,없음,N,상가밀집,,,,2,,,,서울특별시 관악구청,02-879-6866,2020-05-31,3200000,서울특별시 관악구
봉천로,1,관악구,37.479531,126.955878,37.478680,126.957238,2018-10-01,40,6,보행자 안전사고 예방 및 이용편의 증진,N,0,Y,없음,N,상가밀집,,,,1,,,,서울특별시 관악구청,02-879-6867,2020-05-31,3200000,서울특별시 관악구
남부순환로234길,1,관악구,37.476373,126.956143,37.478680,126.957146,2018-10-01,60,6,보행자 안전사고 예방 및 이용편의 증진,N,0,Y,없음,N,상가밀집,,,,2,,,,서울특별시 관악구청,02-879-6868,2020-05-31,3200000,서울특별시 관악구
신림로65길,1,관악구,37.484754,126.926828,37.485247,126.929570,2020-05-01,240,8,보행자 안전사고 예방 및 이용편의 증진,N,0,Y,없음,N,상가밀집,,,,3,,,,서울특별시 관악구청,02-879-6868,2020-05-31,3200000,서울특별시 관악구
봉은사로2길,서울특별시,강남구,37.504826,127.0253690,37.5017520,127.026313,2017-03-03,345,6.5,보행자 중심의 쾌적한 도로환경 조성,N,30,Y,없음,N,문화관광시설+편의시설,0,0,과속방지턱,,교차로알림이,,화장실,서울특별시 강남구청,02-3423-6402,2020-06-25,3220000,서울특별시 강남구
테헤란로1길,서울특별시,강남구,37.501662,127.0267110,37.4985070,127.028208,2018-06-30,365,6.5,보행자 중심의 쾌적한 도로환경 조성,N,30,Y,없음,N,문화관광시설+편의시설,0,0,과속방지턱,,교차로알림이,,화장실,서울특별시 강남구청,02-3423-6402,2020-06-25,3220000,서울특별시 강남구
봉은사로1길,서울특별시,강남구,37.504759,127.0252730,37.5076310,127.023893,2018-11-30,370,6.7,보행자 중심의 쾌적한 도로환경 조성,N,30,Y,없음,N,문화관광시설+편의시설,0,0,과속방지턱,,교차로알림이,,화장실,서울특별시 강남구청,02-3423-6402,2020-06-25,3220000,서울특별시 강남구
학동로2길,서울특별시,강남구,37.507631,127.0238930,37.5112590,127.022177,2018-11-30,432,6.7,보행자 중심의 쾌적한 도로환경 조성,N,30,Y,없음,N,문화관광시설+편의시설,0,0,과속방지턱,,교차로알림이,,화장실,서울특별시 강남구청,02-3423-6402,2020-06-25,3220000,서울특별시 강남구
선릉로86길,서울특별시,강남구,37.502952,127.0498200,37.5042240,127.053698,2019-10-15,360,7,보행자 중심의 쾌적한 도로환경 조성,N,30,N,없음,N,문화관광시설+편의시설,,,과속방지턱,,교차로알림이,,,서울특별시 강남구청,02-3423-6402,2020-06-25,3220000,서울특별시 강남구
삼성로85길,서울특별시,강남구,37.504224,127.0536980,37.5048900,127.055754,2019-10-15,190,7,보행자 중심의 쾌적한 도로환경 조성,N,30,N,없음,N,문화관광시설+편의시설,,,과속방지턱,,교차로알림이,,,서울특별시 강남구청,02-3423-6402,2020-06-25,3220000,서울특별시 강남구
장기로 22번길,04,계양구,37.578267,126.735039,37.579294,126.737605,,245,12,주거지역 환경보전 및 안전확보,N,30,N,없음,Y,황어장터,,,,,,,,인천광역시 계양구,032-450-5556,2020-06-11,3550000,인천광역시 계양구
순평길,04,계양구,37.558684,126.753133,37.563647,126.757419,,700,8,주거지역 환경보전 및 안전확보,N,60,Y,없음,N,근린공원,,,,,,,,인천광역시 계양구,032-450-5556,2020-06-11,3550000,인천광역시 계양구
순강길,04,계양구,37.558712,126.752666,37.563723,126.756959,,700,8,주거지역 환경보전 및 안전확보,N,60,Y,없음,N,근린공원,,,,,,,,인천광역시 계양구,032-450-5556,2020-06-11,3550000,인천광역시 계양구
목2동 목동중앙로13길(다솜어린이집 어린이보호구역),1,양천구,37.544297,126.882490,37.545537,126.881550,2017-10-13,150,6,주거지역,Y,30,N,없음,N,지하철역+어린이집,,,과속방지턱(4개소),노면표시(4개소),,,,서울특별시 양천구청,02-2620-3708,2020-05-22,3140000,서울특별시 양천구
신정3동 신정로11길(지향초교 어린이보호구역),1,양천구,37.511284,126.838344,37.512310,126.837836,2018-10-30,110,8,주거지역,Y,30,N,없음,N,초등학교+학원,,,이미지 과속방지턱(2개소),노면표시(3개소),,,,서울특별시 양천구청,02-2620-3708,2020-05-22,3140000,서울특별시 양천구
구로디지털단지역 일원,1,구로구,37.485873,126.902361,37.484635,126.899624,,500,5,주거지역 환경 보전 및 안전,N,30,Y,없음,N,음식점,,,,,,,,서울특별시 구로구청,02-860-2453,2020-03-13,3160000,서울특별시 구로구
개봉로3길,1,구로구,37.486965,126.850351,37.487448,126.856153,,450,10,주거지역 환경 보전 및 안전,N,30,N,없음,N,상가,,,,,,,,서울특별시 구로구청,02-860-2453,2020-03-13,3160000,서울특별시 구로구
오류동 텃골,1,구로구,37.496181,126.839463,37.496819,126.837161,,220,8,주거지역 환경 보전 및 안전,N,30,N,없음,N,주택가,,,,,,,,서울특별시 구로구청,02-860-2453,2020-03-13,3160000,서울특별시 구로구
디지털로32가길(문성골),1,구로구,37.481308,126.896187,37.483064,126.898042,,330,5,주거지역 환경 보전 및 안전,N,30,N,없음,N,주택가,,,,,,,,서울특별시 구로구청,02-860-2453,2020-03-13,3160000,서울특별시 구로구
구로디지털단지역 일원,1,구로구,37.485873,126.902361,37.484635,126.899624,,500,5,주거지역 환경 보전 및 안전,N,30,Y,없음,N,음식점,,,,,,,,서울특별시 구로구청,02-860-2453,2020-03-13,3160000,서울특별시 구로구
개봉로3길,1,구로구,37.486965,126.850351,37.487448,126.856153,,450,10,주거지역 환경 보전 및 안전,N,30,N,없음,N,상가,,,,,,,,서울특별시 구로구청,02-860-2453,2020-03-13,3160000,서울특별시 구로구
오류동 텃골,1,구로구,37.496181,126.839463,37.496819,126.837161,,220,8,주거지역 환경 보전 및 안전,N,30,N,없음,N,주택가,,,,,,,,서울특별시 구로구청,02-860-2453,2020-03-13,3160000,서울특별시 구로구
디지털로32가길(문성골),1,구로구,37.481308,126.896187,37.483064,126.898042,,330,5,주거지역 환경 보전 및 안전,N,30,N,없음,N,주택가,,,,,,,,서울특별시 구로구청,02-860-2453,2020-03-13,3160000,서울특별시 구로구
경인로35길,1,구로구,37.499543,126.852933,37.497428,126.855421,,330,7,주거지역 환경 보전 및 안전,N,30,N,없음,N,주택가,,,,,,,,서울특별시 구로구청,02-860-2453,2020-03-13,3160000,서울특별시 구로구
새말로18길,1,구로구,37.508494,126.891128,37.506161,126.892599,,600,10,주거지역 환경 보전 및 안전,N,30,N,없음,N,주택가,,,,,,,,서울특별시 구로구청,02-860-2453,2020-03-13,3160000,서울특별시 구로구
서울특별시 금천구 금하로 23길,1,금천구,37.451188,126.908596,37.454760,126.909391,2014-11-01,420,8,이면도로 교통사고 예방및 보행환경 개선,N,30,N,없음,N,상가+주택가,,,과속방지턱,보행자 우선도로 표지판,,없음,없음,서울특별시 금천구청,02-2627-2481,2020-02-20,3170000,서울특별시 금천구
서울특별시 금천구 시흥대로 122길,1,금천구,37.469506,126.898243,37.468837,126.902262,2015-11-01,350,6,이면도로 교통사고 예방및 보행환경 개선,N,30,N,없음,N,상가밀집 지역,,,과속방지턱,보행자 우선도로 표지판,,없음,없음,서울특별시 금천구청,02-2627-2481,2020-02-20,3170000,서울특별시 금천구
서울특별시 금천구 시흥대로 63길,1,금천구,37.454841,126.899613,37.455274,126.897177,2016-11-01,260,6,이면도로 교통사고 예방및 보행환경 개선,N,30,Y,없음,N,상가밀집 지역,,,과속방지턱,보행자 우선도로 표지판,,없음,없음,서울특별시 금천구청,02-2627-2481,2020-02-20,3170000,서울특별시 금천구
