보행자전용도로명,시도명,시군구명,법정동명,지정일자,운영방식구분,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,보행자전용도로시작점위도,보행자전용도로시작점경도,보행자전용도로종료점위도,보행자전용도로종료점경도,자전거보행자겸용도로구분,보행자전용도로폭,보차분리여부,지정목적,관리점검일자,관리점검결과,유지보수내용,영상정보기처리기기설치개수,보안등설치개수,횡단보도설치개수,방호울타리설치개수,차량진입억제용말뚝설치개수,속도저감시설설치개수,교통표지판설치개수,이정표설치개수,점자블럭설치개수,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
소2-9,인천광역시,남동구,구월동,,전일제,00:00,00:00,00:00,00:00,37.441080,126.713980,37.441076,126.712650,,8,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
소2-8,인천광역시,남동구,구월동,,전일제,00:00,00:00,00:00,00:00,37.441350,126.716211,37.441090,126.715628,,8,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
소2-6,인천광역시,남동구,구월동,,전일제,00:00,00:00,00:00,00:00,37.443004,126.716167,37.443229,126.716141,,8,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
소2-5,인천광역시,남동구,구월동,,전일제,00:00,00:00,00:00,00:00,37.441671,126.710262,37.441698,126.710862,,8,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
소2-4,인천광역시,남동구,구월동,,전일제,00:00,00:00,00:00,00:00,37.441748,126.709812,37.441748,126.709568,,8,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
소2-2,인천광역시,남동구,구월동,,전일제,00:00,00:00,00:00,00:00,37.441689,126.708326,37.441685,126.708755,,8,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
소2-10,인천광역시,남동구,구월동,,전일제,00:00,00:00,00:00,00:00,37.447754,126.718399,37.447775,126.718164,,8,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
소1-7,인천광역시,남동구,구월동,,전일제,00:00,00:00,00:00,00:00,37.442708,126.708219,37.442384,126.708214,,10,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
이서면 중로2-4(혁신),전라북도,완주군,이서면,2008-03-04,전일제,00:00,23:59,00:00,23:59,35.827850,127.022505,35.825993,127.022167,전용,15,Y,보행환경개선,2017-11-02,합격,,,,,,,,,,,전라북도 완주군청,063-290-2805,2020-01-03,4720000,전라북도 완주군
소3-12,인천광역시,남동구,논현동,,전일제,00:00,00:00,00:00,00:00,37.407012,126.711682,37.407022,126.711481,,4,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
소3-11,인천광역시,남동구,논현동,,전일제,00:00,00:00,00:00,00:00,37.407012,126.711682,37.407022,126.711481,,4,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
소3-10,인천광역시,남동구,논현동,,전일제,00:00,00:00,00:00,00:00,37.407012,126.711682,37.407022,126.711481,,6,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
소3-9,인천광역시,남동구,논현동,,전일제,00:00,00:00,00:00,00:00,37.407012,126.711682,37.407022,126.711481,,8.4,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
소3-8,인천광역시,남동구,논현동,,전일제,00:00,00:00,00:00,00:00,37.407012,126.711682,37.407022,126.711481,,6,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
소3-7,인천광역시,남동구,논현동,,전일제,00:00,00:00,00:00,00:00,37.407012,126.711682,37.407022,126.711481,,6,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
소3-6,인천광역시,남동구,논현동,,전일제,00:00,00:00,00:00,00:00,37.407012,126.711682,37.407022,126.711481,,6,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
소3-5,인천광역시,남동구,논현동,,전일제,00:00,00:00,00:00,00:00,37.407012,126.711682,37.407022,126.711481,,6,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
소3-4,인천광역시,남동구,논현동,,전일제,00:00,00:00,00:00,00:00,37.407012,126.711682,37.407022,126.711481,,6,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
소3-3,인천광역시,남동구,논현동,,전일제,00:00,00:00,00:00,00:00,37.407012,126.711682,37.407022,126.711481,,6,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
소2-80,인천광역시,남동구,논현동,,전일제,00:00,00:00,00:00,00:00,37.407012,126.711682,37.407022,126.711481,,8,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
소2-79,인천광역시,남동구,논현동,,전일제,00:00,00:00,00:00,00:00,37.407012,126.711682,37.407022,126.711481,,8,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
소2-78,인천광역시,남동구,논현동,,전일제,00:00,00:00,00:00,00:00,37.407012,126.711682,37.407022,126.711481,,8,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
소1-21,인천광역시,남동구,논현동,,전일제,00:00,00:00,00:00,00:00,37.407012,126.711682,37.407022,126.711481,,15,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
소1-20,인천광역시,남동구,논현동,,전일제,00:00,00:00,00:00,00:00,37.407012,126.711682,37.407022,126.711481,,13,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
소1-16,인천광역시,남동구,논현동,,전일제,00:00,00:00,00:00,00:00,37.407012,126.711682,37.407022,126.711481,,10,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
소3-12,인천광역시,남동구,구월동,,전일제,00:00,00:00,00:00,00:00,37.442322,126.715630,37.442373,126.716284,,5,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
소3-11,인천광역시,남동구,구월동,,전일제,00:00,00:00,00:00,00:00,37.443051,126.708210,37.443195,126.708214,,6,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
소3-10,인천광역시,남동구,구월동,,전일제,00:00,00:00,00:00,00:00,37.440592,126.709176,37.441066,126.709167,,6,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
소3-9,인천광역시,남동구,구월동,,전일제,00:00,00:00,00:00,00:00,37.441109,126.709188,37.441576,126.709184,,6,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
소3-8,인천광역시,남동구,구월동,,전일제,00:00,00:00,00:00,00:00,37.442370,126.709162,37.441878,126.709184,,6,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
소3-6,인천광역시,남동구,구월동,,전일제,00:00,00:00,00:00,00:00,37.443693,126.709670,37.443698,126.709252,,6,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
소3-5,인천광역시,남동구,구월동,,전일제,00:00,00:00,00:00,00:00,37.443676,126.709096,37.443715,126.708775,,6,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
소3-4,인천광역시,남동구,구월동,,전일제,00:00,00:00,00:00,00:00,37.443727,126.708662,37.443774,126.708426,,6,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
소3-3,인천광역시,남동구,구월동,,전일제,00:00,00:00,00:00,00:00,37.444192,126.709391,37.444319,126.709445,,6,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
소3-17,인천광역시,남동구,논현동,,전일제,00:00,00:00,00:00,00:00,37.407012,126.711682,37.407022,126.711481,,6,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
소3-16,인천광역시,남동구,논현동,,전일제,00:00,00:00,00:00,00:00,37.407012,126.711682,37.407022,126.711481,,6,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
소3-15,인천광역시,남동구,논현동,,전일제,00:00,00:00,00:00,00:00,37.407012,126.711682,37.407022,126.711481,,6,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
사육신묘 산책로,서울특별시,동작구,노량진1동,,시간제,10:00,17:00,10:00,17:00,37.515111,126.949985,37.513929,126.949587,,6,,보행환경개선,2019-05-01,합격,,,,,,,,,,,서울특별시 동작구청,02-820-1570,2019-11-19,3190000,서울특별시 동작구
소3-15,인천광역시,남동구,도림동,,전일제,00:00,00:00,00:00,00:00,37.421396,126.718991,37.421396,126.718991,,4,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
상도근린공원 진입로,서울특별시,동작구,상도동,,시간제,10:00,17:00,10:00,17:00,37.493097,126.949381,37.493677,126.947809,,4,,보행환경개선,2019-05-01,합격,,,,,,,,,,,서울특별시 동작구청,02-820-1570,2019-11-19,3190000,서울특별시 동작구
노량진근린공원 진입로,서울특별시,동작구,노량진1동,,전일제,01:00,22:00,01:00,22:00,37.508607,126.952543,37.508818,126.953148,,3,,보행환경개선,2019-05-01,합격,,,,,,,,,,,서울특별시 동작구청,02-820-1570,2019-11-19,3190000,서울특별시 동작구
여의대방로 46길,서울특별시,동작구,대방동,,전일제,01:00,22:00,01:00,22:00,37.510031,126.925681,37.509672,126.927086,,8,,보행환경개선,2019-05-01,합격,,,,,,,,,,,서울특별시 동작구청,02-820-1570,2019-11-19,3190000,서울특별시 동작구
매봉로4가길,서울특별시,동작구,상도동,,시간제,10:00,17:00,10:00,17:00,37.506754,126.954438,37.507173,126.955267,,5,,보행환경개선,2019-05-01,합격,,,,,,,,,,,서울특별시 동작구청,02-820-1570,2019-11-19,3190000,서울특별시 동작구
도림천로,서울특별시,동작구,신대방1동,,전일제,01:00,22:00,01:00,22:00,37.487991,126.913449,37.489215,126.915495,,4,,보행환경개선,2019-05-01,합격,,,,,,,,,,,서울특별시 동작구청,02-820-1570,2019-11-19,3190000,서울특별시 동작구
소3-16,인천광역시,연수구,선학동,,전일제,12:01,23:59,12:01,23:59,37.424294,126.698099,37.424299,126.698031,,6, ,보행환경개선,2017-11-01,합격,,,,,,,,,,,인천광역시 연수구청,032-749-8525,2020-06-01,3520000,인천광역시 연수구
소3-124,인천광역시,연수구,청학동,,전일제,12:01,23:59,12:01,23:59,37.417839,126.671209,37.417777,126.671484,,4, ,보행환경개선,2017-11-01,합격,,,,,,,,,,,인천광역시 연수구청,032-749-8525,2020-06-01,3520000,인천광역시 연수구
소3-125,인천광역시,연수구,청학동,,전일제,12:01,23:59,12:01,23:59,37.417339,126.672168,37.417568,126.672248,,4, ,보행환경개선,2017-11-01,합격,,,,,,,,,,,인천광역시 연수구청,032-749-8525,2020-06-01,3520000,인천광역시 연수구
소2-36,인천광역시,연수구,연수동,,전일제,12:01,23:59,12:01,23:59,37.416186,126.677407,37.416111,126.677713,,8, ,보행환경개선,2017-11-01,합격,,,,,,,,,,,인천광역시 연수구청,032-749-8525,2020-06-01,3520000,인천광역시 연수구
소1-29,인천광역시,연수구,동춘동,,전일제,12:01,23:59,12:01,23:59,37.402711,126.673214,37.399621,126.671347,,10, ,보행환경개선,2017-11-01,합격,,,,,,,,,,,인천광역시 연수구청,032-749-8525,2020-06-01,3520000,인천광역시 연수구
소2-9,인천광역시,연수구,선학동,,전일제,12:01,23:59,12:01,23:59,37.427421,126.698681,37.427448,126.698304,,8, ,보행환경개선,2017-11-01,합격,,,,,,,,,,,인천광역시 연수구청,032-749-8525,2020-06-01,3520000,인천광역시 연수구
소3-131,인천광역시,연수구,청학동,,전일제,12:01,23:59,12:01,23:59,37.417821,126.668529,37.417582,126.668441,,4, ,보행환경개선,2017-11-01,합격,,,,,,,,,,,인천광역시 연수구청,032-749-8525,2020-06-01,3520000,인천광역시 연수구
소3-16,인천광역시,연수구,선학동,,전일제,12:01,23:59,12:01,23:59,37.424299,126.698029,37.424321,126.697716,,6, ,보행환경개선,2017-11-01,합격,,,,,,,,,,,인천광역시 연수구청,032-749-8525,2020-06-01,3520000,인천광역시 연수구
소3-2,인천광역시,남동구,구월동,,전일제,00:00,00:00,00:00,00:00,37.444281,126.711682,37.444571,126.708758,,5.5,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
