기관명,사회서비스분야,주된목적,사업내용,인증여부,인증일자,인증번호,대표자명,전화번호,소재지도로명주소,소재지지번주소,홈페이지주소,데이터기준일자,제공기관코드,제공기관명
고려양봉영농조합법인,산림보전및관리,지역사회공헌형,"밀원숲 조성, 양봉교육서비스",,,,김준배,043-540-3539,충청북도 보은군 보은읍 동학로 152-34,,,2019-11-26,6430000,충청북도
㈜한아름건축,고용서비스,지역사회공헌형,건축 및 조경 설계 서비스업,,,,이광희,043-740-3732,충청북도 영동군 영동읍 기골로 52,,,2019-11-26,6430000,충청북도
㈜증평주거복지센터,고용서비스,지역사회공헌형,주택개보수,,,,주영석,043-835-3254,충청북도 증평군 증평읍 중앙로6길 31-1,,,2019-11-26,6430000,충청북도
㈜설성하우징,고용서비스,지역사회공헌형,주거환경개선,,,,유재천,043-420-2433,충청북도 음성군 음성읍 중앙로 18-1,,,2019-11-26,6430000,충청북도
주식회사 희원,고용서비스,지역사회공헌형,"산림교육, 수목관리 및 조경",,,,방지선,043-201-1382,충청북도 청주시 청원구 오창읍 양청3길 7,,,2019-11-26,6430000,충청북도
주식회사 산과벌,고용서비스,지역사회공헌형,토종벌 기반 6차 산업형 밀원단지 조성,,,,이영웅,043-850-6061,충청북도 충주시 수안보면 관동길 55,,,2019-11-26,6430000,충청북도
주식회사 소반에,보육,창조혁신형(기타),"바른 식생활 교육, 건강 도시락 판매",,,,조영래,043-201-1382,충청북도 청주시 서원구 두꺼비로 27번길58,,,2019-11-26,6430000,충청북도
주식회사 창체넷,보육,창조혁신형(기타),"청소년 진로 프로젝트단운영, 청년 창업스쿨",,,,최윤영,043-201-1382,충청북도 청주시 흥덕구 흥덕로 120,,,2019-11-26,6430000,충청북도
소셜아트웍스 주식회사,예술·관광,창조혁신형(기타),"디자인 및 잡화를 제작, 판매, 작가 역량향상 교육",,,,송영준,043-201-1382,충청북도 청주시 청원구 안덕벌로 29,,,2019-11-26,6430000,충청북도
사기막리사랑산영농조합법인,예술·관광,지역사회공헌형,"관광농업, 농산물판매",,,,차광주,043-830-3322,충청북도 괴산군 청천면 사기막길 59,,,2019-11-26,6430000,충청북도
㈜열린숲,간병및가사지원,일자리제공형,보건업 및 사회복지 서비스업,,,,박흥권,043-740-3732,충청북도 영동군 용화면 휴양림길 60,,,2019-11-26,6430000,충청북도
주식회사 하이업,예술·관광,창조혁신형(기타),"치어리딩을 통한 여성특화스포츠교육, 자격연수 및 강사파견, 공연, 용품판매",,,,안연화,043-201-1382,충청북도 청주시 상당구 중흥로 191,,,2019-11-26,6430000,충청북도
뭉클협동조합,예술·관광,창조혁신형(기타),"영상, 음악, 출판, 디자인 콘텐츠 제작 및 제작 교육",,,,조영은,043-201-1382,충청북도 청주시 서원구 사운로 85번길 8,,,2019-11-26,6430000,충청북도
