정수장명,관리기관명,관리기관전화번호,소재지도로명주소,채수일자,검사기관명,최종판정결과,일반세균,총대장균군,대장균,분원성대장균군,납,불소,비소,셀레늄,수은,시안,크롬,암모니아성질소,질산성질소,카드뮴,보론,페놀,다이아지논,파라티온,페니트로티온,카바릴,1_1_1-트리클로로에탄,테트라클로로에틸렌,트리클로로에틸렌,사염화탄소,1_1-디클로로에틸렌,디클로로메탄,벤젠,톨루엔,에틸벤젠,크실렌,1_2-디브로모-3-클로로프로판,1_4-다이옥산,잔류염소,총트리할로메탄,클로로포름,브로모디클로로메탄,디브로모디클로로메탄,클로랄하이드레이트,디브로모아세토니트릴,디클로로아세토니트릴,트리클로로아세토니트릴,할로아세틱에시드,포름알데히드,심미적영향물질경도,과망간산칼륨소비량,냄새,맛,동,색도,세제,수소이온농도,아연,염소이온,증발잔류물,철,망간,탁도,황산이온,알루미늄,데이터기준일자,제공기관코드,제공기관명
노온정수장,경기도 광명시청,02-2680-6275,,2018-05-09,(재)한국환경수도연구소,,0,불검출,,,0,0,0,0,0,0,0,0,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0.019,0.013,0.006,,0.003,0,0.0014,0,0.014,0,,1.4,없음,없음,0,0,0,7.1,0,19.6,111,0,0,0.06,15,0.08,2019-09-09,3900000,경기도 광명시
노온정수장,경기도 광명시청,02-2680-6275,,2018-04-02,(재)한국환경수도연구소,,0,불검출,,,0,0,0,0,0,0,0,0,1.9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0.016,0.011,0.005,,0.0049,0.0008,0.0031,0,0.027,0,,1.3,없음,없음,0,0,0,7.2,0.005,26.1,102,0,0,0.05,15,0.02,2019-09-09,3900000,경기도 광명시
미원정수장,충청북도 청주시 상수도사업본부,043-201-4584,충청북도 청주시 상당구 미원면 미원초정로 64-21(내산리),2019-03-04,청주시상수도사업본부 정수과 시험팀,적합,0,불검출,불검출,불검출,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,97,0,없음,없음,0,0,0,7.3,0.006,9.5,128,0.18,0,0.07,5,0,2019-03-28,5710000,충청북도 청주시
상동정수장,한국환경공단 영월사업소,033-812-4006,강원도 영월군 상동읍 태백산로 3315-36,2018-07-10,,적합,0,불검출,불검출,불검출,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0.043,0.04,0.003,0,0.0075,0,0.0021,0,0.029,0,50,3.2,없음,없음,0,1,0,7.7,0.016,8.1,37,0,0,0.12,7,0,2018-08-25,4270000,강원도 영월군
하동정수장,한국환경공단 영월사업소,033-812-4006,강원도 영월군 김삿갓면 강변로 1433-37,2018-07-10,,적합,0,불검출,불검출,불검출,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.031,0.024,0.005,0.002,0.0032,0.0006,0.0012,0,0.006,0,213,1.7,없음,없음,0,1,0,7.8,0.044,23.4,214,0,0,0.09,30,0,2018-08-25,4270000,강원도 영월군
쌍용정수장,한국환경공단 영월사업소,033-812-4006,강원도 영월군 한반도면 삼둔로 100-6,2018-07-10,,적합,0,불검출,불검출,불검출,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0.051,0.042,0.08,0.001,0.0106,0,0.0026,0,0.025,0,104,2.3,없음,없음,0,1,0,8,0.032,16.5,133,0,0,0.1,10,0.06,2018-08-25,4270000,강원도 영월군
주천정수장,한국환경공단 영월사업소,033-812-4006,강원도 영월군 주천면 주천로89번길 26-36,2018-07-10,,적합,0,불검출,불검출,불검출,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.04,0.03,0.008,0.002,0.0045,0,0,0,0.015,0,152,3.1,없음,없음,0,1,0,7.7,0.008,17.5,145,0,0,0.06,11,0,2018-08-25,4270000,강원도 영월군
송전정수장,한국수자원공사,033-340-0231,강원도 횡성군 횡성읍 송전로 135,2018-07-04,한국수자원공사,적합,0,불검출,불검출,불검출,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.017,0.015,0.002,0,0.0039,0,0.0029,0,0.029,0,39,1.6,없음,없음,0,0,0,7,0.011,15.3,177,0,0,0.03,6,0,2018-07-22,4260000,강원도 횡성군
두곡정수장,경상남도 하동군청,055-880-2592,경상남도 하동군 하동읍  산복1길 21-30,2017-05-04,경남과학기술대학교 산학협력단 환경측정검사센터,적합,0,불검출,불검출,불검출,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.005,0.002,0.002,0.001,0.0008,0.0005,0,0,0.005,0,53,2,없음,없음,0,0,0,6.4,0.026,11.9,71,0,0,0.1,9,0,2018-07-01,5440000,경상남도 하동군
청룡정수장,경상남도 하동군청,055-880-2592,경상남도 하동군 옥종면 은행나무길 35-194,2017-05-04,경남과학기술대학교 산학협력단 환경측정검사센터,적합,0,불검출,불검출,불검출,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.006,0.004,0.002,0,0,0,0,0,0.003,0,44,1.9,없음,없음,0,0,0,7,0.006,2.4,51,0,0,0.2,9,0,2018-07-01,5440000,경상남도 하동군
