시도명,시군구명,시티투어코스명,시티투어문의처,시티투어운영시간,시티투어운행방식,시티투어탑승장소명,시티투어코스정보,경유지주변관광정보,시티투어코스부가정보,운행정보,운행시작시각,운행종료시각,배차시간,이용요금,이용요금부가정보,홈페이지주소,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
충청남도,공주시,수시코스,041-854-8810(공주시 관광협의회),09:00~17:20,고정형,"공주역(09:00), 공주시청(09:30)",해당 월에 진행하는 코스와 동일,,,매주 화~금(사전예약 필수),09:00,17:20,00,해당 월에 진행하는 코스 요금과 동일,,http://www.gongju.go.kr/tour/,공주시 관광과,041-840-8084,2020-07-07,4500000,충청남도 공주시
충청남도,공주시,축제코스,041-854-8810(공주시 관광협의회),09:00~17:20,고정형,"공주역(09:00), 공주시청(09:30)",중식 이후 축제장 관람,,,"축제 기간(구석기, 여름, 백제문화제",09:00,17:20,00,"어린이 5,000 청소년 8,000 어른 10,000 경로자 6,000",,http://www.gongju.go.kr/tour/,공주시 관광과,041-840-8084,2020-07-07,4500000,충청남도 공주시
충청남도,공주시,반일코스,041-854-8810(공주시 관광협의회),14:00~17:40,고정형,공산성(14:00),공산성 → 송산리고분군(무령왕릉) → 국립공주박물관 → 한옥마을 → 공산성,,,매주 일,14:00,17:40,00,"어린이 4,000 청소년 6,000 어른 9,000 경로자 3,000",,http://www.gongju.go.kr/tour/,공주시 관광과,041-840-8084,2020-07-07,4500000,충청남도 공주시
전라북도,진안군,마이산 시티투어(전주권),063-430-2502,당일,고정형,전주 르윈호텔 앞,전주-진안마이산-전주한옥마을,,,연중,08:50,19:00,24,성인 : 9000원+아동 : 8000원,,nbtour.co.kr,(주)남북관광,063-285-8800,2020-06-02,4730000,전라북도 진안군
경기도,시흥시,정기투어,모두투어 1544-5252,4월~11월17일 매주 토/일요일 운영,고정형,오이도역/시흥시청,오이도-갯골생태공원-삼미시장,오이도빨강등대+선사유적공원+갯골생태공원+삼미시장,코스는 계절/시기에 따라 변동될 수 있음,4월~11월17일 매주 토/일 운행,10:30,17:00,0,"10,000원",,http://www.siheung.go.kr,경기도 시흥시청,031-310-2902,2020-05-11,4010000,경기도 시흥시
경상남도,거제시,거제블루시티투어 3코스,㈜동백관광,08:00~17:30,고정형,"한화리조트,고현시외버스터미널,롯데마트(옥포),대명리조트","3코스:유호전망대, 칠천량해전공원, 매미성, 외도 거제해금강",,,1일1회,08:00,17:30,1440,"성인15,000원,중고생10,000원,어린이8,000원","중식비, 관광지 입장료 별도 부담",www.geojebluecitytour.com,거제시 관광마케팅과,055-639-4792,2020-01-23,5370000,경상남도 거제시
울산광역시,없음,해안탐방코스,울산시티투어 052-700-0052,매주 일요일,고정형,KTX울산역,KTX울산역-롯데광장-울산박물관-외고산옹기마을-간절곶-서생포왜성-롯데광장-KTX울산역,,,명절연휴/ 월요일 휴무,09:30,17:20,60,성인10000원+청소년이하8000원,20인이상 단체 KTX SRT 탑승권 고속버스 항공권  소지자 울산시민30할인+ 기초생활수급자 경로자 국가유공자 장애인 본인 50 할인,http://www.ulsancitytour.co.kr,울산광역시도시공사,052-219-8494,2019-09-27,6310000,울산광역시
울산광역시,없음,어린이DAY코스,울산시티투어 052-700-0052,매주 수요일,고정형,롯데광장,A코스(암각화박물관-반구대암각화) B코스(고래박물관-대왕암공원) C코스(태화강대공원-울산박물관) D코스(울산시청-대교전망대) E코스(약사제방유적전시관-함월유아숲체험관) F코스(강동해변-안전체험관),,,명절연휴/ 월요일 휴무,09:30,13:00,60,5000원,어린이집단체예약 20인 이상 한정,http://www.ulsancitytour.co.kr,울산광역시도시공사,052-219-8494,2019-09-27,6310000,울산광역시
울산광역시,없음,생태관광코스,울산시티투어 052-700-0053,11월~3월 토/일,고정형,태화강역,태화강역-태화강대공원-울산빛축제-태화강역,,,명절연휴/ 월요일 휴무,17:00,19:30,60,성인10000원+청소년이하8000원,20인이상 단체 KTX SRT 탑승권 고속버스 항공권  소지자 울산시민30할인+ 기초생활수급자 경로자 국가유공자 장애인 본인 50 할인,http://www.ulsancitytour.co.kr,울산광역시도시공사,052-219-8494,2019-09-27,6310000,울산광역시
울산광역시,없음,아름다운달빛여행,울산시티투어 052-700-0052,5월~10월 금/토,고정형,태화강역,태화강역-울산대교전망대-대왕암공원-울산대교-태화강역,,,명절연휴/ 월요일 휴무,19:00,22:20,60,성인10000원+청소년이하8000원,20인이상 단체 KTX SRT 탑승권 고속버스 항공권  소지자 울산시민30할인+ 기초생활수급자 경로자 국가유공자 장애인 본인 50 할인,http://www.ulsancitytour.co.kr,울산광역시도시공사,052-219-8494,2019-09-27,6310000,울산광역시
