야생동물구조센터명,소재지도로명주소,소재지지번주소,위도,경도,운영시작시각,운영종료시각,휴무일정보,야생동물구조센터지정일자,야생동물구조센터면적,수의사인원수,질병연구자인원수,진료실수,수술실수,영상진단실수,입원실수,유전자원보관실수,재활실수,격리실수,구조차량대수,운반상자현황,포획장비현황,진료장비현황,구조센터기능,대표자명,전화번호,데이터기준일자,제공기관코드,제공기관명
유일동물병원,경기도 양평군 양평읍 미리내길 96,경기도 양평군 양평읍 도곡리 285-1,37.4810742092,127.5349126016,06:00,20:00,연중무휴,2012-01-01,60,1,1,1,1,,,,,,,,,,,,031-772-2727,2020-05-26,4170000,경기도 양평군
서울시 야생동물센터,서울특별시 관악구 관악로 1,,37.46803832,126.9592954,09:00,18:00,연중무휴,2017-07-01,,1,5,,,,,,,,,,,,,,02-880-8659,2020-07-07,3040000,서울특별시 광진구
울산광역시 야생동물구조관리센터,울산광역시 남구 남부순환도로 293번길 25-3,울산광역시 남구 옥동 506-2,35.5287779,129.2768224,09:00,18:00,없음,2008-04-18,470,1,2,1,1,1,2,0,5,0,1,대형 2개 + 중형 4개 + 소형 7개,뱀집게 등 10개,x-ray촬영장비등 54종,야생동물 구조+치료+시료지원+교육+ 연구+기타,울산시설공단이사장(박순환),052-256-5322,2020-01-20,B553560,울산시설공단
경기도야생동물구조관리센터,경기도 평택시 진위면 동천길 132-93,경기도 평택시 진위면 동천리 56-3,37.1319753,127.1185099,09:00,18:00,토요일+일요일+공휴일,2009-03-24,,4,3,1,1,1,8,1,25,12,3,대형 맹금류 및 고라니용 6개+기타 소형동물 10개+기타 소형조류 종이박스,바닥깔개+고글+그물+마취총,진료대2+수술대1+마취기1+X-ray+초음파 등,"구조,치료+질병연구+생태연구+보호관리+교육+기타",이재명,031-8008-6212,2019-03-18,6410000,경기도
제일동물병원,경상북도 칠곡군 왜관읍 2번도로길 121,경상북도 칠곡군 왜관읍 왜관리 207-34,35.998451,128.396891054,09:00,18:00,토요일+일요일+공휴일,2018-01-01,115.7,1,0,1,0,0,0,0,0,0,1,1,1,,부상 야생동물 1차진료,김만조,054-973-8300,2019-06-20,5220000,경상북도 칠곡군
광주광역시야생동물구조관리센터,광주광역시 서구 무진대로 576,광주광역시 서구 유촌동 820-111,35.162384,126.843626,08:00,18:00,연중무휴,2019-01-01,576,2,1,1,1,1,4,1,5,1,1,대형1+중형1+소형2,블로건+고글+그물+안전장갑,디지털엑스레이기 등 99,구조+치료+재활+자연방생+질병조사+생태연구+교육+기타,광주광역시보건환경연구원장,062-613-6651,2019-05-23,6290000,광주광역시
제일가축병원,경상북도 문경시 호서로 82,경상북도 문경시 흥덕동 249-10,36.601523,128.202174,09:00,18:00,휴무없음,2000-01-01,50,1,5,1,1,1,1,1,1,1,1,10,5,10,야생동물구조,김진영,054-553-3308,2019-05-10,5120000,경상북도 문경시
대전야생동물구조관리센터,대전광역시 유성구 대학로 99,대전광역시 유성구 궁동 220번지,36.3679381,127.3442986,09:00,18:00,없음,2015-10-08,891,2,2,1,1,1,1,1,1,1,2,"■ 차량2대 : 코란도스포츠CX7(4WD)Club 2015년A/T & 올뉴쏘렌토E2.0디젤2WD프레스티지A/T / ■ 동물운반 : 플라스틱 계류장 (소, 중 ,대) 10개","■ 용접용 장갑 (소, 중) 11개 /  ■ 인조잔디 바닥깔개 약90개 / ■ 고글 1개, 안대용 후드 7개 / ■ 멸균생리식염수 및 일반 구급약품상자 1개 / ■ 포획용 그물 4개 / ■ 올가미 막대 1개, 안전 집게 2개, 블로우건 2개 / ■ 촬영장비 2개(디지털카메라Sony,CN/DSC-HW400V,2040만화소 & 캠코더Sony,CN/FDR-AX100,1420만화소)","수술대, 수술등, 흡입마취기, 수액펌프, X-ray, 혈액검사장비세트, 원심분리기, 세균배양기, 고압멸균소독기, 네블라이저, 검이검안장비세트, 일반외과 수술기구, 정형외과 수술기구, 석션기, 산소발생기, 수액가온기, 적외선조사기","야생동물 구조치료 및 재활방사, 질병연구 등",송근호,042-821-7930,2017-11-28,6300000,대전광역시
서울특별시 야생동물 구조관리센터,서울특별시 관악구 관악로1 서울대학교 수의과대학 동물병원 (B1),,37.468095,126.953151,09:00,18:00,토요일+일요일,2017-07-01,,1,5,,,,,,,,,,,,,,02-880-8659,2018-11-30,3010000,서울특별시 중구
충남야생동물구조센터,충청남도 예산군 예산읍 대학로 54,충청남도 예산군 예산읍 대회리 1,36.66988681,126.859415,09:00,18:00,토요일+일요일+공휴일,2010-09-09,1044.96,2,0,1,1,1,32,1,23,0,2,포유류 4개+기타 1개,조류 포획망+포유류 포획망+생포트랩+포획집게,무영등 2개+방사선촬영기 1개+수술대 1개+안과검사기 1개+진료대 1개+혈액분석기 1개+호흡마취기 1개,교육+구조+재활+조난+질병연구+치료+홍보+기타,박영석,041-334-1666,2020-07-01,4540000,충청남도 논산시
유동물병원,경기도 의왕시 부곡중앙로 41,경기도 의왕시 삼동 208-10번지,37.3213211505,126.953535,09:00,20:00,일요일+공휴일,2009-10-01,46,1,0,1,1,1,1,0,0,2,0,,,,야생동물 치료,류제영,031-462-8277,2020-07-10,4030000,경기도 의왕시
장유동물병원,경상남도 김해시 능동로 11,경상남도 김해시 삼문동 77-14,35.1960914,128.7947602,10:00,19:00,일요일(휴일종료시각: 5시),2018-01-01,99.1735,1,1,1,1,1,2,0,0,1,0,1,0,x선 초음파 혈액검사,,최종윤,055-313-7582,2020-06-30,5350000,경상남도 김해시
경남야생동물센터,경상남도 진주시 진주대로 501,경상남도 진주시 가좌동 900,35.1567151125,128.0980020769,09:00,18:00,연중무휴,2008-01-15,,5,1,1,1,1,3,1,9,2,2,켄넬10종,그물망외12종,X-ray외52종,"야생동물 구조 및 치료, 질병연구, 유전자원 보존 등",정동인,055-754-9575,2020-06-30,6480000,경상남도
파랑새동물병원,경상북도 구미시 고아읍 들성로11길 6-5,경상북도 구미시 고아읍 문성리 1294,36.16208508,128.3489706,09:00,18:00,"일요일, 공휴일",2005-03-01,82,1,0,,1,,2,,,,,1,,"혈액분석기,   X-RAY",치료,박정우,054-456-4791,2020-06-20,5080000,경상북도 구미시
충남야생동물구조센터,충청남도 예산군 예산읍 대학로 54,충청남도 예산군 예산읍 대회리 1,36.66988681,126.859415,09:00,18:00,토요일+일요일+공휴일,2010-09-09,1639.43,2,6,1,1,1,0,1,0,0,2,대형켄넬 6개+중형켄넬 3개+소형켄넬 2개+조류박스 다량,고라니포획망 2개+조류포획망 4개+포획집게 2개+올무 1개,진료대 1+수술대 1+마취기 1,구조+질병연구+보호관리+교육+기타,박영석,041-330-1666,2020-06-17,6440000,충청남도
경기도야생동물구조관리센터,경기도 평택시 진위면 동천길 132-93,경기도 평택시 진위면 동천리 56-3,37.13202593,127.1183287,09:00,18:00,토요일+일요일+공휴일,2010-03-19,338,5,4,1,1,1,6,1,14,0,4,-,포획망외 8,X ray외 19,구조+질병연구+생태연구+보호관리+교육+기타,이재명,031-8008-6212,2020-04-28,3910000,경기도 평택시
사단법인 한국동물구조관리협회,경기도 양주시 남면 감악산로 63-37,경기도 양주시 남면 상수리 410-1,37.87011581,126.9835431,09:00,18:00,"일요일, 공휴일",2017-03-01,450,1,8,1,1,0,6,0,1,1,7,40,포획틀+블로우건+뜰채 등,수술대2+마취기 등,구조+질병연구+보호관리 등,김철훈,031-867-9119,2020-05-25,5590000,경기도 양주시
서울시 야생동물 구조센터,서울특별시 관악구 관악로 1,,37.4680385090,126.9592960330,09:00,18:00,연중무휴,2017-01-01,,2,16,,,,,,,,,,,,,,02-880-8659,2020-05-27,3070000,서울특별시 성북구
울산광역시 야생동물구조센터,울산광역시 남구 남부순환도로293번길 25-3,울산광역시 남구 옥동 506-2,35.52877897,129.2768208,09:00,18:00,연중무휴,2008-04-18,2521,1,0,1,1,1,2,0,1,0,1,13,10,38,"야생동물 구조 및 치료, 재활 등",고영진,052-226-0434,2020-05-22,3700000,울산광역시 남구
다사랑종합동물병원,대구광역시 동구 신암로86-1,대구광역시 동구 신암2동 1196-57,35.878708,128.610019,09:30,17:30,"공휴일,국경일",2017-01-01,,1,0,1,1,1,1,,,,,,,,,손호희,053-942-0805,2020-05-19,3420000,대구광역시 동구
