육교명,도로종류,도로노선번호,도로노선명,소재지도로명주소,위도,경도,육교연장,육교높이,허용통행하중,통행제한높이,육교폭,난간높이,조명개수,장애인편의시설설치여부,장애인편의시설종류,장애인편의시설수량,부대시설종류,부대시설수량,육교준공일자,내진설계적용여부,안전등급,사용제한구분,육교보수보강내역,최종안전점검유형,최종안전점검일자,관리기관명,데이터기준일자,제공기관코드,제공기관명
옥포육교,시도,대로1-1호선,도시계획도로 대로1-1호선,경상남도 거제시 옥포동 산93-7,34.887436,128.692443,30,,,5,2.5,,,N,없음,,,,,,양호,제한없음,,정기점검,2017-09-22,거제시청,2020-02-19,5370000,경상남도 거제시
고현초 통학육교,시도,중로1-3호선,도시계획도로 중로1-3호선,경상남도 거제시 상동동 487,34.874311,128.628894,60,,,5,3,,,N,없음,,,,,,양호,제한없음,,정기점검,2017-09-22,거제시청,2020-02-19,5370000,경상남도 거제시
금당육교,일반국도,2,없음,전라남도 광양시 금호동 624-21,34.936176,127.726053,35,,,4.7,3,,,Y,경사로,,,,1989-01-01,,보통,제한없음,,정기점검,2018-12-31,전라남도 광양시,2020-03-24,4840000,전라남도 광양시
백운육교,일반국도,2,없음,전라남도 광양시 금호동 674,34.942383,127.724737,35,,,5.4,3,,,Y,경사로,,,,1996-01-01,,보통,제한없음,,정기점검,2018-12-31,전라남도 광양시,2020-03-24,4840000,전라남도 광양시
창대보도육교,기타,X,X,경기도 양평군 양평읍 역전길 2,37.4912443313,127.4889211591,20,7,,5,4,1.5,2,N,N,,,,,N,양호,제한없음,"바닥, 시설물 보수",정기점검,2019-12-31,양평군,2020-03-01,4170000,경기도 양평군
양평보도육교,기타,X,X,경기도 양평군 양평읍 양근로 260,37.4857472496,127.4957033925,85,7,,5,4,1.5,4,N,N,,,,,N,양호,제한없음,"바닥, 시설물 보수",정기점검,2019-12-31,양평군,2020-03-01,4170000,경기도 양평군
양동보도육교,기타,X,X,경기도 양평군 양동면 양동역길 19,37.4215396917,127.7532902404,50,7,,5,4,1.5,3,N,N,,,,,N,양호,제한없음,"바닥, 시설물 보수",정기점검,2019-12-31,양평군,2020-03-01,4170000,경기도 양평군
장기육교2,시도,김포한강1로,김포한강1로,경기도 김포시 장기동 1798,37.641566,126.666898,30,,,5.0,5.1,1,6,Y,승강기,2,,,2008-01-01,N,보통,제한없음,,정기점검,2020-02-20,김포시도로관리과,2020-02-27,4090000,경기도 김포시
한가람육교,시도,김포한강7로,김포한강7로,경기도 김포시 구래동 6922,37.6372701,126.631322,37,,,4.5,5.5,1,44,N,해당없음,,,,2014-01-01,N,보통,제한없음,,정기점검,2020-02-20,김포시도로관리과,2020-02-27,4090000,경기도 김포시
나비육교,시도,김포한강3로,김포한강3로,경기도 김포시 구래동 6906,37.641416,126.6301633,72,,,4.5,16.0,1,398,N,해당없음,,,,2014-01-01,N,보통,제한없음,,정기점검,2020-02-20,김포시도로관리과,2020-02-27,4090000,경기도 김포시
솔터육교,시도,김포한강3로,김포한강3로,경기도 김포시 마산동 691-1,37.6389349,126.636186,44,,,4.5,7.5,1,52,N,해당없음,,,,2014-01-01,N,보통,제한없음,,정기점검,2020-02-20,김포시도로관리과,2020-02-27,4090000,경기도 김포시
은여울육교,시도,김포한강3로,김포한강3로,경기도 김포시 마산동 691-1,37.6389349,126.636186,44,,,4.5,7.5,1,140,N,해당없음,,,,2014-01-01,N,보통,제한없음,,정기점검,2020-02-20,김포시도로관리과,2020-02-27,4090000,경기도 김포시
