시도명,시군구명,납부필증사용대상,납부필증유형,1ℓ가격,2ℓ가격,3ℓ가격,4ℓ가격,5ℓ가격,6ℓ가격,7ℓ가격,10ℓ가격,15ℓ가격,20ℓ가격,22ℓ가격,25ℓ가격,26ℓ가격,30ℓ가격,40ℓ가격,50ℓ가격,60ℓ가격,70ℓ가격,120ℓ가격,200ℓ가격,관리부서명,관리부서전화번호,데이터기준일자,제공기관코드,제공기관명
세종특별자치시,세종특별자치시,기타,납부필증,0,0,80,0,130,0,0,270,0,540,0,0,0,0,0,0,0,0,3200,0,도시청결과,044-300-4276,2018-12-14,5690000,세종특별자치시
전라북도,익산시,단독주택,납부필증,0,0,200,0,340,0,0,0,0,1360,0,0,0,0,0,0,0,0,0,0,청소자원과,063-859-5474,2019-08-08,4680000,전라북도 익산시
서울특별시,강남구,사업장용,납부필증,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,7200,0,서울특별시 강남구청,02-3423-5985,2019-08-21,3220000,서울특별시 강남구
부산광역시,동래구,단독주택,납부필증,0,160,240,0,400,0,0,0,0,2000,0,0,0,0,0,0,0,0,12000,0,청소과,051-550-4454,2019-08-16,3300000,부산광역시 동래구
경상남도,산청군,기타,전용용기,0,0,0,0,120,0,0,0,0,450,0,0,0,0,0,0,1430,0,2640,0,환경위생과,055-970-7131,2019-08-16,5450000,경상남도 산청군
경상남도,산청군,기타,기타,0,0,80,0,120,0,0,230,0,450,0,0,0,0,0,1130,0,0,0,0,환경위생과,055-970-7131,2019-08-16,5450000,경상남도 산청군
울산광역시,울주군,단독주택,납부필증,0,0,0,0,180,0,0,0,0,720,0,0,0,0,0,0,0,0,4320,0,생태환경과,052-204-2145,2019-07-31,3730000,울산광역시 울주군
전라북도,완주군,단독주택,납부필증,0,0,110,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,완주군청 환경과,063-290-2673,2019-08-07,4720000,전라북도 완주군
전라남도,함평군,단독주택,전용용기,0,0,0,0,100,0,0,0,0,400,0,0,0,0,0,0,1190,0,2390,0,환경상하수도과,061-320-1833,2019-08-06,4960000,전라남도 함평군
울산광역시,동구,단독주택,납부필증,0,0,150,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,환경미화과,052-209-3617,2019-05-31,3710000,울산광역시 동구
울산광역시,동구,공동주택,납부필증,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,6000,0,환경미화과,052-209-3617,2019-05-31,3710000,울산광역시 동구
울산광역시,동구,사업장용,납부필증,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,6000,0,12000,0,환경미화과,052-209-3617,2019-05-31,3710000,울산광역시 동구
전라남도,장성군,단독주택,납부필증,0,0,0,0,70,0,0,0,0,280,0,0,0,0,0,0,0,0,1680,0,환경위생과,061-390-7336,2019-06-30,4980000,전라남도 장성군
전라북도,전주시,기타,기타,0,0,210,0,350,0,0,700,0,1400,0,0,0,0,0,0,0,6888,13776,0,전라북도 전주시청,063-281-2178,2019-05-31,4640000,전라북도 전주시
전라남도,여수시,단독주택,납부필증,0,0,100,0,150,0,0,300,0,0,0,0,0,0,0,0,2000,0,4000,0,도시미화과,061-659-3840,2019-06-26,4810000,전라남도 여수시
서울특별시,관악구,사업장용,납부필증,0,0,0,0,0,0,0,1400,0,2800,0,0,0,0,0,0,8400,0,16800,0,청소행정과,02-879-6222,2019-06-03,3200000,서울특별시 관악구
서울특별시,관악구,공동주택,납부필증,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,청소행정과,02-879-6222,2019-06-03,3200000,서울특별시 관악구
전라남도,구례군,단독주택/공동주택/사업장용/기타,전용용기,0,0,0,0,100,0,0,150,0,300,0,0,0,0,0,0,1000,0,2000,0,환경교통과,061-780-2143,2019-06-26,4870000,전라남도 구례군
전라남도,목포시,단독주택,납부필증,0,0,130,0,220,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,자원순환과,061-270-8574,2019-06-27,4800000,전라남도 목포시
전라남도,목포시,공동주택,납부필증,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5180,0,자원순환과,061-270-8574,2019-06-27,4800000,전라남도 목포시
전라남도,목포시,사업장용,납부필증,0,0,0,0,0,0,0,0,0,870,0,0,0,0,0,0,0,0,0,0,자원순환과,061-270-8574,2019-06-27,4800000,전라남도 목포시
전라북도,남원시,단독주택,납부필증,0,0,100,0,150,0,0,270,0,510,0,0,0,0,0,0,1400,0,2800,0,환경과,063-620-6243,2019-06-10,4700000,전라북도 남원시
전라북도,남원시,공동주택,납부필증,0,0,100,0,150,0,0,270,0,510,0,0,0,0,0,0,1400,0,2800,0,환경과,063-620-6243,2019-06-10,4700000,전라북도 남원시
