시도명,시군구명,도로명,지정사유,지정년도,도로폭,도로연장,도로차로수,보차분리여부,시작점위도,시작점경도,종료점위도,종료점경도,도로안내표지일련번호,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
14,순천시,장천동 터미널 장천3길(장천3길3번지 쇼 동아대리점→장천3길61번지 태화약국),,,17,120,3,N,34.94788363,127.4905954,34.97654572,127.4042148,,교통과,061-749-5931,2019-08-29,4820000,전라남도 순천시
14,순천시,장천동 무궁화장길(팔마로43번지 아모스미용재료→학동이길28번지 뷰티헤어샵),,,9,120,1,N,34.94661431,127.493176,34.97654572,127.4042148,,교통과,061-749-5932,2019-08-29,4820000,전라남도 순천시
14,순천시,조곡일방로(조곡동353-3(조곡교)→조곡동236-2(장대공원),,,4,600,1,N,34.95583772,127.4913566,34.95044201,127.4944992,,교통과,061-749-5933,2019-08-29,4820000,전라남도 순천시
14,순천시,인제동 상인제길(상인제길 2번지 인제부식청과→상인제길 136번지 성진아파트 입구사거리),,2004,7,200,2,N,34.94574902,127.4846091,34.94496073,127.4815376,,교통과,061-749-5934,2019-08-29,4820000,전라남도 순천시
14,순천시,생목일방로(생목동 이수로 2번지 김보석→덕암동 현대아파트 삼거리),,,8,900,1,N,34.94790819,127.5008866,34.94993806,127.5101587,,교통과,061-749-5935,2019-08-29,4820000,전라남도 순천시
14,순천시,동신아파트 옆 일방로(조례동 대주아파트입구→조례동 부영8차 관리사무소 건물),,2002,8,400,1,N,34.95621416,127.5289326,34.95467611,127.5274961,,교통과,061-749-5936,2019-08-29,4820000,전라남도 순천시
14,순천시,해룡면 마산마을(마산마을→국도17호 마산마을입구 삼거리),,,4,380,1,N,34.97654572,127.4042148,34.97654572,127.4042148,,교통과,061-749-5937,2019-08-29,4820000,전라남도 순천시
14,순천시,연향3지구 아우디모텔 일방로(아우디모텔 블록 구간),,2002,12,100,2,N,34.94132098,127.5194494,34.94132098,127.5194494,,교통과,061-749-5938,2019-08-29,4820000,전라남도 순천시
14,순천시,향림초등 일방로(향림현대 201동 우측도로입구→향림현대201동 좌측도로 끝지점),,2002,7,200,1,N,34.97654572,127.4042148,34.97654572,127.4042148,,교통과,061-749-5941,2019-08-29,4820000,전라남도 순천시
14,순천시,시청 주차장도로(장천동 63-5 박람회추진단 → 장천동 63-7 하루일과 간),,2002,4,47,1,N,34.95003105,127.4867611,34.94976057,127.4867518,,교통과,061-749-5942,2019-08-29,4820000,전라남도 순천시
14,순천시,에코그라드호텔 이면도로(조례동 1593-14 워터피아주차장입구⇒조례동 1587-6 현대병원사거리 간),,2008,9,100,1,N,34.95395596,127.5231315,34.95360921,127.5220605,,교통과,061-749-5943,2019-08-29,4820000,전라남도 순천시
14,순천시,청소년 문화의거리(행동 승주주차장⇒ 금곡사거리간),,2009,14,190,1,N,34.95568317,127.4824886,34.95615629,127.4771752,,교통과,061-749-5944,2019-08-29,4820000,전라남도 순천시
14,순천시,중앙동 감사터길 (중앙동3-17∼1-4) 90m,,2010,6,90,1,N,34.95640918,127.4857579,34.95717137,127.4848006,,교통과,061-749-5945,2019-08-29,4820000,전라남도 순천시
14,순천시,향림현대아파트 외곽 천변도로(사랑유치원-향림교),,2011,5,270,1,N,34.97654572,127.4042148,34.97654572,127.4042148,,교통과,061-749-5946,2019-08-29,4820000,전라남도 순천시
14,순천시,인제동 아트빌앞 도로(아트빌-상인제길),,2012,8,130,1,N,34.94481459,127.4810897,34.97654572,127.4042148,,교통과,061-749-5947,2019-08-29,4820000,전라남도 순천시
14,순천시,조례마을안길(호수공원도서관~두지마을),,2014,5,136,1,N,34.97654572,127.4042148,34.97654572,127.4042148,,교통과,061-749-5949,2019-08-29,4820000,전라남도 순천시
14,순천시,신대5블럭(정관장~오늘한점 ),,2002,8,75,1,N,34.97654572,127.4042148,34.97654572,127.4042148,,교통과,061-749-5950,2019-08-29,4820000,전라남도 순천시
14,순천시,신대5블럭(오늘한점~소망빌딩),,,8,34,1,N,34.97654572,127.4042148,34.97654572,127.4042148,,교통과,061-749-5951,2019-08-29,4820000,전라남도 순천시
14,순천시,신대5블럭(소망빌딩~맷돌순두부),,2016,8,75,1,N,34.97654572,127.4042148,34.97654572,127.4042148,,교통과,061-749-5952,2019-08-29,4820000,전라남도 순천시
14,순천시,신대5블럭(소망빌딩~삼성영어),,2016,8,34,1,N,34.97654572,127.4042148,34.97654572,127.4042148,,교통과,061-749-5953,2019-08-29,4820000,전라남도 순천시
14,순천시,신대5블럭(삼성영어~에코드림유치원),,2016,8,75,1,N,34.97654572,127.4042148,34.97654572,127.4042148,,교통과,061-749-5954,2019-08-29,4820000,전라남도 순천시
14,순천시,신대5블럭(신대어린이집~벤츠 ),,2016,8,54,1,N,34.97654572,127.4042148,34.97654572,127.4042148,,교통과,061-749-5955,2019-08-29,4820000,전라남도 순천시
14,순천시,신대5블럭(벤츠~유명셀프세차장),,2016,8,32,1,N,34.97654572,127.4042148,34.97654572,127.4042148,,교통과,061-749-5956,2019-08-29,4820000,전라남도 순천시
14,순천시,신대5블럭(유명셀프세차장~어린이공원),,2016,8,54,1,N,34.97654572,127.4042148,34.97654572,127.4042148,,교통과,061-749-5957,2019-08-29,4820000,전라남도 순천시
14,순천시,신대5블럭(유명셀프세차장~등뼈감자탕),,2016,8,32,1,N,34.97654572,127.4042148,34.97654572,127.4042148,,교통과,061-749-5958,2019-08-29,4820000,전라남도 순천시
14,순천시,신대5블럭(어린이공원~24시희망세차장 ),,2016,8,97,1,N,34.97654572,127.4042148,34.97654572,127.4042148,,교통과,061-749-5959,2019-08-29,4820000,전라남도 순천시
14,순천시,신대5블럭(24시희망세차장~사랑손팥죽 ),,2016,8,37,1,N,34.97654572,127.4042148,34.97654572,127.4042148,,교통과,061-749-5960,2019-08-29,4820000,전라남도 순천시
14,순천시,신대5블럭(사랑손팥죽~고기향 ),,2016,8,97,1,N,34.97654572,127.4042148,34.97654572,127.4042148,,교통과,061-749-5961,2019-08-29,4820000,전라남도 순천시
14,순천시,신대6블럭 매안3길(신대리 2020-4 ~ 2028-9),,2016,10,224,1,N,34.97654572,127.4042148,34.97654572,127.4042148,,교통과,061-749-5962,2019-08-29,4820000,전라남도 순천시
14,순천시,신대6블럭 매안3길(라온B/D~GS25),,2016,10,209,1,N,34.97654572,127.4042148,34.97654572,127.4042148,,교통과,061-749-5963,2019-08-29,4820000,전라남도 순천시
14,순천시,신대6블럭 매안1길(삼시세끼~신대리 2031-3),,2016,10,193,1,N,34.97654572,127.4042148,34.97654572,127.4042148,,교통과,061-749-5964,2019-08-29,4820000,전라남도 순천시
서울특별시,서초구,바우뫼로41길,차량소통 촉진 및 보행자 안전,1998,6,0,1,N,37.483518,127.040218,37.483794,127.041187,,서초구청,02-2155-7236,2020-07-02,3210000,서울특별시 서초구
서울특별시,서초구,강남대로30길,차량소통 촉진 및 보행자 안전,1998,6,0,1,N,37.483539,127.040642,37.482913,127.041288,,서초구청,02-2155-7236,2020-07-02,3210000,서울특별시 서초구
서울특별시,서초구,바우뫼로43길,차량소통 촉진 및 보행자 안전,2001,6,320,1,N,37.481826,127.042474,37.484106,127.041332,,서초구청,02-2155-7236,2020-07-02,3210000,서울특별시 서초구
서울특별시,서초구,남부순환로348길,차량소통 촉진 및 보행자 안전,1998,6,0,1,N,37.482089,127.035268,37.482661,127.034746,,서초구청,02-2155-7236,2020-07-02,3210000,서울특별시 서초구
서울특별시,서초구,바우뫼로7길,차량소통 촉진 및 보행자 안전,1998,6,0,1,N,37.472515,127.024205,37.472073,127.025505,,서초구청,02-2155-7236,2020-07-02,3210000,서울특별시 서초구
서울특별시,서초구,바우뫼로2길,차량소통 촉진 및 보행자 안전,2001,6,370,1,N,37.468896,127.024344,37.468681,127.027583,,서초구청,02-2155-7236,2020-07-02,3210000,서울특별시 서초구
서울특별시,서초구,바우뫼로6길,차량소통 촉진 및 보행자 안전,2001,6,230,1,N,37.468608,127.025928,37.469111,127.025026,,서초구청,02-2155-7236,2020-07-02,3210000,서울특별시 서초구
서울특별시,서초구,바우뫼로4길,차량소통 촉진 및 보행자 안전,1998,6,0,1,N,37.469465,127.025354,37.468958,127.026279,,서초구청,02-2155-7236,2020-07-02,3210000,서울특별시 서초구
서울특별시,서초구,마방로4길,차량소통 촉진 및 보행자 안전,1998,6,0,1,N,37.473625,127.041234,37.474211,127.042155,,서초구청,02-2155-7236,2020-07-02,3210000,서울특별시 서초구
서울특별시,서초구,마방로6길4길,차량소통 촉진 및 보행자 안전,1998,6,0,1,N,37.473975,127.041163,37.473399,127.041985,,서초구청,02-2155-7236,2020-07-02,3210000,서울특별시 서초구
서울특별시,서초구,마방로4길6길,차량소통 촉진 및 보행자 안전,1998,6,0,1,N,37.473728,127.042461,37.474361,127.041374,,서초구청,02-2155-7236,2020-07-02,3210000,서울특별시 서초구
서울특별시,서초구,마방로10길,차량소통 촉진 및 보행자 안전,1998,6,0,1,N,37.476384,127.043697,37.475621,127.043027,,서초구청,02-2155-7236,2020-07-02,3210000,서울특별시 서초구
서울특별시,서초구,태봉로,차량소통 촉진 및 보행자 안전,1998,5,300,1,N,37.466137,127.025966,37.467231,127.022903,,서초구청,02-2155-7236,2020-07-02,3210000,서울특별시 서초구
서울특별시,서초구,언남11길,차량소통 촉진 및 보행자 안전,2001,6,735,1,N,37.475621,127.043027,37.474519,127.044207,,서초구청,02-2155-7236,2020-07-02,3210000,서울특별시 서초구
서울특별시,서초구,마방로10길,차량소통 촉진 및 보행자 안전,1998,6,0,1,N,37.474677,127.044151,37.475195,127.044971,,서초구청,02-2155-7236,2020-07-02,3210000,서울특별시 서초구
서울특별시,서초구,마방로6길,차량소통 촉진 및 보행자 안전,1998,6,0,1,N,37.475238,127.044668,37.476233,127.043571,,서초구청,02-2155-7236,2020-07-02,3210000,서울특별시 서초구
서울특별시,서초구,논현로17길,차량소통 촉진 및 보행자 안전,1998,6,0,1,N,37.476382,127.045486,37.476002,127.044554,,서초구청,02-2155-7236,2020-07-02,3210000,서울특별시 서초구
서울특별시,서초구,논현로13길,차량소통 촉진 및 보행자 안전,1998,6,0,1,N,37.474642,127.047253,37.474167,127.046475,,서초구청,02-2155-7236,2020-07-02,3210000,서울특별시 서초구
서울특별시,서초구,언남12길,차량소통 촉진 및 보행자 안전,2001,6,500,1,N,37.474164,127.044216,37.472548,127.045888,,서초구청,02-2155-7236,2020-07-02,3210000,서울특별시 서초구
서울특별시,서초구,언남16길,차량소통 촉진 및 보행자 안전,1998,6,0,1,N,37.473155,127.046846,37.474602,127.045024,,서초구청,02-2155-7236,2020-07-02,3210000,서울특별시 서초구
서울특별시,서초구,논현로11길,차량소통 촉진 및 보행자 안전,1998,6,0,1,N,37.473922,127.048041,37.476382,127.045485,,서초구청,02-2155-7236,2020-07-02,3210000,서울특별시 서초구
서울특별시,서초구,언남12길,차량소통 촉진 및 보행자 안전,2001,6,500,1,N,37.473781,127.045668,37.473567,127.045141,,서초구청,02-2155-7236,2020-07-02,3210000,서울특별시 서초구
서울특별시,서초구,언남13길,차량소통 촉진 및 보행자 안전,1998,6,0,1,N,37.473417,127.045318,37.473781,127.045668,,서초구청,02-2155-7236,2020-07-02,3210000,서울특별시 서초구
서울특별시,서초구,강남대로10길,차량소통 촉진 및 보행자 안전,1998,6,0,1,N,37.468362,127.040696,37.467056,127.042134,,서초구청,02-2155-7236,2020-07-02,3210000,서울특별시 서초구
서울특별시,서초구,강남대로8길,차량소통 촉진 및 보행자 안전,1998,6,0,1,N,37.467359,127.042512,37.468798,127.041221,,서초구청,02-2155-7236,2020-07-02,3210000,서울특별시 서초구
서울특별시,서초구,강남대로8길,차량소통 촉진 및 보행자 안전,1998,6,0,1,N,37.468921,127.041348,37.467743,127.043019,,서초구청,02-2155-7236,2020-07-02,3210000,서울특별시 서초구
서울특별시,서초구,강남대로8길,차량소통 촉진 및 보행자 안전,1998,6,0,1,N,37.469393,127.042044,37.468229,127.043688,,서초구청,02-2155-7236,2020-07-02,3210000,서울특별시 서초구
서울특별시,서초구,강남대로6길,차량소통 촉진 및 보행자 안전,1998,6,0,1,N,37.468876,127.044608,37.470157,127.043168,,서초구청,02-2155-7236,2020-07-02,3210000,서울특별시 서초구
서울특별시,서초구,동산로8길,차량소통 촉진 및 보행자 안전,1998,6,0,1,N,37.471318,127.044325,37.469184,127.046769,,서초구청,02-2155-7236,2020-07-02,3210000,서울특별시 서초구
서울특별시,서초구,동산로12길,차량소통 촉진 및 보행자 안전,1998,6,0,1,N,37.469744,127.047618,37.471646,127.045247,,서초구청,02-2155-7236,2020-07-02,3210000,서울특별시 서초구
서울특별시,서초구,논현로1길,차량소통 촉진 및 보행자 안전,1998,6,0,1,N,37.469202,127.047181,37.470388,127.048833,,서초구청,02-2155-7236,2020-07-02,3210000,서울특별시 서초구
서울특별시,서초구,원터길,차량소통 촉진 및 보행자 안전,1999,6,140,1,N,37.443986,127.056511,37.443191,127.055852,,서초구청,02-2155-7236,2020-07-02,3210000,서울특별시 서초구
04,계양구,계산새로33번길,,,6,120,1,Y,37.5399230,126.7322440,37.5407370,126.7332080,,"인천계양경찰서, 계양구청",032-450-6818,2019-08-14,3550000,인천광역시 계양구
