자동차검사소명,자동차검사소유형,소재지도로명주소,소재지지번주소,위도,경도,검사소전화번호,운영시간,검사진로수,부지면적,건물면적,검사기술인력수,신규검사여부,정기검사여부,튜닝검사여부,임시검사여부,수리검사여부,배출가스정밀검사여부,택시미터검정여부,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
상암자동차검사소,공공,서울특별시 마포구 구룡길 15  (상암동),,37.586536,126.883891,02-309-7033,평일 9~18 토요일 9~13,3,6620,3005,,Y,Y,Y,Y,Y,Y,Y,02-309-5000,서울본부,2018-09-10,B500011,교통안전공단
주식회사태안현대정비공장,민간,충청남도 태안군 태안읍 평촌길 26,충청남도 태안군 태안읍 평촌길 26,36.7539207587,126.3305716317,041-675-9913,평일:09~18:00+토요일:09:00~13:00,1,2085,2085,2,Y,Y,Y,Y,Y,Y,N,041-670-2718,태안군,2020-03-25,4620000,충청남도 태안군
태안기아서비스(주),민간,충청남도 태안군 태안읍 서해로2068-16,충청남도 태안군 태안읍 평천리63-13,36.75654089,126.3324482,041-675-6666,평일:09~18:00+토요일:09:00~13:00,1,4160,4160,2,Y,Y,Y,Y,Y,Y,N,041-670-2805,태안군,2020-03-25,4620000,충청남도 태안군
안면자동차공업사,민간,충청남도 태안군 안면읍 장터로181-5,충청남도 태안군 안면읍 승언리965,36.52326127,126.3445332,041-674-8888,평일:09~18:00+토요일:09:00~13:00,1,5725,5725,2,Y,Y,Y,Y,Y,Y,N,041-670-2805,태안군,2020-03-25,4620000,충청남도 태안군
태안현대서비스,민간,충청남도 태안군 태안읍 원이로79,충청남도 태안군 태안읍 삭선리514-2,36.7640948,126.2875168,041-675-5217,평일:09~18:00+토요일:09:00~13:00,1,3228,3228,2,Y,Y,Y,Y,Y,Y,N,041-670-2805,태안군,2020-03-25,4620000,충청남도 태안군
반도자동차공업사,민간,충청남도 태안군 태안읍 환동로11,충청남도 태안군 태안읍 남문리653-3,36.74841941,126.2923958,041-675-4011,평일:09~18:00+토요일:09:00~13:00,1,1258,1258,2,Y,Y,Y,Y,Y,Y,N,041-670-2805,태안군,2020-03-25,4620000,충청남도 태안군
북광주자동차검사소,공공,광주광역시 광산구  사암로  877 (도천동),,35.218149,126.825158,062-962-0990,평일 9~18 토요일 9~13,3,4776,923,,Y,Y,Y,Y,Y,Y,Y,062-606-7610,광주전남본부,2018-09-10,B500011,교통안전공단
강남자동차검사소,공공,서울특별시 강남구  헌릉로745길  13 (율현동),,37.468380,127.119242,02-459-2844,평일 9~18 토요일 9~13,5,4837,967,,Y,Y,Y,Y,Y,Y,Y,02-309-5000,서울본부,2018-09-10,B500011,교통안전공단
새성호정비공업사,민간,경상남도 고성군 고성읍 공단로 71,경상남도 고성군 고성읍 율대리 716,34.9699638555,128.337929595,055-673-7700,평일:09:00~18:00,2,556,556,,N,Y,N,Y,N,N,N,,경상남도 고성군청,2019-09-06,5420000,경상남도 고성군
고성정비,민간,경상남도 고성군 회화면 배둔로 9,경상남도 고성군 회화면 배둔리829-8,35.0566278,128.3672325,055-673-6855,평일:09:00~18:00,2,658,658,,N,Y,N,Y,N,N,N,,경상남도 고성군청,2019-09-06,5420000,경상남도 고성군
