재활용센터명,재활용센터운영구분,소재지도로명주소,소재지지번주소,위도,경도,면적,설립년월,차량보유대수,주요취급품목정보,운영기관명,운영기관전화번호,운영기관대표자명,평일운영시작시각,평일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,휴무일정보,애프터서비스정보,홈페이지주소,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
대영기업,위탁,울산광역시 남구 여천로 174,울산광역시 남구 여천동 1460,35.5259549,129.352975,2288.29,2091-12,13,"합성수지, 파지, 고철외",대영기업,052-260-9944,김영효,08:00,17:30,08:00,17:30,매주일요일,,,052-241-7812,울산광역시 북구청,2019-09-04,3720000,울산광역시 북구
포항시재활용선별장,위탁,경상북도 포항시 남구 서원재로 45,경상북도 포항시 남구 호동 65,35.986793,129.389004039,2070,2013-04,8,"종이, 플라스틱류, 캔류, 병류 등",포항시시설관리공단,054-280-9332,김상윤,08:00,17:00,08:00,17:00,,,http://www.phsisul.org/,054-270-3193,포항시청 자원순환과,2019-07-31,5020000,경상북도 포항시
종합리싸이클링타운,위탁,전라북도 전주시 완산구 삼산길 51-24,전라북도 전주시 완산구 삼천동3가 749-5,35.7998258091,127.073693175,44160,2016-09,0,"플라스틱류, 고철.캔,유리병, 비닐류 등",전주리싸이클링에너지㈜,063-250-8035,최성욱,08:00,17:00,08:00,17:00,"토(격주),일, 명절",,,063-281-2836,전라북도 전주시청,2019-05-31,4640000,전라북도 전주시
고창군 재활용선별시설,직영,전라북도 고창군 아산면 인천강변로201-95,전라북도 고창군 아산면 계산리 680-5,35.45362712,126.6199411,1056,2019-01,1,"프라스틱, 캔, 고지등",고창군청,063-560-2892,유기상,08:00,17:00,00:00,00:00,평일운영,해당없음,해당없읍,063-560-2892,고창군청,2019-06-20,4780000,전라북도 고창군
여수시 재활용품선별장,직영,전라남도 여수시 진달래길 310-157(월내동),전라남도 여수시 월내동 200-5번지,34.8480823,127.7392722,1211,2011-01,0,"폐지, 고철, 철캔, 알루미늄캔, 유리병, 잡병, 페트병, 플라스틱류, 스티로폼",전라남도 여수시,061-659-3839,권오봉,09:00,18:00,00:00,00:00,"토, 일, 공휴일",해당없음,해당없음,061-659-3839,전라남도 여수시청,2019-06-26,4810000,전라남도 여수시
강서재활용센터,직영,서울특별시 강서구 화곡로35길 1,서울특별시 강서구 화곡동 111-81,37.545155,126.844155,330,2017-07,1,가전 가구 사무용품 등,강서재활용센터,02-2602-0505,조진환,09:00,19:00,09:00,17:00,문의,,,02-2600-4090,서울특별시 강서구청,2019-06-27,3150000,서울특별시 강서구
강서구재활용센터,직영,서울특별시 강서구 방화대로336,서울특별시 강서구 방화동 257-19,37.5707511,126.816916,500,2017-02,2,가전 가구 사무용품 등,강서구재활용센터,02-2666-7262,장세창,09:00,19:00,09:00,19:00,문의,,,02-2600-4090,서울특별시 강서구청,2019-06-27,3150000,서울특별시 강서구
친환경재활용센터,직영,서울특별시 강서구 강서로134(정원사빌딩1층),서울특별시 강서구 화곡동 404-5,37.5390045,126.8425219,330,2017-03,1,가전 가구 사무용품 등,친환경재활용센터,02-2697-2449,윤창석,08:00,19:00,09:00,17:00,문의,,relive.co.kr,02-2600-4090,서울특별시 강서구청,2019-06-27,3150000,서울특별시 강서구
강서중고재활용센터,직영,서울특별시 강서구 강서로68길23,서울특별시 강서구 등촌동 685,37.5664490,126.842261,495,2017-11,1,가전 가구 사무용품 등,강서중고재활용센터,02-3662-8545,원정구,09:00,19:00,09:00,17:00,문의,,recycleshop.kr,02-2600-4090,서울특별시 강서구청,2019-06-27,3150000,서울특별시 강서구
강동구가전가구재활용센터,위탁,서울특별시 강동구 동남로 930,서울특별시 강동구 고덕동 302,37.5569964262,127.1569746472,1653,2095-05,6,중고가전가구 생활용품 판매,㈜리싸이클시티,02-427-8425,문대왕,10:00,19:00,10:00,19:00,"구정, 추석 당일만",3~6개월,rety.co.kr,02-3425-5880,강동구청 청소행정과,2019-06-19,3240000,서울특별시 강동구
천안시 재활용센터,위탁,충청남도 천안시 동남구 천안천6길 59-19,충청남도 천안시 동남구 신부동 932,36.820064,127.150724,397.23,2003-03,2,"의류,가전,사무용품,가구등",천안지역자활센터,041-568-7171,한동희,09:00,19:00,00:00,00:00,"일요일,공휴일",판매일로부터 6개월 무상수리,없음,041-521-5424,충청남도 천안시,2019-06-18,4490000,충청남도 천안시
횡성군재활용선별장,위탁,강원도 횡성군 횡성읍 학오로 89,강원도 횡성군 횡성읍 학곡리 258,37.5103154,127.9705144,450,2007-11,0,"플락스틱, 고철, 캔, 파지 등",횡성군지역자활센터,033-345-7132,박성길,09:00,18:00,00:00,00:00,"주말, 공휴일",,없음,033-340-5913,횡성군청,2019-06-13,4260000,강원도 횡성군
상주시 재활용품선별장,직영,경상북도 상주시 영남제일로 1408-51,,36.4239403921,128.190715054,991.57,2004-07,2,"가정용 스티로폼, 플라스틱, PET, 파병, 고철",상주시청,,,06:00,16:00,06:00,10:00,"일요일, 국가공휴일",,,054-537-7371,환경관리과,2019-05-27,5110000,경상북도 상주시
과천시 재활용센터,위탁,경기도 과천시 구리안로 177 자원정화센터 내 홍보관 1층,경기도 과천시 갈현동 205-1,37.4078767,126.9924484,396,2099-12,2,"가전, 가구",처분이사,02-507-8946,홍용학,09:00,19:00,09:00,19:00,일요일,없음,없음,02-3677-2253,과천시,2019-05-08,3970000,경기도 과천시
서초구재활용센터,위탁,서울특별시 서초구 양재대로12길 73-19,서울특별시 서초구 원지동 23,37.4594108,127.0406767,472.87,2019-11,4,"냉장고, 세탁기, TV, 냉난방기, 가구, 소파 등",(사)한국생활자원재활용협회,02-571-7272,유익조,09:00,18:30,09:00,18:30,"매주 일요일, 설 또는 추석명절",판매일로부터 6개월이내 무상 수리,http://www.서초구5717272.com,02-2155-6743,서울특별시 서초구청,2019-05-17,3210000,서울특별시 서초구
포천시 환경자원센터,직영,경기도 포천시 신북면 신평로16번길 207,경기도 포천시 신북면 만세교리 101,37.967631,127.243634,18000.00,2004-02,2,생활폐기물(재활용품),경기도 포천시청,031-538-2244,포천시장,09:00,18:00,00:00,00:00,공휴일,,,031-538-2244,경기도 포천시청,2019-05-10,5600000,경기도 포천시
화성그린환경센터 재활용선별시설,위탁,경기도 화성시 봉담읍 하가등안길 100,경기도 화성시 봉담읍 하가등리 107-1번지,37.1526679,126.9383801,3513.88,2010-05,2,재활용쓰레기,㈜알엠,070-4338-6916,임범진,06:30,15:30,06:30,15:30,,,,031-369-6824,화성시 자원순환과,2019-04-22,5530000,경기도 화성시
은평구 재활용센터,위탁,서울특별시 은평구 수색로24길 16,서울특별시 은평구 수색동 293-13,37.592170000,126.884250000,497,1995-06,2,"가구류,가전제품",사단법인 한국생활자원 재활용 협회 은평구지회,02-372-8272,김명종,09:00,18:00,00:00,00:00,"명절전일 및 당일 휴무,일요일",구입일로부터 6개월,http://www.eprecycle.kr/,02-372-8272,서울특별시 은평구청,2019-03-31,3110000,서울특별시 은평구
광진구 재활용센터,위탁,서울특별시 광진구 자양로15길60,서울특별시 광진구 자양1동 612-44,37.535230,127.080400,197,1995-06,2,"재활용 가전, 가구",한국리사이클링,02-497-7272,이재호,09:00,19:00,09:00,19:00,연중무휴,,,02-450-1375,서울특별시 광진구청,2019-02-28,3040000,서울특별시 광진구
철원군 재활용센터,직영,강원도 철원군 철원읍 독서당길 305,강원도 철원군 철원읍 율이리 500,38.132702,127.101052,1273.68,2007-10,1,재활용품,철원군,033-450-5572,환경자원사업소장,09:00,18:00,00:00,00:00,,,www.cwg.go.kr,033-450-5572,철원군,2018-08-21,4300000,강원도 철원군
덕적면 문갑 재활용 선별장,직영,인천광역시 옹진군 덕적면 문갑로 61,인천광역시 옹진군 덕적면 문갑리 74-18,37.1724959634,126.1073330392,96.05,2009-06,0,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",인천광역시 옹진군 덕적면,032-899-3740,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,인천광역시 옹진군,2019-06-28,3580000,인천광역시 옹진군
덕적면 백아 재활용 선별장,직영,,인천광역시 옹진군 덕적면 백아리 149-6,37.076451,125.9442335124,59.5,2009-06,0,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",인천광역시 옹진군 덕적면,032-899-3740,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,인천광역시 옹진군,2019-06-28,3580000,인천광역시 옹진군
덕적면 울도 재활용 선별장,직영,인천광역시 옹진군 덕적면 울도로 182번길 8-1,인천광역시 옹진군 덕적면 울도리 산42-1,37.0257953390,125.9966876276,69,2009-06,0,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",인천광역시 옹진군 덕적면,032-899-3740,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,인천광역시 옹진군,2019-06-28,3580000,인천광역시 옹진군
자월면 자월 재활용 선별장,직영,인천광역시 옹진군 자월면 자월서로 78,인천광역시 옹진군 자월면 자월리 416-5,37.2499194422,126.3151763724,471,2007-04,3,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",인천광역시 옹진군 자월면,032-899-3750,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,인천광역시 옹진군,2019-06-28,3580000,인천광역시 옹진군
자월면 대이작 재활용 선별장,직영,인천광역시 옹진군 자월면 대이작로 159번길 127,인천광역시 옹진군 자월면 이작리 394-3,37.1746845154,126.2648659792,1351,2012-11,0,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",인천광역시 옹진군 자월면,032-899-3750,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,인천광역시 옹진군,2019-06-28,3580000,인천광역시 옹진군
자월면 승봉 재활용 선별장,직영,인천광역시 옹진군 자월면 승봉로29번길 100-13,인천광역시 옹진군 자월면 승봉리 771-3,37.1728466779,126.2963751346,128.5,2013-03,0,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",인천광역시 옹진군 자월면,032-899-3750,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,인천광역시 옹진군,2019-06-28,3580000,인천광역시 옹진군
영흥면 재활용 선별장,직영,인천광역시 옹진군 영흥면 영흥남로110번길 116,인천광역시 옹진군 영흥면 외리 81-2,37.2498232725,126.4667490715,312,2009-01,4,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",인천광역시 옹진군 영흥면,032-899-3820,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,인천광역시 옹진군,2019-06-28,3580000,인천광역시 옹진군
공주시 재활용센터,직영,충청남도 공주시 봉황로 125,충청남도 공주시 교동 120,36.4568483374,127.1207351918,30,2016-02,0,재활용품,공주시청,041-852-1006,김정섭,13:00,18:00,00:00,00:00,"토요일,일요일,공휴일",,,041-840-8582,공주시청,2019-09-25,4500000,충청남도 공주시
함평군환경관리센터,직영,전라남도 함평군 함평읍 주포로 170-9,전라남도 함평군 함평읍 장년리 581,35.0910175254,126.4804106558,25368,2000-03,15,생활쓰레기,함평군,061-320-3684,함평군수,06:00,17:00,00:00,00:00,-,-,,061-320-3684,함평군,2019-09-24,4960000,전라남도 함평군
영덕군재활용선별장,직영,경상북도 영덕군 강구면 하저길 139-1,경상북도 영덕군 강구면 하저리 산103,36.4126414012,129.38966637,600,2009-06,2,종이류외 9종,경상북도 영덕군청,054-730-6204,영덕군수,07:00,16:00,07:00,16:00,"토,일,공휴일",,,054-730-6204,경상북도 영덕군청,2019-09-19,5180000,경상북도 영덕군
농촌폐기물종합처리시설,직영,전라남도 담양군 담양읍 태봉로 228-73,전라남도 담양군 담양읍 삼만리 410,35.3362996870,127.0001539932,46.704,2096-10,1,"세탁기,냉장고,가구,신발 등",담양군,,,09:00,18:00,00:00,00:00,공휴일,,http://www.damyang.go.kr/index.damyang,061-380-3079,담양군청,2019-09-17,4850000,전라남도 담양군
자원관리센터,직영,충청북도 증평군 도안면 천광길 125,충청북도 증평군 도안면 광덕리 49,36.842481,127.633583,330,1995-01,0,종이류외8종,증평군,043-835-4292,증평군수,09:00,18:00,09:00,18:00,토요일,,,043-835-4292,충청북도 증평군청,2019-09-11,5570000,충청북도 증평군
오산시 자원재활용센터,직영,경기도 오산시 오산천로 3-35,경기도 오산시 누읍동 196-4,37.1331373178,127.0586925572,10645,2005-12,15,"생활쓰레기, 재활용품 등",경기도 오산시청,031-8036-6453,오산시장 곽상욱,05:00,18:00,05:00,13:00,일요일,,,031-8036-6453,경기도 오산시청,2019-08-05,4000000,경기도 오산시
모음과나눔,직영,경기도 가평군 가평읍 가화로 75-1,경기도 가평군 가평읍 대곡리 233-4,37.826593,127.514787,46.08,2009-11,0,"의류, 도서, 소형가전, 신발, 문구, 잡화",가평군청 환경과,031-581-0396,가평군수 김성기,09:00,18:00,00:00,00:00,공휴일 휴무,없음,없음,031-580-2552,가평군청,2019-09-18,4160000,경기도 가평군
광명시재활용센터,위탁,경기도 광명시 금당로 47,경기도 광명시 하안동 110-7(하안12단지),37.4600178,126.8832081,660.1,2002-05,1,"재활용 가전, 가구",이성춘,02-891-2543,이성춘,09:00,19:00,10:00,18:00,"1,3주 일요일",판매일로부터 3개월이내 무상수리,,02-2680-6384,경기도 광명시청,2019-09-09,3900000,경기도 광명시
