시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,설치장소설명,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,동시사용가능대수,공기주입가능여부,휴대전화충전가능여부,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
소원면사무소,충청남도,태안군,44825,충청남도 태안군 소원면 소근로 26-12,,36.7625539325,126.1972585476,소원면사무소,09:00,18:00,09:00,18:00,09:00,18:00,1,N,N,태안군청 복지증진과,041-670-2776,2020-01-29,4620000,충청남도 태안군
원북면사무소,충청남도,태안군,44825,충청남도 태안군 원북면 상리길 11,,36.8234768567,126.2569144888,원북면사무소,09:00,18:00,09:00,18:00,09:00,18:00,1,N,N,태안군청 복지증진과,041-670-2776,2020-01-29,4620000,충청남도 태안군
이원면사무소,충청남도,태안군,44825,충청남도 태안군 이원면 분지길 14,,36.8695760107,126.2808857397,이원면사무소,09:00,18:00,09:00,18:00,09:00,18:00,2,N,Y,태안군청 복지증진과,041-670-2776,2020-01-29,4620000,충청남도 태안군
태안군장애인복지관,충청남도,태안군,44825,충청남도 태안군 태안읍 군청6길 30,,36.7460818390,126.3024498349,태안군장애인복지관,09:00,18:00,09:00,18:00,09:00,18:00,2,N,Y,태안군청 복지증진과,041-670-2776,2020-01-29,4620000,충청남도 태안군
태안군지체장애인협회,충청남도,태안군,44825,충청남도 태안군 태안읍 후곡로 83,,36.7458983978,126.3019005982,태안군지체장애인협회,09:00,18:00,09:00,18:00,09:00,18:00,2,N,Y,태안군청 복지증진과,041-670-2776,2020-01-29,4620000,충청남도 태안군
태안군교육문화센터,충청남도,태안군,44825,충청남도 태안군 태안읍 백화로 180,,36.7551912450,126.3094313457,태안군교육문화센터,09:00,18:00,09:00,18:00,09:00,18:00,2,N,Y,태안군청 복지증진과,041-670-2776,2020-01-29,4620000,충청남도 태안군
태안군청소년수련관,충청남도,태안군,44825,충청남도 태안군 태안읍 백화로 199,,36.7564209782,126.3132771304,태안군청소년수련관,09:00,22:00,09:00,22:00,09:00,18:00,2,N,Y,태안군청 복지증진과,041-670-2776,2020-01-29,4620000,충청남도 태안군
장애인거주시설 아이원,충청남도,태안군,44825,충청남도 태안군 태안읍 안면대로 208-53,,36.7274270928,126.2857195302,장애인거주시설 아이원,09:00,18:00,09:00,18:00,09:00,18:00,2,N,Y,태안군청 복지증진과,041-670-2776,2020-01-29,4620000,충청남도 태안군
남구청,대구광역시,남구,27200,대구광역시 남구 이천로 51,,35.8455270402,128.5978365425,1층 로비,09:00,18:00,00:00,00:00,00:00,00:00,0,Y,Y,남구청,053-664-3204,2019-06-28,6270000,대구광역시
서구문화회관,대구광역시,서구,27170,대구광역시 서구 당산로 403(이현동),,35.8727916073,128.5455426,지하1층 문화원 앞,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,N,서구문화회관,053-663-3094,2019-06-28,6270000,대구광역시
상중이동행정복지센터,대구광역시,서구,27170,대구광역시 서구 당산로 343(중리동),,35.8669771610,128.5461135975,1층 민원실,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,N,상중이동행정복지센터,053-663-4475,2019-06-28,6270000,대구광역시
비산4동행정복지센터,대구광역시,서구,27170,대구광역시 서구 국채보상로78길 29-4(비산동),,35.8697541352,128.5743132,1층 민원실,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,N,비산4동행정복지센터,053-663-4280,2019-06-28,6270000,대구광역시
비원노인복지관,대구광역시,서구,27170,대구광역시 서구 서대구로 268(비산동),,35.88163671,128.5557152,1층 주출입구 좌측,09:00,18:00,09:00,13:00,00:00,00:00,2,Y,N,비원노인복지관,053-710-9985,2019-06-28,6270000,대구광역시
비산2.3동행정복지센터,대구광역시,서구,27170,대구광역시 서구 국채보상로 81길 43(비산동),,35.8758308,128.5747113,1층 민원실,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,N,비산2.3동행정복지센터,053-663-4260,2019-06-28,6270000,대구광역시
서구종합복지관,대구광역시,서구,27170,대구광역시 서구 달구벌대로365길 3(내당동),,35.86104199,128.5633217,2층 주민건강증진실 앞,09:00,18:00,09:00,18:00,00:00,00:00,2,Y,N,서구종합복지관,053-563-0777,2019-06-28,6270000,대구광역시
광주시립중앙도서관,경기도,광주시,41610,경기도 광주시 문화로 82,경기도 광주시 경안동 161-24,37.41063575,127.253105,1층 주차장 출입구,23:59,23:59,23:59,23:59,23:59,23:59,2,N,Y,경기도 광주시청,031-760-3744,2020-07-07,5540000,경기도 광주시
광주시경안시장 공영주차장,경기도,광주시,41610,경기도 광주시 중앙로 103-5,경기도 광주시 경안동 33-37,37.40879863,127.2576939,1층 전기차 충전기 옆,23:59,23:59,23:59,23:59,23:59,23:59,2,N,Y,경기도 광주시청,031-760-3744,2020-07-07,5540000,경기도 광주시
광주시 참조은병원,경기도,광주시,41610,경기도 광주시 광주대로 45,경기도 광주시 경안동 20-61,37.41093027,127.2602404,1층 정문 옆,23:59,23:59,23:59,23:59,23:59,23:59,2,N,Y,경기도 광주시청,031-760-3744,2020-07-07,5540000,경기도 광주시
이마트 경기광주점,경기도,광주시,41610,경기도 광주시 광주대로 30,경기도 광주시 경안동 25-3,37.40963785,127.261247,지하2층 엘리베이터 앞,09:00,23:00,09:00,23:00,09:00,23:00,2,N,Y,경기도 광주시청,031-760-3744,2020-07-07,5540000,경기도 광주시
초월역,경기도,광주시,41610,경기도 광주시 초월읍 경충대로 1078,경기도 광주시 초월읍 쌍동리 213-15,37.37414259,127.2987206,2번출구 창가,05:30,23:55,05:30,23:55,05:30,23:55,2,N,Y,경기도 광주시청,031-760-3744,2020-07-07,5540000,경기도 광주시
오포도서관*노인복지관오포센터,경기도,광주시,41610,경기도 광주시 오포읍 오포로 885,경기도 광주시 오포읍 고산리 253-3,37.36920483,127.2312228,정문 오른편 자전거 거치대,23:59,23:59,23:59,23:59,23:59,23:59,2,N,Y,경기도 광주시청,031-760-3744,2020-07-07,5540000,경기도 광주시
청성작은도서관,충청북도,옥천군,43730,충청북도 옥천군 청성면 산계길 53,,36.327622,127.7595762,도서관 안,09:00,18:00,09:00,18:00,09:00,18:00,0,N,Y,충청북도 옥천군,043-730-3344,2020-07-13,4430000,충청북도 옥천군
