시장명,시장유형,소재지도로명주소,소재지지번주소,시장개설주기,위도,경도,점포수,취급품목,사용가능상품권,홈페이지주소,공중화장실보유여부,주차장보유여부,개설년도,전화번호,데이터기준일자,제공기관코드,제공기관명
종합시장,상설,경상북도 영주시 선비로79번길 40-12 (휴천동),경상북도 영주시 휴천2동 305,매일,36.8132519,128.6221395,63,"식음료, 수산물",온누리상품권,,Y,Y,2006,054-631-1420,2017-12-07,5090000,경상북도 영주시
중앙시장,상설,경상북도 영주시 구성로 396-1 (영주동),경상북도 영주시 영주1동 547,매일,36.8257763,128.6205255,65,생필품,온누리상품권,,Y,Y,2006,054-635-4403,2017-12-07,5090000,경상북도 영주시
골목시장,상설,경상북도 영주시 영주로192번길 46 (영주동),경상북도 영주시 영주1동 548-8,매일,36.8245523,128.6224622,80,"채소, 과일, 반친",온누리상품권,,Y,Y,2006,054-637-0078,2017-12-07,5090000,경상북도 영주시
풍기중앙시장,상설,경상북도 영주시 풍기읍 동성로 75,경상북도 영주시 풍기읍 성내리 1-4,매일,36.8702407,128.5279856,69,"음식점, 생필품",온누리상품권,,Y,Y,2006,054-637-0078,2017-12-07,5090000,경상북도 영주시
풍기인삼홍삼상점가,상설,경상북도 영주시 풍기읍 기주로 10,경상북도 영주시 풍기읍 동부리 466,매일,36.8680656,128.5342849,45,인삼제품,온누리상품권,,Y,Y,2008,054-632-3989,2017-12-07,5090000,경상북도 영주시
선비골전통시장,상설,경상북도 영주시 중앙로83번길 40 (영주동),경상북도 영주시 영주1동 318-7,매일,36.8248871,128.6232852,100,"식료품(채소), 순대",온누리상품권,,N,N,2009,054-635-9453,2017-12-07,5090000,경상북도 영주시
풍기토종인삼시장,상설,경상북도 영주시 풍기읍 인삼로 40,경상북도 영주시 풍기읍 성내리 148,매일,36.8705349,128.5227476,50,인삼제품,온누리상품권,,Y,Y,2009,054-636-3895,2017-12-07,5090000,경상북도 영주시
영주문화시장,상설,경상북도 영주시 중앙로83번길 28 (영주동),경상북도 영주시 영주동 376-1,매일,36.8241301,128.6235606,207,"의류, 잡화",온누리상품권,,N,N,2010,054-635-6335,2017-12-07,5090000,경상북도 영주시
신영주번개시장,상설,경상북도 영주시 선비로 91-9 (휴천동),,매일,36.8123566,128.6229715,51,"식료품(식육, 채소), 수산물",온누리상품권,,N,N,2013,054-633-9824,2017-12-07,5090000,경상북도 영주시
산성전통시장,상설장,대전광역시 중구 대둔산로 408번길 28,대전광역시 중구 산성동 284-1,매일,36.306131,127.387105,75,"채소, 과일, 떡, 의류, 정육 등",온누리상품권,,Y,Y,1991,042-583-3128,2018-02-19,6300000,대전광역시
용두전통시장,상설장,대전광역시 중구 계룡로 881번길 53,대전광역시 중구 용두동 12-2,매일,36.323396,127.414651,51,"채소, 과일, 식당, 잡화 등",온누리상품권,,N,N,1962,000-000-0000,2018-02-19,6300000,대전광역시
부사전통시장,상설장,대전광역시 중구 대종로 316번길 16,대전광역시 중구 부사동 148-6,매일,36.314117,127.435381,72,"채소, 과일, 식당, 정육 등",온누리상품권,,Y,Y,1990,042-221-6664,2018-02-19,6300000,대전광역시
중앙로지하상점가,상설장,대전광역시 중구 중앙로 지하 145,대전광역시 중구 은행동 216 중앙로역,매일,36.328666,127.425383,602,"의류, 휴대폰, 액세서리, 신발, 식음료(먹거리), 생활용품 등",온누리상품권,,Y,Y,1990,042-252-2064,2018-02-19,6300000,대전광역시
은행동상점가,상설장,대전광역시 중구 중교로 83,대전광역시 중구 은행동 170-31,매일,36.327301,127.428506,297,"식당, 의류, 액세서리 등",온누리상품권,,Y,Y,1970,042-226-9100,2018-02-19,6300000,대전광역시
문화예술의거리대흥동상점가,상설장,대전광역시 중구 중앙로 138번길 30,대전광역시 중구 대흥동 215,매일,36.327255,127.425287,61,"생필품, 요식업 등",온누리상품권,,Y,Y,1990,042-226-8252,2018-02-19,6300000,대전광역시
오류특화상점가,상설장,대전광역시 중구 계룡로 874번길 12,대전광역시 중구 오류동 149-29,매일,36.323588,127.410468,61,요식업 등,온누리상품권,,Y,Y,1998,042-256-8106,2018-02-19,6300000,대전광역시
중촌맞춤상점가,상설장,대전광역시 중구 동서대로 1421번길33,대전광역시 중구 중촌동 411-5,매일,36.336311,127.412516,50,"생필품, 의류 등",온누리상품권,,Y,Y,1998,042-257-2630,2018-02-19,6300000,대전광역시
충무자동차상점가,상설장,대전광역시 중구 충무로 122-1,대전광역시 중구 대사동 69-46,매일,36.318798,127.430491,70,"서비스, 자동차용품 등",온누리상품권,,Y,Y,1999,042-256-7553,2018-02-19,6300000,대전광역시
한민시장,상설장,대전광역시 서구 가장동94,대전광역시 서구 괴정동 88-6,매일,36.334685,127.384284,240,"생필품,농수산물 등",온누리상품권,,Y,Y,1982,042-522-9094,2018-02-19,6300000,대전광역시
도마큰시장,상설장,대전광역시 서구 도마2길39,대전광역시 서구 도마동 134-40,매일,36.314918,127.381379,494,"생필품,의류,농수산물 등",온누리상품권,,Y,Y,1970,042-532-8883,2018-02-19,6300000,대전광역시
가수원상점가,상설장,대전광역시 서구 벌곡로1369-22,대전광역시 서구 가수원동 768-10,매일,36.303417,127.352632,92,"생필품,가정용품 등",온누리상품권,,Y,Y,2007,042-541-1845,2018-02-19,6300000,대전광역시
둔산3동상점가,상설장,대전광역시 서구 둔산로206,대전광역시 서구 둔산동 1814,매일,36.351267,127.396715,698,"생필품,요식업 등",온누리상품권,,Y,Y,1991,042-487-8439,2018-02-19,6300000,대전광역시
