시도명,시군구명,종량제봉투종류,종량제봉투처리방식,종량제봉투용도,종량제봉투사용대상,1ℓ가격,1.5ℓ가격,2ℓ가격,2.5ℓ가격,3ℓ가격,5ℓ가격,10ℓ가격,20ℓ가격,30ℓ가격,50ℓ가격,60ℓ가격,75ℓ가격,100ℓ가격,120ℓ가격,125ℓ가격,관리부서명,관리부서전화번호,데이터기준일자,제공기관코드,제공기관명
경기도,가평군,규격봉투,매립용,생활쓰레기,사업장용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,환경과,031-580-2552,2019-05-16,4160000,경기도 가평군
경상남도,함양군,특수규격마대,소각용,생활쓰레기,가정용+ 사업장용,0,0,0,0,0,0,0,0,0,0,0,0,2440,0,0,환경위생과,055-960-5263,2019-09-27,5460000,경상남도 함양군
경상남도,함양군,재사용규격봉투,소각용,생활쓰레기,가정용+ 사업장용,0,0,0,0,0,0,200,400,0,0,0,0,0,0,0,환경위생과,055-960-5263,2019-09-27,5460000,경상남도 함양군
경상남도,함양군,규격봉투,소각용,생활쓰레기+음식물쓰레기,가정용+ 사업장용,0,0,0,0,60,100,200,400,0,980,1200,0,1950,2400,0,환경위생과,055-960-5263,2019-09-27,5460000,경상남도 함양군
울산광역시,중구,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,160,310,600,0,0,0,0,0,0,0,울산광역시 중구 환경미화과,052-290-3764,2019-09-10,3690000,울산광역시 중구
울산광역시,중구,규격봉투,소각용,생활쓰레기,가정용+사업장용,0,0,0,0,0,160,310,600,0,1490,0,0,2960,0,0,울산광역시 중구 환경미화과,052-290-3764,2019-09-10,3690000,울산광역시 중구
경상남도,산청군,특수규격마대,소각용,생활쓰레기,가정용,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,환경위생과,055-970-7163,2020-03-19,5450000,경상남도 산청군
경상남도,산청군,특수규격마대,매립용,생활쓰레기,가정용,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,환경위생과,055-970-7163,2020-03-19,5450000,경상남도 산청군
경상북도,경주시,특수규격마대,매립용,생활쓰레기,가정용,0,0,0,0,0,0,0,350,0,0,0,0,0,0,0,자원순환과,054-779-6693,2020-06-30,5050000,경상북도 경주시
서울특별시,동작구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,90,130,250,490,740,1250,0,1880,2500,0,0,청소행정과,02-820-9140,2020-06-30,3190000,서울특별시 동작구
서울특별시,서대문구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,130,250,490,0,1250,0,1880,2500,0,0,청소행정과,02-330-1509,2019-07-16,3120000,서울특별시 서대문구
서울특별시,서대문구,규격봉투,소각용,생활쓰레기,사업장용,0,0,0,0,0,0,0,0,0,2000,0,3000,4000,0,0,청소행정과,02-330-1509,2019-07-16,3120000,서울특별시 서대문구
서울특별시,서대문구,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,0,490,0,0,0,0,0,0,0,청소행정과,02-330-1509,2019-07-16,3120000,서울특별시 서대문구
서울특별시,서대문구,특수규격마대,소각용,생활쓰레기,가정용,0,0,0,0,0,0,0,0,0,5100,0,0,0,0,0,청소행정과,02-330-1509,2019-07-16,3120000,서울특별시 서대문구
서울특별시,서대문구,규격봉투,소각용,음식물쓰레기,가정용,100,0,200,0,300,500,1000,2000,0,0,0,0,0,0,0,청소행정과,02-330-1509,2019-07-16,3120000,서울특별시 서대문구
부산광역시,부산진구,규격봉투,소각용,생활쓰레기,기타,0,0,0,0,0,220,300,850,1280,2070,0,3080,4090,0,0,청소행정과,051-605-4464,2019-08-22,3290000,부산광역시 부산진구
강원도,양양군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,90,170,340,500,830,0,1230,1630,0,0,환경과,033-670-2186,2019-08-21,4350000,강원도 양양군
경기도,안양시,재사용규격봉투,소각용,생활쓰레기,사업장용,0,0,0,0,0,0,300,550,0,0,0,0,0,0,0,청소행정과,031-8045-5448,2019-03-11,3830000,경기도 안양시
경기도,안양시,재사용규격봉투,소각용,생활쓰레기,기타,0,0,0,0,0,0,300,550,0,0,0,0,0,0,0,청소행정과,031-8045-5448,2019-03-11,3830000,경기도 안양시
경기도,안양시,재사용규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,0,300,550,0,0,0,0,0,0,0,청소행정과,031-8045-5448,2019-03-11,3830000,경기도 안양시
경기도,안양시,재사용규격봉투,매립용,생활쓰레기,사업장용,0,0,0,0,0,0,300,550,0,0,0,0,0,0,0,청소행정과,031-8045-5448,2019-03-11,3830000,경기도 안양시
경기도,안양시,재사용규격봉투,매립용,생활쓰레기,기타,0,0,0,0,0,0,300,550,0,0,0,0,0,0,0,청소행정과,031-8045-5448,2019-03-11,3830000,경기도 안양시
경기도,안양시,특수규격마대,매립용,생활쓰레기,가정용,0,0,0,0,0,0,0,1000,0,2500,0,0,0,0,0,청소행정과,031-8045-5448,2019-03-11,3830000,경기도 안양시
경기도,안양시,특수규격마대,매립용,생활쓰레기,사업장용,0,0,0,0,0,0,0,1000,0,2500,0,0,0,0,0,청소행정과,031-8045-5449,2019-03-11,3830000,경기도 안양시
경기도,안양시,특수규격마대,매립용,생활쓰레기,기타,0,0,0,0,0,0,0,1000,0,2500,0,0,0,0,0,청소행정과,031-8045-5450,2019-03-11,3830000,경기도 안양시
경기도,안양시,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,150,300,550,0,1400,0,0,2800,0,0,청소행정과,031-8045-5448,2019-03-11,3830000,경기도 안양시
경기도,안양시,규격봉투,소각용,생활쓰레기,사업장용,0,0,0,0,0,150,300,550,0,1400,0,0,2800,0,0,청소행정과,031-8045-5448,2019-03-11,3830000,경기도 안양시
경기도,하남시,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,130,260,500,0,1240,0,0,2470,0,0,자원순환과,031-790-6251,2019-04-15,4040000,경기도 하남시
인천광역시,남동구,규격봉투,소각용,생활쓰레기,사업장용,0,0,0,0,0,0,0,0,2350,4700,0,0,0,0,7870,청소과,032-453-2554,2019-07-02,3530000,인천광역시 남동구
인천광역시,남동구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,210,390,750,0,1850,0,0,3710,0,0,청소과,032-453-2554,2019-07-02,3530000,인천광역시 남동구
인천광역시,남동구,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,390,750,0,0,0,0,0,0,0,청소과,032-453-2554,2019-07-02,3530000,인천광역시 남동구
인천광역시,남동구,규격봉투,소각용,음식물쓰레기,가정용,0,0,200,0,300,500,1000,2000,0,0,0,0,0,0,0,청소과,032-453-2554,2019-07-02,3530000,인천광역시 남동구
강원도,고성군,특수규격마대,매립용,생활쓰레기,가정용,0,0,0,0,0,0,0,0,0,1540,0,0,0,0,0,환경보호과,033-680-3982,2020-07-14,4340000,강원도 고성군
대구광역시,남구,재사용규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,0,290,560,0,0,0,0,0,0,0,녹색환경과,053-664-2715,2020-06-26,3440000,대구광역시 남구
강원도,평창군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,260,490,0,1180,0,1760,2350,0,0,환경위생과,033-330-2106,2020-06-30,4280000,강원도 평창군
강원도,평창군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,260,490,0,0,0,0,0,0,0,환경위생과,033-330-2106,2020-06-30,4280000,강원도 평창군
강원도,평창군,규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,800,0,1260,0,0,0,0,0,0,0,환경위생과,033-330-2106,2020-06-30,4280000,강원도 평창군
강원도,평창군,규격봉투,소각용,음식물쓰레기,가정용,0,0,0,0,70,130,260,490,0,0,0,0,0,0,0,환경위생과,033-330-2106,2020-06-30,4280000,강원도 평창군
경상북도,경주시,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,90,180,350,520,850,0,0,1680,0,0,자원순환과,054-779-6693,2020-06-30,5050000,경상북도 경주시
경상북도,경주시,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,180,350,520,0,0,0,0,0,0,자원순환과,054-779-6693,2020-06-30,5050000,경상북도 경주시
충청남도,계룡시,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,120,240,470,0,1170,0,0,2320,0,0,환경위생과,042-840-2484,2019-05-16,5580000,충청남도 계룡시
충청남도,계룡시,재사용규격봉투,소각용,생활쓰레기,사업장용,0,0,0,0,0,120,240,470,0,1170,0,0,2320,0,0,환경위생과,042-840-2484,2019-05-16,5580000,충청남도 계룡시
경기도,가평군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,200,400,0,1000,0,0,2000,0,0,환경과,031-580-2552,2019-05-16,4160000,경기도 가평군
경기도,가평군,규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,0,200,400,0,1000,0,0,2000,0,0,환경과,031-580-2552,2019-05-16,4160000,경기도 가평군
경기도,가평군,규격봉투,매립용,음식물쓰레기,가정용,0,0,40,0,60,100,200,400,0,0,0,0,0,0,0,환경과,031-580-2552,2019-05-16,4160000,경기도 가평군
경기도,가평군,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,200,400,0,0,0,0,0,0,0,환경과,031-580-2552,2019-05-16,4160000,경기도 가평군
경기도,가평군,특수규격마대,매립용,생활쓰레기,가정용,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,환경과,031-580-2552,2019-05-16,4160000,경기도 가평군
경기도,가평군,규격봉투,소각용,생활쓰레기,사업장용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,환경과,031-580-2552,2019-05-16,4160000,경기도 가평군
경기도,가평군,규격봉투,매립용,음식물쓰레기,사업장용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,환경과,031-580-2552,2019-05-16,4160000,경기도 가평군
경기도,가평군,재사용규격봉투,소각용,생활쓰레기,사업장용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,환경과,031-580-2552,2019-05-16,4160000,경기도 가평군
경기도,가평군,특수규격마대,매립용,생활쓰레기,사업장용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,환경과,031-580-2552,2019-05-16,4160000,경기도 가평군
부산광역시,서구,규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,140,220,430,850,1280,2070,0,3080,4090,0,0,청소행정과,051-240-4436,2019-05-08,3260000,부산광역시 서구
경기도,구리시,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,140,260,510,0,1250,0,0,2470,0,0,자원행정과,031-550-2251,2019-04-26,3980000,경기도 구리시
경상북도,울릉군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,100,170,300,0,710,0,0,1420,0,0,환경보전과,054-790-6187,2019-02-19,5260000,경상북도 울릉군
서울특별시,은평구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,130,250,490,0,1250,0,1880,2500,0,0,자원순환과,02-351-7563,2019-03-31,3110000,서울특별시 은평구
서울특별시,은평구,규격봉투,소각용,음식물쓰레기,가정용,100,0,200,0,300,500,1000,0,0,0,0,0,0,0,0,자원순환과,02-351-7563,2019-03-31,3110000,서울특별시 은평구
서울특별시,은평구,규격봉투,소각용,생활쓰레기,가정용,0,0,80,0,0,190,380,760,0,1250,0,1880,2500,0,0,자원순환과,02-351-7563,2019-03-31,3110000,서울특별시 은평구
강원도,영월군,규격봉투,매립용,음식물쓰레기,가정용,0,0,0,0,0,70,120,230,0,600,0,0,1200,0,0,환경산림과,033-370-2335,2018-08-27,4270000,강원도 영월군
강원도,영월군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,70,120,230,0,600,0,0,1200,0,0,환경산림과,033-370-2335,2018-08-27,4270000,강원도 영월군
울산광역시,동구,규격봉투,소각용,생활쓰레기,사업장용,0,0,0,0,0,160,310,600,0,1490,0,0,2960,0,0,환경미화과,052-209-3603,2019-05-31,3710000,울산광역시 동구
충청남도,금산군,규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,56,102,190,0,464,0,0,927,0,0,환경자원과,041-750-2536,2019-08-06,4550000,충청남도 금산군
충청북도,음성군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,100,180,340,0,840,0,0,1640,0,0,청소위생과,043-871-3823,2019-05-31,4470000,충청북도 음성군
충청북도,음성군,규격봉투,소각용,음식물쓰레기,가정용,0,0,0,0,70,100,180,340,0,0,0,0,0,0,0,청소위생과,043-871-3823,2019-05-31,4470000,충청북도 음성군
충청북도,음성군,규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,청소위생과,043-871-3823,2019-05-31,4470000,충청북도 음성군
전라북도,고창군,규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,0,210,400,0,990,0,0,1960,0,0,환경시설사업소,063-560-2917,2019-06-20,4780000,전라북도 고창군
인천광역시,옹진군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,100,160,310,620,0,1540,0,0,3070,0,0,환경녹지과,032-899-2624,2019-07-04,3580000,인천광역시 옹진군
인천광역시,옹진군,규격봉투,매립용,음식물쓰레기,가정용,0,0,0,0,190,300,630,1260,0,0,0,0,0,0,0,환경녹지과,032-899-2624,2019-07-04,3580000,인천광역시 옹진군
