학구ID,학구명,학구분류,시도코드,시군구코드,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,공간객체ID,데이터기준일자,제공기관코드,제공기관명
Z000200437,장성지구중학구,0,42,190,7800000,강원도교육청,7851000,강원도태백교육지원청,2016-08-12,2016-08-12,29503,2020-03-20,7001220,한국교원대학교
Z000210169,상주시중학교군함창중학구자유학구,1,47,250,8750000,경상북도교육청,8831000,경상북도상주교육지원청,2017-02-21,2017-02-21,29511,2020-03-20,7001220,한국교원대학교
Z000210108,문경시중학교군가은중학구자유학구,1,47,280,8750000,경상북도교육청,8841000,경상북도문경교육지원청,2016-08-12,2016-08-12,29512,2020-03-20,7001220,한국교원대학교
Z000210069,홍산중임천중공동학구,1,44,760,8140000,충청남도교육청,8231000,충청남도부여교육지원청,2016-08-12,2016-08-12,29513,2020-03-20,7001220,한국교원대학교
Z000201028,하의중학구,0,46,910,8490000,전라남도교육청,8721000,전라남도신안교육지원청,2016-08-12,2016-08-12,29514,2020-03-20,7001220,한국교원대학교
Z000200933,장흥유치중학구,0,46,800,8490000,전라남도교육청,8621000,전라남도장흥교육지원청,2016-08-12,2016-08-12,29515,2020-03-20,7001220,한국교원대학교
Z000201261,홍제중학구,0,48,270,9010000,경상남도교육청,9101000,경상남도밀양교육지원청,2016-08-12,2016-08-12,29516,2020-03-20,7001220,한국교원대학교
Z000201265,동부중학구,0,48,310,9010000,경상남도교육청,9111000,경상남도거제교육지원청,2016-08-12,2016-08-12,29517,2020-03-20,7001220,한국교원대학교
Z000200653,진산중학구,0,44,710,8140000,충청남도교육청,8201000,충청남도금산교육지원청,2016-08-12,2016-08-12,29518,2020-03-20,7001220,한국교원대학교
Z000200658,광석중학구,0,44,230,8140000,충청남도교육청,8222000,충청남도논산계룡교육지원청,2016-08-12,2016-08-12,29519,2020-03-20,7001220,한국교원대학교
Z000200667,부여중학구,0,44,760,8140000,충청남도교육청,8231000,충청남도부여교육지원청,2016-08-12,2016-08-12,29520,2020-03-20,7001220,한국교원대학교
Z000200536,노은중학구,0,43,130,8000000,충청북도교육청,8021000,충청북도충주교육지원청,2016-08-12,2016-08-12,29522,2020-03-20,7001220,한국교원대학교
Z000201386,지품천중학구,0,47,150,8750000,경상북도교육청,8781000,경상북도김천교육지원청,2017-02-21,2017-02-21,29523,2020-03-20,7001220,한국교원대학교
Z000200428,호저중학구,0,42,130,7800000,강원도교육청,7821000,강원도원주교육지원청,2016-08-12,2016-08-12,29526,2020-03-20,7001220,한국교원대학교
Z000201085,현일중학구,0,47,190,8750000,경상북도교육청,8801000,경상북도구미교육지원청,2016-08-12,2016-08-12,29521,2020-03-20,7001220,한국교원대학교
Z000200412,조남중학구,0,41,390,7530000,경기도교육청,7781000,경기도시흥교육지원청,2016-08-12,2016-08-12,29524,2020-03-20,7001220,한국교원대학교
Z000200135,동부5학교군,0,30,140,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2016-08-12,2016-08-12,29525,2020-03-20,7001220,한국교원대학교
Z000210178,장성중장성여중장성황룡중공동학구,1,46,880,8490000,전라남도교육청,8691000,전라남도장성교육지원청,2018-03-05,2018-03-05,29548,2020-03-20,7001220,한국교원대학교
Z000210179,장성중장성여중장성백암중공동학구,1,46,880,8490000,전라남도교육청,8691000,전라남도장성교육지원청,2018-03-06,2018-03-06,29549,2020-03-20,7001220,한국교원대학교
Z000210180,봉화중청량중자유학구,1,47,920,8750000,경상북도교육청,8961000,경상북도봉화교육지원청,2018-03-06,2018-03-06,29550,2020-03-20,7001220,한국교원대학교
Z000210181,장성중장성여중광주임곡중공동학구,1,29,200,7380000,광주광역시교육청,7401000,광주광역시서부교육지원청,2018-03-06,2018-03-06,29551,2020-03-20,7001220,한국교원대학교
Z000201044,포항시제2학교군,0,47,111,8750000,경상북도교육청,8761000,경상북도포항교육지원청,2016-08-12,2019-04-04,29590,2020-03-20,7001220,한국교원대학교
Z000200096,9학군,0,28,110,7310000,인천광역시교육청,7321000,인천광역시남부교육지원청,2016-08-12,2019-04-29,29591,2020-03-20,7001220,한국교원대학교
Z000201398,꽃내중학구,0,48,840,9010000,경상남도교육청,9171000,경상남도남해교육지원청,2019-05-08,2019-05-08,29592,2020-03-20,7001220,한국교원대학교
Z000200718,면천중학구,0,44,270,8140000,충청남도교육청,8291000,충청남도당진교육지원청,2016-08-12,2019-03-15,29587,2020-03-20,7001220,한국교원대학교
Z000200717,대호지중학구,0,44,270,8140000,충청남도교육청,8291000,충청남도당진교육지원청,2016-08-12,2019-03-15,29588,2020-03-20,7001220,한국교원대학교
Z000200719,석문중학구,0,44,270,8140000,충청남도교육청,8291000,충청남도당진교육지원청,2016-08-12,2019-03-15,29589,2020-03-20,7001220,한국교원대학교
Z000200691,광천학구,0,44,800,8140000,충청남도교육청,8261000,충청남도홍성교육지원청,2016-08-12,2019-05-08,29593,2020-03-20,7001220,한국교원대학교
Z000200694,서부중학구,0,44,800,8140000,충청남도교육청,8261000,충청남도홍성교육지원청,2016-08-12,2019-05-08,29594,2020-03-20,7001220,한국교원대학교
Z000200631,신창중학구,0,44,200,8140000,충청남도교육청,8181000,충청남도아산교육지원청,2016-08-12,2019-05-15,29595,2020-03-20,7001220,한국교원대학교
Z000200633,온양학군,0,44,200,8140000,충청남도교육청,8181000,충청남도아산교육지원청,2016-08-12,2019-05-15,29596,2020-03-20,7001220,한국교원대학교
Z000200627,배방중학군,0,44,200,8140000,충청남도교육청,8181000,충청남도아산교육지원청,2016-08-12,2019-05-15,29597,2020-03-20,7001220,한국교원대학교
Z000210090,구미시중학군현일중자유학구,1,47,190,8750000,경상북도교육청,8801000,경상북도구미교육지원청,2016-08-12,2019-01-29,29598,2020-03-20,7001220,한국교원대학교
Z000201078,구미시중학군,0,47,190,8750000,경상북도교육청,8801000,경상북도구미교육지원청,2016-08-12,2019-01-29,29599,2020-03-20,7001220,한국교원대학교
Z000200472,횡성중학구,0,42,730,7800000,강원도교육청,7891000,강원도횡성교육지원청,2016-08-12,2019-06-10,29601,2020-03-20,7001220,한국교원대학교
Z000201399,압량중학구,0,47,290,8750000,경상북도교육청,8851000,경상북도경산교육지원청,2019-06-24,2019-06-24,29602,2020-03-20,7001220,한국교원대학교
Z000200372,기흥1중학군,0,41,463,7530000,경기도교육청,7751000,경기도용인교육지원청,2016-08-12,2019-06-24,29603,2020-03-20,7001220,한국교원대학교
Z000210163,둔포학군,1,44,200,8140000,충청남도교육청,8181000,충청남도아산교육지원청,2017-02-20,2019-06-25,29604,2020-03-20,7001220,한국교원대학교
Z000200371,구성중학군,0,41,463,7530000,경기도교육청,7751000,경기도용인교육지원청,2016-08-12,2019-06-25,29606,2020-03-20,7001220,한국교원대학교
Z000210182,정선중문곡중학구공동학구,1,42,770,7800000,강원도교육청,7921000,강원도정선교육지원청,2018-03-19,2018-03-19,29552,2020-03-20,7001220,한국교원대학교
Z000201391,송린중학구,0,41,590,7530000,경기도교육청,7679000,경기도화성오산교육지원청,2018-03-28,2018-11-27,29553,2020-03-20,7001220,한국교원대학교
Z000201392,동탄2-2중학군,0,41,590,7530000,경기도교육청,7679000,경기도화성오산교육지원청,2018-03-28,2018-03-28,29554,2020-03-20,7001220,한국교원대학교
Z000210183,안계중학구경북중부중학구자유학구,1,47,730,8750000,경상북도교육청,8871000,경상북도의성교육지원청,2018-04-23,2018-04-23,29555,2020-03-20,7001220,한국교원대학교
Z000210172,보은중속리산중공동학구,1,43,720,8000000,충청북도교육청,8051000,충청북도보은교육지원청,2018-02-23,2018-04-24,29556,2020-03-20,7001220,한국교원대학교
Z000200332,연천중학구,0,41,800,7530000,경기도교육청,7701000,경기도연천교육지원청,2016-08-12,2018-05-15,29557,2020-03-20,7001220,한국교원대학교
Z000201395,군남중학구,0,41,800,7530000,경기도교육청,7701000,경기도연천교육지원청,2018-05-15,2018-05-15,29558,2020-03-20,7001220,한국교원대학교
Z000200331,백학중학구,0,41,800,7530000,경기도교육청,7701000,경기도연천교육지원청,2016-08-12,2018-05-15,29559,2020-03-20,7001220,한국교원대학교
Z000210184,연천중학구전곡중학구청산중학구공동학구,1,41,800,7530000,경기도교육청,7701000,경기도연천교육지원청,2018-05-15,2018-05-15,29560,2020-03-20,7001220,한국교원대학교
Z000200182,천상중학구,0,31,710,7480000,울산광역시교육청,7501000,울산광역시강남교육지원청,2016-08-12,2018-07-12,29561,2020-03-20,7001220,한국교원대학교
Z000200168,태화다운학교군,0,31,110,7480000,울산광역시교육청,7491000,울산광역시강북교육지원청,2016-08-12,2018-07-12,29562,2020-03-20,7001220,한국교원대학교
Z000210186,7학교군진서중학구공동학구,1,48,170,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2018-10-19,2018-10-19,29563,2020-03-20,7001220,한국교원대학교
Z000210187,문산중학구진주동중학구공동학구,1,48,170,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2018-10-19,2018-10-19,29564,2020-03-20,7001220,한국교원대학교
Z000200485,대관령중학구,0,42,760,7800000,강원도교육청,7911000,강원도평창교육지원청,2016-08-12,2018-11-05,29565,2020-03-20,7001220,한국교원대학교
Z000201396,다산진건중학구,0,41,360,7530000,경기도교육청,7652000,경기도구리남양주교육지원청,2018-11-11,2018-11-11,29566,2020-03-20,7001220,한국교원대학교
Z000200632,영인중학구,0,44,200,8140000,충청남도교육청,8181000,충청남도아산교육지원청,2016-08-12,2018-11-22,29567,2020-03-20,7001220,한국교원대학교
Z000200420,춘천시학교군,0,42,110,7800000,강원도교육청,7811000,강원도춘천교육지원청,2016-08-12,2018-12-03,29569,2020-03-20,7001220,한국교원대학교
Z000200415,광판중학구,0,42,720,7800000,강원도교육청,7811000,강원도춘천교육지원청,2016-08-12,2018-12-03,29571,2020-03-20,7001220,한국교원대학교
Z000210085,예천중풍천중자유학구,1,47,900,8750000,경상북도교육청,8791000,경상북도안동교육지원청,2016-08-12,2018-12-03,29572,2020-03-20,7001220,한국교원대학교
Z000210188,춘천시학교군두촌중학구공동학구,1,42,110,7800000,강원도교육청,7811000,강원도춘천교육지원청,2018-12-03,2018-12-03,29568,2020-03-20,7001220,한국교원대학교
Z000210189,광판중학구홍천중학구공동학구,1,42,720,7800000,강원도교육청,7811000,강원도춘천교육지원청,2018-12-03,2018-12-03,29570,2020-03-20,7001220,한국교원대학교
Z000201179,예천중학구,0,47,900,8750000,경상북도교육청,8951000,경상북도예천교육지원청,2016-08-12,2018-12-03,29573,2020-03-20,7001220,한국교원대학교
Z000200759,운봉중학구,0,45,190,8320000,전라북도교육청,8371000,전라북도남원교육지원청,2016-08-12,2019-01-31,29574,2020-03-20,7001220,한국교원대학교
Z000200751,남원시학교군,0,45,190,8320000,전라북도교육청,8371000,전라북도남원교육지원청,2016-08-12,2019-01-31,29575,2020-03-20,7001220,한국교원대학교
Z000210153,구미인덕중산동중자유학구,1,47,190,8750000,경상북도교육청,8801000,경상북도구미교육지원청,2017-01-09,2019-01-11,29576,2020-03-20,7001220,한국교원대학교
Z000201397,새너울중학구,0,43,740,8000000,충청북도교육청,8071000,충청북도영동교육지원청,2019-02-20,2019-02-21,29577,2020-03-20,7001220,한국교원대학교
Z000210055,새너울중학구옥천중학구공동학구,1,43,730,8000000,충청북도교육청,8071000,충청북도영동교육지원청,2016-08-12,2019-02-21,29578,2020-03-20,7001220,한국교원대학교
