시도명,시군구명,지반침하지역상세,위도,경도,발생일자,발생규모면적,발생규모연장,발생규모깊이,발생지역지질종류,최초발생원인,피해사망자수,피해부상자수,피해차량대수,복구상태,복구방법,복구비용,복구완료일자,데이터기준일자,제공기관코드,제공기관명
충청북도,청주시,옥산면 신촌길 71-1,36.654648,127.2843587,2016-07-05,2,3,2,,하수관 손상,0,0,1,복구완료,하수관복구 후 되메우기,,2016-08-06,2018-08-01,5710000,충청북도 청주시
충청북도,청주시,수곡동 53-18번지 앞,36.6168518,127.4858747,2016-07-05,1,1,0.5,,하수맨홀파손,0,0,,복구완료,맨홀 복구 후 되메우기,,2016-07-08,2018-08-01,5710000,충청북도 청주시
경기도,의정부시,가능동 586-17번지,37.742882,127.022197,2018-03-09,1,1,2,,하수관 파손,0,0,0,복구완료,,,2018-03-31,2019-12-01,3820000,경기도 의정부시
경기도,의정부시,신곡동 118번지,37.746349,127.066729,2018-03-13,1,1,1,,맨홀접속부 파손,0,0,0,복구완료,,,2018-03-16,2019-12-01,3820000,경기도 의정부시
경기도,의정부시,호원동 444-5번지,37.716374,127.048507,2018-04-10,1,1,2,,하수관 파손,0,0,0,복구완료,,,2018-04-10,2019-12-01,3820000,경기도 의정부시
경기도,의정부시,녹양동 352번지,37.757438,127.034017,2018-04-16,1,1,1.5,,맨홀접속부 파손,0,0,0,복구완료,,,2018-04-21,2019-12-01,3820000,경기도 의정부시
경기도,의정부시,금오동 88-9번지,37.757491,127.078347,2018-04-24,1,1,2,,하수관 파손,0,0,0,복구완료,,,2018-04-27,2019-12-01,3820000,경기도 의정부시
충청북도,충주시,대현5길23,36.984226,127.924483,2018-06-19,0.5,0.5,0.5,,우수관 이음부 불량,0,0,0,복구완료,오수관로 점검 조사 및 보수(포장),,2018-06-29,2019-11-11,4390000,충청북도 충주시
충청북도,충주시,동수10길26,36.984782,127.933572,2018-06-24,1.2,1.2,2,,우수관 파손,0,0,0,복구완료,우수관로 점검 조사 및 보수(포장),,2018-07-02,2019-11-11,4390000,충청북도 충주시
울산광역시,중구,울산축협 명륜지점 앞,35.558069,129.311898,2014-08-19,,1.5,1,,관로파손,0,0,0,복구완료,관로보수,,,2020-03-25,6310000,울산광역시
울산광역시,울주군,덕신리 금솔주유소 앞,35.429874,129.307099,2014-09-01,,1.2,1,,관로파손,0,0,0,복구완료,관로보수,,,2020-03-25,6310000,울산광역시
울산광역시,남구,신정동 계단사 앞,35.540002,129.312111,2014-12-09,,1,0.5,,관로파손,0,0,0,복구완료,관로보수,,,2020-03-25,6310000,울산광역시
울산광역시,동구,화정동 방어진농협(화정지점) 앞,35.497196,129.426393,2015-05-03,,1,0.5,,관로파손,0,0,0,복구완료,관로보수,,,2020-03-25,6310000,울산광역시
울산광역시,중구,명정5길 7(태화동),35.553568,129.288913,2015-07-07,,0.3,0.5,,관로파손,0,0,0,복구완료,관로보수,,,2020-03-25,6310000,울산광역시
울산광역시,남구,삼산동 1488-17번지,35.548189,129.330001,2017-04-23,,2,1,,노후 하수관 파손으로 인한 토사유실,0,0,0,복구완료,침하 발견 즉시 파손부분 긴급복구 완료/ 노후관로 교체공사,,2017-04-23,2020-03-25,6310000,울산광역시
울산광역시,남구,용연사거리,35.469121,129.359966,2016-10-28,,1.5,1,,관로파손,0,0,0,복구완료,관로보수,,,2020-03-25,6310000,울산광역시
울산광역시,남구,삼산로 편안한 치과의원 일원,35.532926,129.309982,2016-09-09,,2,0.5,,관로파손,0,0,0,복구완료,관로보수,,,2020-03-25,6310000,울산광역시
울산광역시,동구,오지벌 사거리 일원,35.513278,129.431109,2016-08-31,,2,0.5,,관로파손,0,0,0,복구완료,관로보수,,,2020-03-25,6310000,울산광역시
울산광역시,북구,무룡로 동남정비공업사 앞,35.580921,129.363751,2016-08-14,,1,0.2,,인접부 지반공사로 인한 침하,0,0,0,복구완료,토사 되메우기,,,2020-03-25,6310000,울산광역시
울산광역시,동구,동부경찰서 앞 삼거리,35.508637,129.430173,2016-08-08,,0.5,0.5,,상수관 누수로 인한 지반침하 발생,0,0,0,복구완료,관로보수,,,2020-03-25,6310000,울산광역시
울산광역시,남구,무거동 대학로(신복R⇒울산대 100m지점),35.548984,129.262835,2016-08-07,,1.5,0.14,,관로파손,0,0,0,복구완료,관로보수,,,2020-03-25,6310000,울산광역시
울산광역시,중구,병영성길 8,35.574803,129.340588,2016-06-24,,0.5,0.8,,관로파손,0,0,0,복구완료,보수보강,,,2020-03-25,6310000,울산광역시
울산광역시,남구,번영로 남단 접속도로,35.548028,129.323441,2016-03-23,,30,0.1,,지하터파기 중 지하수 유출,0,0,0,복구완료,보수보강,,,2020-03-25,6310000,울산광역시
울산광역시,중구,유곡로 27,35.556540,129.306660,2016-02-18,,0.5,0.8,,관로파손,0,0,0,복구완료,관로보수,,,2020-03-25,6310000,울산광역시
울산광역시,남구,삼산중로 13 GS편의점 앞,35.535138,129.336532,2015-12-03,,1,1.8,,관로파손,0,0,0,복구완료,관로보수,,,2020-03-25,6310000,울산광역시
울산광역시,중구,남외로 85-14(남외동),35.567776,129.345417,2015-09-01,,0.2,0.1,,관로파손,0,0,0,복구완료,관로보수,,,2020-03-25,6310000,울산광역시
충청북도,충주시,신촌3길38,36.959337,127.929588,2018-06-28,0.2,0.2,0.2,,오수관 접합부 불량,0,0,0,복구완료,오수관로 점검 조사 및 보수(포장),,2018-06-28,2019-11-11,4390000,충청북도 충주시
충청북도,충주시,대원9길27,36.985094,127.920793,2018-06-21,0.5,3,0.7,,우수관 이음부 불량,0,0,0,복구완료,우수관로 점검 조사 및 보수(포장),,2018-06-25,2019-11-11,4390000,충청북도 충주시
