치매센터명,치매센터유형,소재지도로명주소,소재지지번주소,위도,경도,설립년월,건축물면적,부대시설정보,의사인원수,간호사인원수,사회복지사인원수,기타인원현황,운영기관명,운영기관대표자명,운영기관전화번호,운영위탁일자,주요치매관리프로그램소개,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
의령군보건소 치매안심센터,치매안심센터,경상남도 의령군 의병로 8길 16-1,경상남도 의령군 의령읍 서동리 534,35.3178189176,128.2547694863,2019-07,838.18,"사무실, 상담실, 검진실, 진료실, 쉼터, 프로그램실",1,10,1,3,의령군보건소,성미자,055-570-4072,,"치매안심센터 운영, 치매조기 검진사업, 치매 등록관리, 치매 치료관리비 지원사업, 인지재활 프로그램 운영 등",055-570-4072,의령군보건소,2020-04-08,5390000,경상남도 의령군
거제시 치매안심센터,치매안심센터,경상남도 거제시 거제중앙로 13길 25,"경상남도 거제시 고현동 159-11, 12",34.8821847210,128.6236992013,2018-12,959.22,,1,18,2,1,거제시보건소,정기만,055-639-6226,,치매환자 등록 및 관리/ 치매조기검진 / 치매예방교육 및 인식개선/ 치매가족교육 및 자조모임/쉼터프로그램운영,055-639-6200,경상남도 거제시 보건소,2019-12-27,5370000,경상남도 거제시
양평군치매안심센터,치매안심센터,경기도 양평군 양평읍 중앙로111번길 34,경기도 양평군 양평읍 공흥리 310-1,37.4965276996,127.5047029501,2011-02,251,사무실(1)+상담실(1)+프로그램실(1)+교육실(1)+기타(1),1,5,5,작업치료사(3)+운전기사(4),한양대학교 산학협력단,노성원,031-771-5773,2011-02-01,"치매예방관리사업,치매등록관리사업,치매지역사회기반강화",031-770-3534,경기도 양평군보건소,2020-02-14,4170000,경기도 양평군
금산군치매안심센터,치매안심센터,충청남도 금산군 금산읍 비범1길5,충청남도 금산군 금산읍 중도리 214-3,36.1095223,127.4934473,2017-12,419,"치매인지프로그램실, 프로그램실, 검진실, 상담실 등",2,8,5,2,금산군보건소,이화영,041-750-4174,,"치매조기검진, 예방등록관리, 치매인식개선, 지역사회역량강화",041-750-4171,금산군,2020-04-30,6440000,충청남도
부여군치매안심센터,치매안심센터,충청남도 부여군 부여읍 성왕로 205,충청남도 부여군 부여읍 구아리 136,36.28305222,126.909337,2018-06,500,"사무실, 치매인지프로그램실 3, 검진실, 상담실, 가족카페 등",1,10,3,2,부여군보건소,김갑수,041-830-8727,,"치매조기검진, 예방등록관리, 치매인식개선, 지역사회역량강화",041-830-8600,부여군,2020-04-30,6440000,충청남도
서천군치매안심센터,치매안심센터,충청남도 서천군 서천읍 사곡길 20-2,충청남도 서천군 서천읍 군사리 803,36.0817134,126.6887404,2019-12,906,"강당, 프로그램실, 가족카페, 상담실, 인지강화실 등",2,10,2,3,서천군보건소,김재연,041-950-6732,,"치매조기검진, 예방등록관리, 치매인식개선, 지역사회역량강화",041-950-6732,서천군,2020-04-30,6440000,충청남도
청양군치매안심센터,치매안심센터,충청남도 청양군 청양읍 칠갑산로 7길54,충청남도 청양군 청양읍 읍내리 261-1,36.45501978,126.8049372,2017-12,995,"프로그램실,회의실 상담실, 검진실,쉼터, 휴게실(카페) 등",1,6,2,2,청양군보건의료원,김상경,041-940-4550,,"치매조기검진, 예방등록관리, 치매인식개선, 지역사회역량강화",041-940-4550,청양군,2020-04-30,6440000,충청남도
홍성군매안심센터,치매안심센터,충청남도 홍성군 홍성읍 문화로 106,충청남도 홍성군 홍성읍 오관리 474-7,36.59664192,126.6630613,2018-10,498,"치매인지프로그램실, 교육실, 검진실, 상담실 등",1,18,2,7,홍성군보건소,조용희,041-630-9076,,"치매조기검진, 예방등록관리, 치매인식개선, 지역사회역량강화",041-630-9076,홍성군,2020-04-30,6440000,충청남도
예산군치매안심센터,치매안심센터,"충청남도 예산군 예산읍 군청로22, 예산군보건소 5층",충청남도 예산군 예산읍 예산리 777,36.68088054,126.8448507,2018-11,427.55,"가족카페, 교육실, 치매프로그램실, 검진실, 상담실 등",2,12,1,4,예산군보건소,최승묵,041-339-6121,,"치매조기검진, 예방등록관리, 치매인식개선, 지역사회역량강화",041-339-7114,예산군,2020-04-30,6440000,충청남도
태안군치매안심센터,치매안심센터,충청남도 태안군 태안읍 서해로1952-16,충청남도 태안군 태안읍 평천리 681,36.7518786,126.3231987,2017-12,330,"인지프로그램실, 상담실, 검진실 , 카페, 쉼터 등",1,11,2,3,태안군보건소,허종일,341-371-5262,,"치매조기검진, 예방등록관리, 치매인식개선, 지역사회역량강화",041-000-0000,태안군,2020-04-30,6440000,충청남도
의정부시보건소 치매상담센터,치매안심센터,경기도 의정부시 범골로 128 다다원빌딩 3층,경기도 의정부시 의정부동 551-1 다다원빌딩 3층 치매상담센터,37.7354963,127.0396299,2007-08,,,0,3,2,,의정부시보건소,전광용,031-828-4862,,"무료치매선별검사, 치매상담,치매에방교육, 재가치매환자 조호물품 지원, 치매치료관리비 지원, 인지재활 프로그램운영, 치매 극복의 날 기념행사 등",,의정부시보건소,2019-10-03,3820000,경기도 의정부시
영통구치매안심센터,치매안심센터,"경기도 수원시 영통구 영통로 396, 영통구보건소 5층",경기도 수원시 영통구 영통동 961-18,37.2568819035,127.0697092377,2018-01,440.78,사무실(2)+프로그램실(3)+상담실(4)+휴게실(1),0,11,4,3,영통구보건소,심평수,031-228-8447,,"무료치매검진, 치매치료관리비지원, 인지프로그램운영, 치매가족지지프로그램 운영, 치매인식개선 및 홍보 등",031-228-8792,수원시 영통구보건소,2020-04-16,3740000,경기도 수원시
장안구치매안심센터,치매안심센터,"경기도 수원시 장안구 송원로 101, (조원동)",경기도 수원시 장안구 조원동 888,37.3033812651,127.0096236295,2018-10,482,사무실(2)+프로그램실(4)+상담검진실(3)+진료실(1)+가족카페(1),0,13,3,2,장안구보건소,최혜옥,031-228-5952,,"치매조기검진, 치매치료관리비지원, 인지프로그램운영, 치매가족지지프로그램 운영 등",031-228-5952,수원시 장안구보건소,2020-04-16,3740000,경기도 수원시
권선구치매안심센터,치매안심센터,경기도 수원시 권선구 호매실로 22-50(탑동),경기도 수원시 권선구 탑동 910,37.2587442401,126.9711281201,2019-07,498,사무실(1)+프로그램실(3)+상담검진실(3)+가족카페(1),0,11,3,3,권선구보건소,권용찬,031-228-6957,,"무료치매검진, 치매치료관리비지원, 인지프로그램운영, 치매가족지지프로그램 운영, 치매인식개선 및 홍보 등",031-228-6957,수원시 권선구보건소,2020-04-16,3740000,경기도 수원시
팔달구치매안심센터,치매안심센터,경기도 수원시 팔달구 팔달산로 6 (교동),경기도 수원시 팔달구 교동 56-1,37.2714330,127.0125194216,2017-12,388,검진실(1)+프로그램실(1)+가족카페(1),0,13,3,2,팔달구보건소,김순애,031-228-7579,,"무료치매검진, 치매치료관리비지원, 인지프로그램운영, 치매가족지지프로그램 운영 등",031-228-7579,수원시 팔달구보건소,2020-04-16,3740000,경기도 수원시
부산진구치매안심센터,치매안심센터,부산광역시 부산진구 새싹로253,부산광역시 부산진구 초읍동 278-8,35.178777,129.0475494346,2018-12,548.48,,1,12,6,2,부산진구청,서은숙,051-605-6107,,"치매조기검진, 치매대상자 등록관리, 치매치료관리비지원, 치매인식개선 및 홍보 등",051-605-6107,부산진구보건소,2020-04-09,3290000,부산광역시 부산진구
파주시 치매안심센터,치매안심센터,경기도 파주시 조리읍 봉천로 68(건강증진센터 3층),경기도 파주시 조리읍 봉일천리 188-9,37.745044,126.805009715,2018-05,356.42,"사무실(1), 프로그램실(1), 다목적홀(1), 상담실(2), 센터장실(진단검사실)(1), 가족카페(1)",1,9,4,"작업치료사 (3), 기타(2)",파주시 보건소,파주시보건소장(김규일),031-940-5740,,"치매조기검진사업, 치매인식개선 및 예방사업, 치매환자가족(헤아림)교육 및 지지프로그램 운영, 쉼터 운영사업,치매치료비지원사업, 치매파트너 모집, 치매환자 배회인식표제공, 지문등록, 치매안심공동체 운영, 사례관리,치매환자 인지재활 프로그램",031-940-5740,파주시 보건소,2019-03-11,4060000,경기도 파주시
안성시 치매안심센터,치매안심센터,경기도 안성시 강변로 74번길 18,"경기도 안성시 도기동 68-1, 안성시보건소",37.0001476,127.2698156,2018-12,792.07,"사무실(1), 상담교육실(1), 치매쉼터(4), 가족카페(4), 프로그램실(2)",0,7,5,9,안성시 보건소,박창양,031-678-3003,,"치매조기검진 및 환자등록, 맞춤형 사례관리, 치매쉼터 운영, 치매예방교실, 가족교육, 치매치료관리비지원, 실종예방 지문인식 및 배회인식표발급,  등",031-678-3002,경기도 안성시,2020-03-19,4080000,경기도 안성시
연제구치매상담센터,치매안심센터,부산광역시 연제구 거제시장로22번길 70(거제동),부산광역시 연제구 거제동 558-3,35.1840299,129.0730754962,2018-11,469.63,"상담실, 보담실, 소담실, 검진실, 쉼터",0,11,2,5,연제구보건소,사공필용,051-665-4832,,"치매조기검진, 치매환자등록관리, 치매치료관리비 지원, 환자,가족프로그램 운영",051-665-4830,연제구보건소,2020-02-14,3370000,부산광역시 연제구
인제군치매안심센터,치매안심센터,강원도 인제군 인제읍 인제로140번길 34,강원도 인제군 인제읍 남북리 789-1,38.0632770593,128.1685854173,2019-12,719.3,"사무실(2)+치매환자쉼터(1)+가족카페(1)+교육실(2)+검진,상담실(1), 창고",1,4,4,행정(3)+작업치료사(1),직영,유석민,033-460-2405,,"무료치매검사,경증치매환자단기쉼터운영, 인지재활프로그램, 65세이상 치매예방교실, 치매인식개선, 기타 치매환자 조호물품, 치매치료관리지지원등",,강원도 인제군청,2020-06-23,4330000,강원도 인제군
경주시 치매상담센터,치매안심센터,경상북도 경주시 봉황로 178,경상북도 경주시 성건동 620-83,35.85535748,129.2105107435,2017-12,633,"상담실1,검진실1,치매카페,다목적실,교육장,체력측정실,자원봉사자실,사무실",0,16,2,6,경주시보건소,경주시보건소장(김장희),054-760-2950,,"치매조기검진, 치매치료비지원, 치매쉼터운영, 치매가족프로그램 운영, 치매예방교육 및 상담",054-779-8659,경상북도 경주시청,2020-06-24,5050000,경상북도 경주시
거창군치매안심센터,치매안심센터,경상남도 거창군 거창읍 거함대로 3079,경상남도 거창군 거창읍 송정리 332-3,35.6809363016,127.8987273799,2018-12,,,1,8,4,1,경상남도 거창군보건소,조춘화,055-940-7912,,"치매환자 등록 관리, 치매치료비 지원, 치매환자 조호물품지원, 노인성질환자 위생용품 지원, 치매 실종예방 배회감지기 지원, 치매조기검진, 치매안심프로그램 운영, 치매파트너 양성, 치매극복선도기관 지정, 치매예방교육 등",055-940-7912,경상남도 거창군보건소,2019-08-23,5470000,경상남도 거창군
부안군 치매센터,치매안심센터,전라북도 부안군 부안읍 오리정로 124,,35.72283463,126.7355916,2019-06,214.98,사무실(1)+프로그램실(1)+쉼터(1)+검진실(2)+상담실(1),0,7,3,심리상담사(1)+작업치료사(1),부안군 보건소,박현자,063-580-3066,,"무료치매검사, 진단검사 치매극복의 날 기념행사, 쉼터 운영등",,부안군청,2020-06-25,4790000,전라북도 부안군
태안군치매안심센터,치매안심센터,충청남도 태안군 태안읍 서해로 1952-16,충청남도 태안군 태안읍 평천리 698-6,36.7518786038,126.3231987083,2018-06,330,"프로그램실, 가족카페, 사무실, 검진실,대기실",1,4,2,1,태안군,허종일,041-671-5228,2018-06-01,"치매환자 등록관리, 조호물품 지원, 치료관리비 지원,쉼터프로그램 운영, 조기검진, 치매예방 교육 등",041-671-5262,태안군 보건의료원,2020-06-23,4620000,충청남도 태안군
대전광역시 대덕구 치매안심센터,치매안심센터,"대전광역시 대덕구 동춘당로 187, 3층","대전광역시 대덕구 법동 192-1, 3층",36.367296,127.430828,2018-07,,"로비, 사무실, 교육·상담실, 검진실, 프로그램실(2), 가족카페",1,10,1,3,대전광역시 대덕구보건소,김주연,042-608-5499,,"치매환자 등록 관리, 가족교육, 예방교육, 치매검사, 인지훈련 등",042-608-6114,대전광역시 대덕구,2020-04-09,3680000,대전광역시 대덕구
서산시치매안심센터,치매안심센터,충청남도 서산시 호수공원 6로 6,충청남도 서산시 예천동 496-1,36.77457668,126.4445156,2018-08,350,"쉼터, 까페, 상담실, 진단검사실, 사무실",1,6,4,5,서산시보건소,송기력,041-661-6592,,"치매조기검진, 예방등록관리, 치매인식개선, 지역사회역량강화, 프로그램 운영",041-661-6598,서산시,2020-04-30,6440000,충청남도
논산시치매안심센터,치매안심센터,충청남도 논산시 논산대로 382,충청남도 논산시 관촉동 327-2,36.19607621,127.1035668,2018-11,730.27,"상담실,검진실,쉼터,가족카페 등",1,14,2,4,논산시보건소,김연안,041-746-6937,,"치매조기검진, 예방등록관리, 치매인식개선, 지역사회역량강화",041-746-6921,논산시,2020-04-30,6440000,충청남도
계룡시치매안심센터,치매안심센터,충청남도 계룡시 장안로 54,충청남도 계룡시 금암동 10-5,36.27307428,127.2500604,2019-10,396,"사무실, 검진실, 상담실, 쉼터 및 가족카페 등",1,3,1,4,계룡시보건소,임채희,042-840-3681,,"치매조기검진, 예방등록관리, 치매인식개선, 지역사회역량강화",042-840-3681,계룡시,2020-04-30,6440000,충청남도
당진시치매안심센터,치매안심센터,충청남도 당진시 서부로 56,충청남도 당진시 채운동 1040,36.88740257,126.6300054,2018-12,600,"치매인지프로그램실, 교육실, 검진실, 상담실, 카페 등",1,10,4,4,당진시보건소,이인숙,041-360-6711,,"치매조기검진, 예방등록관리, 치매인식개선, 지역사회역량강화",041-360-6711,당진시,2020-04-30,6440000,충청남도
마포구치매지원센터,치매안심센터,서울특별시 마포구 대흥로 122,서울특별시 마포구 대흥동 38-22,37.5503486,126.944249,2007-07,624,진료실 검진실 프로그램실 사무실 강당,1,7,3,2,가톨릭대학교서울성모병원,양동원,3272-1578,2018-01-01,치매예방및인식개선사업 치매조기검진사업 치매예방등록관리사업 치매치료비및원인확진검사비지원,3153-9062,마포구보건소지역보건과,2018-08-13,3130000,서울특별시 마포구
영월군 치매안심센터,치매안심센터,강원도 영월군 영월읍 하송로 46-43,,37.185814,128.461674,2018-08,462,사무실+진료실+검진실+상담실+교육실+쉼터(프로그램실)+카페,1,5,2,작업치료사(2),영월군보건소,손영희,033-370-2556,,"인지재활프로그램, 가족교실운영(헤아림)",033-370-2556,영월군청,2018-08-26,4270000,강원도 영월군
화천군정신건강증진센터,치매안심센터,강원도 화천군 화천읍 강변로 111,강원도 화천군 화천읍 중리 242-4,38.107546,127.709121,2018-01,86.92,사무실+교육실1,0,2,0,0,화천군보건의료원,김진백,033-442-4424,,"치매검사, 원격진료, 주간재활프로그램 운영",033-442-4424,강원도 화천군청,2018-08-10,4310000,강원도 화천군
장흥군보건소 치매안심센터,치매안심센터,전라남도 장흥군 장흥읍 동교1길 13,,34.6770039,126.907038,2018-12,,"사무실, 상담실, 검진실, 프로그램실, 치매카페, 쉼터",1,4,1,1(작업치료사),장흥군보건소,김규중,061-860-0541,,"치매예방 및 인식개선(교육, 홍보, 선도기관, 파트너양성)치매조기검진(선별, 진단,정밀)치매예방등록사업(상담 및 사례관리, 환자 및 가족 지원, 인지강화 프로그램, 에방교실), 치매안심마을 운영, 치매쉼터, 치매실종예방사업, 치매치료비 지원, 치매조호물품지원,치매지역사회 지원강화, 치매통합관리 정보시스템 구축 운영",061-860-0549,장흥군보건소,2019-06-25,4910000,전라남도 장흥군
경기도 송탄보건소,치매안심센터,경기도 평택시 경기대로 1366,경기도 평택시 서정동 800,37.0658098486,127.065044,2017-12,778,"사무실(2),프로그램실(6)",0,6,0,,경기도 평택시청 송탄보건소,송탄보건소장,031-8024-7300,,"치매조기검사사업, 치매예방교육 및 인지재활, 가족프로그램 운영 등",031-8024-7300,경기도 평택시청 송탄보건소,2019-09-25,3910000,경기도 평택시
치매안심센터,치매안심센터,경상남도 진주시 월아산로 983 1층,,35.159108927,128.163615211,2018-11,,,3,22,1,,진주시보건소,황혜경,055-749-5778,,"치매선별 및 진단검사,치매안심센터 쉼터운영, 치매극복의 날 행사, 치매파트너, 파트너플러스, 치매안심마을 운영",,진주시보건소,2020-06-30,5310000,경상남도 진주시
부산광역시 해운대구,치매안심센터,부산광역시 해운대구 양운로 37번길 59,부산광역시 해운대구 좌동 1339,35.16410942,129.1786558,2017-05,630,주차장등,3,9,4,4,해운대구치매안심센터,조봉수,051-749-0770,,"치매조기검진(선별,정밀)치매환자 상담 및 등록관리조호물품지원치매치료비지원치매환자 공공후견인지원치매예방교실인지강화교실(두근두근뇌운동)인지재활교실 가족교실(헤아림)가족모임지원 등",051-749-7572,해운대구보건소,2020-06-23,3330000,부산광역시 해운대구
강릉시치매안심센터,치매안심센터,강원도 강릉시 남부로17번길 38,강원도 강릉시 내곡동 413,37.74281029,128.8827502,2019-12,3602.26,"사무실, 검진실, 상담실, 쉼터, 가족카페, 프로그램실",2,12,3,3,강릉시보건소,이기영,033-660-3081,,"등록관리, 조기검진, 예방관리, 가족지원, 인식개선 및 홍보",033-660-3081,강릉시보건소,2020-06-17,4200000,강원도 강릉시
관악구치매안심센터,치매안심센터,"서울특별시 관악구 관악로 145, 3동3층",서울특별시 관악구 봉천동 1570-1,37.4782097744,126.9515031667,2008-11,495.73,"사무실(1), 상담실(2)+진료실(1)+프로그램실(3)+가족카페(1), 기타(난곡치매안심분소)",3,8,3,작업치료사(3),서울특별시 관악구보건소,최정화,02-879-4910,,"치매조기검진, 치매예방 및 등록관리,  저소득층 치매의료비 지원, 실종예방서비스 지원,  인지건강센터 및 치매환자 쉼터 운영,  치매환자 가족교육 및 가족모임 운영",02-879-7184,서울특별시 관악구보건소,2020-06-03,3200000,서울특별시 관악구
괴산군치매안심센터,치매안심센터,충청북도 괴산군 괴산읍 동진천길 43,충청북도 괴산군 괴산읍 동부리 661-75,36.8079987446,127.7966048,2018-12,,,0,2,1,2,괴산군치매안심센터,이영남,043-830-2365,,"치매선별검사, 치매진단검사, 가족교실, 인지교실 등",043-830-2350,괴산군보건소,2020-06-29,4460000,충청북도 괴산군
영천시치매안심센터,치매안심센터,경상북도 영천시 옛군청 1길 31,경상북도 영천시 문내동 152-1,35.96827319,128.9322092,2018-11,614.39,"사무실, 진료실, 검진실, 상담실, 카페, 프로그램실",2,10,2,5,영천시보건소,최수영,054-339-7817,,"치매선별검사, 치매예방홍보, 치매서포터즈운영, 치매진단검사, 인지재활프로그램 운영, 치매치료관리비 지원, 치매대상자 사례관리, 치매대상자 실종예방 배회인식표 발급 및 지문등록",054-339-7817,영천시보건소,2020-06-29,5100000,경상북도 영천시
예산군 치매안심센터,치매안심센터,충청남도 예산군 예산읍 군청로 22,충청남도 예산군 예산읍 예산리 777,36.68088054,126.8448507,2020-12,427.55,보건소장,2,12,1,5,예산군보건소,최승묵,041-339-6140,,인지재활,041-339-6140,보건소치매관리팀,2020-06-26,4610000,충청남도 예산군
충주시치매안심센터,치매안심센터,충청북도 충주시 사직산21길 34,충청북도 충주시 문화동1655,36.9711203040,127.9284012370,2019-12,619.86,사무실(1)+교육실(3)+가족카페(1)+검사실(3),0,8,5,작업치료사(1)+기타(4),충주시보건소,이승희,043-850-1780,,"치매조기검진,맞춤형사례관리,치매환자쉼터운영,가족교실운영,치매예방프로그램운영",043-850-1780,충청북도 충주시청,2020-06-30,4390000,충청북도 충주시
치매안심센터,치매안심센터,"서울특별시 중구 청구로 8길 22 지상2층, 지상3층",서울특별시 중구 신당동 304-738,37.5610528,127.011486,2017-06,576,"상담실(1), 프로그램실(1), 진료실(1), 강당(1)",1,7,3,작업치료사(2),국립중앙의료원,이종윤,02-2238-3400,2017-06-01,"치매선별검진, 치매치료비지원, 치매등록관리, 치매가족모임, 인지건강프로그램",02-3396-6373,서울특별시 중구청,2019-02-25,3010000,서울특별시 중구
광진구치매안심센터,치매안심센터,서울특별시 광진구 긴고랑로 110 중곡종합건강센터 3층,서울특별시 광진구 중곡동 125-11 중곡종합건강센터 3층,37.55933917,127.0870892,2019-02,328.43,"상담실(2), 진료실(1), 센터장실(1), 탕비실(1),교육실(1), 인지프로그램실(1), 화장실2(장애인용1)",1,8,3,4,건국대학교병원,문연실,02-450-1381,2009-02-01,"무료치매검사, 인지프로그램운영 등",02-450-1966,서울특별시 광진구보건소,2019-02-28,3040000,서울특별시 광진구
여수시치매안심센터,치매안심센터,전라남도 여수시 동문로 102 (공화동),전라남도 여수시 공화동 1047,34.7454779,127.742859,2017-11,237,사무실(1)+검진실(1)+상담실(1)+프로그램실(1),2,18,3,작업치료사(1)+방사선사(1)+기타(2),여수시 보건소,보건소장 장기생,061-659-5440,,치매선별검사(MMSE-DS)+치매조기검진비 지원+치매치료관리비 지원+치매배회어르신 관리+치매파트너모집+인지재활프로그램,061-659-5440,전라남도 여수시 보건소,2019-02-22,4810000,전라남도 여수시
화성시치매안심센터,치매안심센터,경기도 화성시 향남읍 상신초교길 52,,37.09392501,126.9016764,2018-06,902.88,"쉼터,가족카페,검진실,의사실,교육실,사무실",2,18,3,3,화성시보건소,김장수,031-369-3561,,"치매조기검진사업, 치매인식개선 및 예방사업, 가족교육사업, 쉼터 운영사업",,화성시치매안심센터,2018-08-13,5530000,경기도 화성시
