허가구역명,장소유형,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,푸드트럭운영대수,허가구역사용료,허가구역운영시작일자,허가구역운영종료일자,허가구역휴무일,허가구역평일운영시작시각,허가구역평일운영종료시각,허가구역주말운영시작시각,허가구역주말운영종료시각,1월운영시작시각,1월운영종료시각,2월운영시작시각,2월운영종료시각,3월운영시작시각,3월운영종료시각,4월운영시작시각,4월운영종료시각,5월운영시작시각,5월운영종료시각,6월운영시작시각,6월운영종료시각,7월운영시작시각,7월운영종료시각,8월운영시작시각,8월운영종료시각,9월운영시작시각,9월운영종료시각,10월운영시작시각,10월운영종료시각,11월운영시작시각,11월운영종료시각,12월운영시작시각,12월운영종료시각,판매제한품목,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
완산쳬련공원,03,13,전주시 완산구,전라북도 전주시 완산구 모악산자락길 22(중인동),전라북도 전주시 완산구 중인동 361-1,35.7674452,127.1015490,1,"월 55,000원",2018-10-15,2019-10-14,연중무휴,10:00,18:00,08:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,전라북도 전주시시설관리공단 공원운영부,063-239-2568,2019-08-30,4640000,전라북도 전주시
이월드,1,대구광역시,달서구,"대구광역시 달서구 두류공원로 200, 부메랑스낵 옆 (두류동)",대구광역시 달서구 두류동 산302-11,35.85485186,128.5648168,1,이월드 자체운영,2020-01-02,2020-12-31,연중무휴,10:00,22:00,10:00,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,달서구청,053-667-3761,2020-07-14,3470000,대구광역시 달서구
이월드,1,대구광역시,달서구,"대구광역시 달서구 두류공원로 200, 부메랑스낵 옆 (두류동)",대구광역시 달서구 두류동 산302-11,35.85485186,128.5648168,1,이월드 자체운영,2020-01-02,2020-12-31,연중무휴,10:00,22:00,10:00,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,달서구청,053-667-3761,2020-07-14,3470000,대구광역시 달서구
여주종합운동장,03,경기도,여주시,경기도 여주시 영릉로 123,경기도 여주시 월송동 1,37.2932681617,127.6244654221,1,0,2016-04-01,2019-03-31,연중무휴,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,여주시,031-887-2654,2020-07-17,5700000,경기도 여주시
여주프리미엄아울렛,99,경기도,여주시,경기도 여주시 명품로 360,경기도 여주시 상거동 460,37.2459480522,127.6123847586,10,0,2018-06-01,2018-08-31,계약일,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,여주시,031-887-2654,2020-07-17,5700000,경기도 여주시
375st 여주아울렛,99,경기도,여주시,경기도 여주시 명품로 308-19,경기도 여주시 상거동 375-63,37.2430186886,127.6164003230,3,0,2018-07-21,2018-08-26,연중무휴,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,여주시,031-887-2654,2020-07-17,5700000,경기도 여주시
우포늪생태공원,2,경상남도,창녕군,,경상남도 창녕군 유어면 세진리 251-1,35.544126,128.417684,1,0,2020-01-01,2020-12-31,없음,09:00,22:00,09:00,22:00,09:00,20:00,09:00,20:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,20:00,허가품목 외,창녕군청,055-530-1094,2020-07-17,5410000,경상남도 창녕군
남지읍수변생태공원,5,경상남도,창녕군,,경상남도 창녕군 남지읍 남지리 835-16,35.384883,128.474111,3,0,2020-01-01,2020-12-31,없음,09:00,22:00,09:00,22:00,09:00,20:00,09:00,20:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,20:00,허가품목 외,창녕군청,055-530-1094,2020-07-17,5410000,경상남도 창녕군
오송역(서광장),8,충청북도,청주시흥덕구,충청북도 청주시 흥덕구 오송읍 오송가락로 123 (오송역 서광장),충청북도 청주시 흥덕구 오송읍 봉산리 370-31,36.62047366,127.3271421,1,월원,2016-10-07,2100-12-31,0,10:00,20:00,10:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,청주시흥덕구청,043-201-1972,2020-07-16,5710000,충청북도 청주시
청주시차량등록사업소,8,충청북도,청주시흥덕구,"충청북도 청주시 흥덕구 무심서로 857, 청주시차량등록사업소 1층 (신봉동)",충청북도 청주시 흥덕구 신봉동 491,36.6637458,127.4658131,1,"연210,000원",2018-03-01,2023-02-28,0,10:00,20:00,10:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,청주시흥덕구청,043-201-1972,2020-07-16,5710000,충청북도 청주시
