시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,횡단보도관리번호,횡단보도종류,자전거횡단도겸용여부,고원식적용여부,위도,경도,차로수,횡단보도폭,횡단보도연장,보행자신호등유무,보행자작동신호기유무,음향신호기설치여부,녹색신호시간,적색신호시간,교통섬유무,보도턱낮춤여부,점자블록유무,집중조명시설유무,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
4,남동구,만수로,,인천광역시 남동구 만수동 5-91,2,01,N,N,37.46195821,126.7356686,1,6,8,N,,,,,N,N,N,,인천광역시 남동구청,032-453-2684,2020-03-20,3530000,인천광역시 남동구
4,남동구,만수로111번길,,인천광역시 남동구 만수동 1-160,1,01,N,N,37.46502216,126.7382396,1,6,12,N,,,,,N,N,N,,인천광역시 남동구청,032-453-2684,2020-03-20,3530000,인천광역시 남동구
4,남동구,만수서로83번길,,인천광역시 남동구 만수동 5-213,7,01,N,N,37.46428223,126.7339226,2,5,5,N,,,,,N,Y,Y,,인천광역시 남동구청,032-453-2684,2020-03-20,3530000,인천광역시 남동구
4,남동구,만수서로83번길,,인천광역시 남동구 만수동 5-417,6,01,N,N,37.46445914,126.7336144,1,3,7,N,,,,,N,Y,Y,,인천광역시 남동구청,032-453-2684,2020-03-20,3530000,인천광역시 남동구
4,남동구,만수로,,인천광역시 남동구 만수동 5-305,5,01,N,N,37.46368175,126.7375952,1,6,9,N,,,,,N,Y,N,,인천광역시 남동구청,032-453-2684,2020-03-20,3530000,인천광역시 남동구
4,남동구,만수로,,인천광역시 남동구 만수동 5-305,4,01,N,N,37.46368175,126.7375952,1,5,8,N,,,,,N,N,N,,인천광역시 남동구청,032-453-2684,2020-03-20,3530000,인천광역시 남동구
4,남동구,만수로,,인천광역시 남동구 만수동 5-384,3,01,N,N,37.46328399,126.7366297,1,6,8,N,,,,,N,Y,Y,,인천광역시 남동구청,032-453-2684,2020-03-20,3530000,인천광역시 남동구
4,남동구,수현로,,인천광역시 남동구 장수동 379-1,32,01,N,N,37.46362033,126.7487757,4,8,12,N,,,,,N,Y,Y,,인천광역시 남동구청,032-453-2684,2020-03-20,3530000,인천광역시 남동구
4,남동구,만수서로105번길,,인천광역시 남동구 만수동 2-82,31,01,N,N,37.46498557,126.7398793,1,3,6,N,,,,,N,Y,Y,,인천광역시 남동구청,032-453-2684,2020-03-20,3530000,인천광역시 남동구
4,남동구,수현로136번길,,인천광역시 남동구 만수동 2-82,30,01,N,N,37.46498557,126.7398793,1,3,7,N,,,,,N,Y,Y,,인천광역시 남동구청,032-453-2684,2020-03-20,3530000,인천광역시 남동구
