휴게소명,도로종류,도로노선번호,도로노선명,도로노선방향,위도,경도,휴게소종류,휴게소운영시작시각,휴게소운영종료시각,도로점용면적,주차면수,경정비가능여부,주유소유무,LPG충전소유무,전기차충전소유무,버스환승가능여부,쉼터유무,화장실유무,약국유무,수유실유무,매점유무,음식점유무,기타편의시설,휴게소대표음식명,휴게소전화번호,데이터기준일자,제공기관코드,제공기관명
낙동강의성휴게소,고속국도,301,상주영천선,하행,36.343660,128.300492,일반휴게소,00:00,23:59,48351,266,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,샤워실+세탁실+ATM+기사식당,의성마늘돈까스,054-475-2975,2019-08-27,1611000,국토해양부
양평휴게소(하행),고속국도,52,광주원주선,하행,37.397226,127.726705,일반휴게소,00:00,23:59,34485,280,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,고객용PC+ATM+휴대폰충전기+하이패스무인충전기+프린터+ FAX,양평가마솥장터국밥+양평궁중비빔밥,031-8027-2172,2019-08-27,1611000,국토해양부
양평휴게소(상행),고속국도,52,광주원주선,상행,37.399238,127.723546,일반휴게소,00:00,23:59,34768,222,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,고객용PC+ATM+휴대폰충전기+하이패스무인충전기+프린터+ FAX,양평가마솥장터국밥+양평궁중비빔밥,031-8027-2191,2019-08-27,1611000,국토해양부
경기광주휴게소(하행),고속국도,52,광주원주선,하행,37.379740,127.436260,일반휴게소,00:00,23:59,38897,242,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,고객용PC+ATM+휴대폰충전기+하이패스무인충전기+프린터+ FAX,소불고기반상+갑오징어와제육불고기쌈밥,031-8027-3940,2019-08-27,1611000,국토해양부
경기광주휴게소(상행),고속국도,52,광주원주선,상행,37.380758,127.425385,일반휴게소,00:00,23:59,38613,252,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,고객용PC+ATM+휴대폰충전기+하이패스무인충전기+프린터+ FAX,소머리곰탕+교동짬뽕,031-8027-3945,2019-08-27,1611000,국토해양부
송산포도휴게소,고속국도,153,평택시흥선,양방향,37.234958,126.760237,일반휴게소,00:00,23:59,116726,586,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,"샤워실+세탁실+ATM+특산물+하이패스무인충전기+와이파이존+공기청정기+식권무인발매기+고객용PC 및 프린터, FAX, 핸드폰충전기+셀프코너(주유소)",송산이네 우리콩 된장찌개+송산포도호두과자,031-355-1564,2019-08-27,1611000,국토해양부
오산휴게소(하행),고속국도,400,수도권제2순환선(봉담-동탄),하행,37.175917,127.038088,일반휴게소,00:00,23:59,62167,244,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,ATM,곤드레돌솥비빔밥+짬뽕순두부찌개,031-370-5500,2019-08-27,1611000,국토해양부
오산휴게소(상행),고속국도,400,수도권제2순환선(봉담-동탄),상행,37.178892,127.036575,일반휴게소,00:00,23:59,51647,192,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,ATM,곤드레돌솥비빔밥+짬뽕순두부찌개,031-370-5550,2019-08-27,1611000,국토해양부
가평휴게소(하행),고속국도,60,서울양양선(서울-춘천),상행,37.702608,127.546298,일반휴게소,00:00,23:59,52697,581,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,ATM+애견파크+야외테라스 쉼터+핸드폰 충전기+고객용 PC 및 프린터+고객 도움벨,가평잣소고기국밥+가평잣산채비빔밥+해물순두부찌개,031-584-1426,2019-08-27,1611000,국토해양부
가평휴게소(상행),고속국도,60,서울양양선(서울-춘천),하행,37.701486,127.543445,일반휴게소,00:00,23:59,52236,565,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,ATM+특산물코너+야외테라스 쉼터+핸드폰 충전기+고객용 PC 및 프린터+고객 도움벨,가평잣소고기국밥+가평잣산채비빔밥+해물순두부찌개,031-584-1425,2019-08-27,1611000,국토해양부
장안휴게소(하행),고속국도,65,부산울산선,하행,35.381913,129.247302,일반휴게소,00:00,23:59,45721,167,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,ATM+특산물코너+산책로,사골버섯육개장,051-727-3647,2019-08-27,1611000,국토해양부
장안휴게소(상행),고속국도,65,부산울산선,상행,35.379502,129.247713,일반휴게소,00:00,23:59,40848,167,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,ATM+특산물코너,사골버섯육개장,051-727-3714,2019-08-27,1611000,국토해양부
양주간이휴게소,고속국도,100,서울외곽순환선,하행,37.4046243,126.5510345,간이휴게소,00:00,23:59,5965,81,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,ATM,덕평소고기 국밥,031-871-2994,2019-08-27,1611000,국토해양부
청도새마을휴게소(하행),고속국도,55,중앙선(대구-부산),하행,35.599057,128.768933,일반휴게소,00:00,23:59,53473,214,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,전망대+샤워실+세탁실+ATM+내고장특산물코너+와이파이공유기+쓰레기통,새마을육개장,054-373-8121,2019-08-27,1611000,국토해양부
청도새마을휴게소(상행),고속국도,55,중앙선(대구-부산),상행,35.589988,128.767670,일반휴게소,00:00,23:59,61078,287,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,샤워실+세탁실+ATM+내고장특산물코너+와이파이공유기+쓰레기통,새마을육개장,054-373-6280,2019-08-27,1611000,국토해양부
탄천휴게소,고속국도,25,호남선(천안-논산),하행,36.320162,127.071268,일반휴게소,00:00,23:59,18703,184,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,"ATM+백제문화갤러리+공주 장선리 토실 유적지+무료와이파이+핸드폰충전기+하이패스무인충전기+프린터,팩스,고객용PC",왕갈비탕+생생돈가스,041-854-3521,2019-08-27,1611000,국토해양부
이인휴게소,고속국도,25,호남선(천안-논산),상행,36.351691,127.068272,일반휴게소,00:00,23:59,18461,194,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,ATM+장승공원+무료와이파이+핸드폰충전기+하이패스무인충전기+프린터+팩스+고객용PC,왕갈비탕+생생돈가스,041-856-8351,2019-08-27,1611000,국토해양부
정안알밤휴게소(하행),고속국도,25,호남선(천안-논산),하행,36.572056,127.113535,일반휴게소,00:00,23:59,17358,332,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,"ATM+다람쥐공원+연못+어린이놀이터+로컬푸드코너+고객용PC+휴대폰충전기+하이패스무인충전기(하이플러스, EX)+복합기(프린터,팩스)+고속도로교통정보 모니터+와이파이공유기",왕갈비탕+알밤한우돌솥비빔밥+김치찌개,041-858-0522,2019-08-27,1611000,국토해양부
정안알밤휴게소(상행),고속국도,25,호남선(천안-논산),상행,36.568514,127.113663,일반휴게소,00:00,23:59,20344,277,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,"ATM+산책로(지압길, 체육시설)+전망대+고객용PC+휴대폰충전기+하이패스무인충전기(하이플러스, EX)+복합기(프린터,팩스)+고속도로교통정보 모니터+와이파이공유기",왕갈비탕+정안알밤닭갈비화로구이,041-858-0562,2019-08-27,1611000,국토해양부
영종대교휴게소,고속국도,130,인천국제공항선,하행,37.553795,126.607044,일반휴게소,08:00,21:00,10115,82,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,느린우체통+전망대+ATM+하이패스무인충전기,장터국밥+수제왕돈까스+전주비빕밥,032-560-6400,2019-08-27,1611000,국토해양부
의정부휴게소,고속국도,29,세종포천선(구리-포천),상행,37.435893,127.114709,일반휴게소,00:00,23:59,39616,259,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,샤워실+세탁실+수면실+ATM,의정부부대찌개,031-928-4113,2019-08-27,1611000,국토해양부
별내휴게소,고속국도,29,세종포천선(구리-포천),하행,37.7068902,127.126789,일반휴게소,00:00,23:59,41358,247,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,샤워실+세탁실+수면실+ATM,남양주식불고기비빔밥,031-524-9773,2019-08-27,1611000,국토해양부
삼국유사군위휴게소,고속국도,301,상주영천선,상행,36.079721,128.696781,일반휴게소,00:00,23:59,52679,261,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,샤워실+세탁실+ATM+기사식당,추억의 도시락,054-383-8778,2019-08-27,1611000,국토해양부
군위영천휴게소,고속국도,301,상주영천선,하행,36.071348,128.708164,일반휴게소,00:00,23:59,53830,261,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,샤워실+세탁실+ATM+기사식당,추억의 도시락,054-383-8448,2019-08-27,1611000,국토해양부
